atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
23.02	V	III	616.09	25.0	0.01	NIST	L4746
23.02	V	III	633.94	50.0	0.02	NIST	L4746
23.02	V	III	635.41	40.0	0.016	NIST	L4746
23.02	V	III	864.27	100.0	0.04	NIST	L4746
23.02	V	III	948.84	75.0	0.03	NIST	L4746
23.02	V	III	1006.46	500.0	0.2	NIST	L4746
23.02	V	III	1149.94	500.0	0.2	NIST	L4746
23.02	V	III	1157.18	400.0	0.16	NIST	L4746
23.02	V	III	1160.77	300.0	0.12	NIST	L4746
23.02	V	III	1252.11	500.0	0.2	NIST	L4746
23.02	V	III	1254.01	400.0	0.16	NIST	L4746
23.02	V	III	1287.87	500.0	0.2	NIST	L4746
23.02	V	III	1289.42	400.0	0.16	NIST	L4746
23.02	V	III	1290.77	300.0	0.12	NIST	L4746
23.02	V	III	1313.27	300.0	0.12	NIST	L4746
23.02	V	III	1313.35	400.0	0.16	NIST	L4746
23.02	V	III	1331.99	500.0	0.2	NIST	L4746
23.02	V	III	1335.12	500.0	0.2	NIST	L4746
23.02	V	III	1643.03	1000.0	0.4	NIST	L4746
23.02	V	III	1650.14	1000.0	0.4	NIST	L4746
23.02	V	III	1668.03	300.0	0.12	NIST	L4746
23.02	V	III	1670.66	300.0	0.12	NIST	L4746
23.02	V	III	1679.19	300.0	0.12	NIST	L4746
23.02	V	III	1694.78	1000.0	0.4	NIST	L4746
23.02	V	III	1721.98	400.0	0.16	NIST	L4746
23.02	V	III	1724.63	300.0	0.12	NIST	L4746
23.02	V	III	1751.68	500.0	0.2	NIST	L4746
23.02	V	III	1757.73	500.0	0.2	NIST	L4746
23.02	V	III	1760.07	1000.0	0.4	NIST	L4746
23.02	V	III	1773.43	300.0	0.12	NIST	L4746
23.02	V	III	1778.02	400.0	0.16	NIST	L4746
23.02	V	III	1779.72	500.0	0.2	NIST	L4746
23.02	V	III	1784.44	400.0	0.16	NIST	L4746
23.02	V	III	1788.26	1000.0	0.4	NIST	L4746
23.02	V	III	1793.82	500.0	0.2	NIST	L4746
23.02	V	III	1794.6	1000.0	0.4	NIST	L4746
23.02	V	III	1796.77	300.0	0.12	NIST	L4746
23.02	V	III	1798.15	500.0	0.2	NIST	L4746
23.02	V	III	1802.55	300.0	0.12	NIST	L4746
23.02	V	III	1804.13	500.0	0.2	NIST	L4746
23.02	V	III	1812.19	1000.0	0.4	NIST	L4746
23.02	V	III	1831.15	400.0	0.16	NIST	L4746
23.02	V	III	1831.64	400.0	0.16	NIST	L4746
23.02	V	III	1845.07	300.0	0.12	NIST	L4746
23.02	V	III	1850.69	300.0	0.12	NIST	L4746
23.02	V	III	1852.01	400.0	0.16	NIST	L4746
23.02	V	III	1854.42	500.0	0.2	NIST	L4746
23.02	V	III	1855.06	300.0	0.12	NIST	L4746
23.02	V	III	1856.64	500.0	0.2	NIST	L4746
23.02	V	III	1864.51	300.0	0.12	NIST	L4746
23.02	V	III	1878.68	300.0	0.12	NIST	L4746
23.02	V	III	1880.41	400.0	0.16	NIST	L4746
23.02	V	III	1895.01	300.0	0.12	NIST	L4746
23.02	V	III	1899.81	400.0	0.16	NIST	L4746
23.02	V	III	1902.23	500.0	0.2	NIST	L4746
23.02	V	III	1934.0	300.0	0.12	NIST	L4746
23.02	V	III	2232.91	500.0	0.2	NIST	L4746
23.02	V	III	2241.53	400.0	0.16	NIST	L4746
23.02	V	III	2292.86	1000.0	0.4	NIST	L4746
23.02	V	III	2314.18	400.0	0.16	NIST	L4746
23.02	V	III	2318.06	500.0	0.2	NIST	L4746
23.02	V	III	2319.0	400.0	0.16	NIST	L4746
23.02	V	III	2323.82	500.0	0.2	NIST	L4746
23.02	V	III	2330.42	2500.0	1.0	NIST	L4746
23.02	V	III	2331.75	500.0	0.2	NIST	L4746
23.02	V	III	2334.2	400.0	0.16	NIST	L4746
23.02	V	III	2343.1	500.0	0.2	NIST	L4746
23.02	V	III	2358.73	500.0	0.2	NIST	L4746
23.02	V	III	2366.31	500.0	0.2	NIST	L4746
23.02	V	III	2371.06	2500.0	1.0	NIST	L4746
23.02	V	III	2382.46	1000.0	0.4	NIST	L4746
23.02	V	III	2393.58	500.0	0.2	NIST	L4746
23.02	V	III	2404.18	500.0	0.2	NIST	L4746
23.02	V	III	2516.14	500.0	0.2	NIST	L4746
23.02	V	III	2521.16	250.0	0.1	NIST	L4746
23.02	V	III	2521.55	250.0	0.1	NIST	L4746
23.02	V	III	2548.21	250.0	0.1	NIST	L4746
23.02	V	III	2554.22	150.0	0.06	NIST	L4746
23.02	V	III	2563.32	150.0	0.06	NIST	L4746
23.02	V	III	2593.05	250.0	0.1	NIST	L4746
23.02	V	III	2595.1	250.0	0.1	NIST	L4746
23.02	V	III	3679.86	100.0	0.04	NIST	L4746
23.02	V	III	3705.35	50.0	0.02	NIST	L4746
23.02	V	III	4714.89	40.0	0.016	NIST	L4746
23.02	V	III	6597.2	50.0	0.02	NIST	L4746
