atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
23.11	V	XII	61.717	1.0	0.1667	NIST	L15325
23.11	V	XII	76.307	3.0	0.5	NIST	L15325
23.11	V	XII	80.896	1.0	0.1667	NIST	L15325
23.11	V	XII	81.077	2.0	0.3333	NIST	L15325
23.11	V	XII	81.513	4.0	0.6667	NIST	L15325
23.11	V	XII	97.938	2.0	0.3333	NIST	L15325
23.11	V	XII	98.63	3.0	0.5	NIST	L15325
23.11	V	XII	106.781	2.0	0.3333	NIST	L15325
23.11	V	XII	106.82	3.0	0.5	NIST	L15325
23.11	V	XII	106.885	4.0	0.6667	NIST	L15325
23.11	V	XII	273.215	3.0	0.5	NIST	L10375
23.11	V	XII	282.88	2.0	0.3333	NIST	L10375
23.11	V	XII	286.287	3.0	0.5	NIST	L10375
23.11	V	XII	290.31	3.0	0.5	NIST	L10375
23.11	V	XII	295.405	1.0	0.1667	NIST	L10375
23.11	V	XII	295.841	2.0	0.3333	NIST	L10375
23.11	V	XII	296.728	2.0	0.3333	NIST	L10375
23.11	V	XII	301.68	2.0	0.3333	NIST	L10375
23.11	V	XII	302.08	3.0	0.5	NIST	L10375
23.11	V	XII	322.513	1.0	0.1667	NIST	L10375
23.11	V	XII	324.014	2.0	0.3333	NIST	L10375
23.11	V	XII	328.954	5.0	0.8333	NIST	L10375
23.11	V	XII	330.486	3.0	0.5	NIST	L10375
23.11	V	XII	330.78	2.0	0.3333	NIST	L10375
23.11	V	XII	365.134	6.0	1.0	NIST	L10375
23.11	V	XII	382.462	3.0	0.5	NIST	L10375
