atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
23.14	V	XV	19.028	12.0	0.24	NIST	L2181
23.14	V	XV	19.203	15.0	0.3	NIST	L2181
23.14	V	XV	19.298	30.0	0.6	NIST	L2181
23.14	V	XV	19.366	50.0	1.0	NIST	L2181
23.14	V	XV	19.443	25.0	0.5	NIST	L2181
23.14	V	XV	19.518	35.0	0.7	NIST	L2181
23.14	V	XV	19.589	15.0	0.3	NIST	L2181
23.14	V	XV	19.645	15.0	0.3	NIST	L2181
23.14	V	XV	19.671	9.0	0.18	NIST	L2181
23.14	V	XV	19.725	8.0	0.16	NIST	L2181
23.14	V	XV	19.757	6.0	0.12	NIST	L2181
23.14	V	XV	19.782	10.0	0.2	NIST	L2181
23.14	V	XV	19.8	5.0	0.1	NIST	L2181
23.14	V	XV	19.844	25.0	0.5	NIST	L2181
23.14	V	XV	19.888	15.0	0.3	NIST	L2181
23.14	V	XV	19.903	18.0	0.36	NIST	L2181
23.14	V	XV	19.988	17.0	0.34	NIST	L2181
23.14	V	XV	20.038	3.0	0.06	NIST	L2181
23.14	V	XV	20.078	20.0	0.4	NIST	L2181
23.14	V	XV	21.019	40.0	0.8	NIST	L2181
23.14	V	XV	21.285	20.0	0.4	NIST	L2181
23.14	V	XV	21.568	30.0	0.6	NIST	L2181
23.14	V	XV	21.8	20.0	0.4	NIST	L2181
23.14	V	XV	21.832	20.0	0.4	NIST	L2181
23.14	V	XV	21.909	30.0	0.6	NIST	L2181
23.14	V	XV	22.083	35.0	0.7	NIST	L2181
23.14	V	XV	22.192	18.0	0.36	NIST	L2181
23.14	V	XV	22.214	12.0	0.24	NIST	L2181
23.14	V	XV	22.232	6.0	0.12	NIST	L2181
23.14	V	XV	22.375	16.0	0.32	NIST	L2181
