atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
74.01	W	II	1527.933	15.0	0.0315	NIST	L6520
74.01	W	II	1563.433	5.0	0.0105	NIST	L6520
74.01	W	II	1576.282	7.0	0.0147	NIST	L6520
74.01	W	II	1588.007	5.0	0.0105	NIST	L6520
74.01	W	II	1620.109	9.0	0.0189	NIST	L6520
74.01	W	II	1631.028	3.0	0.0063	NIST	L6520
74.01	W	II	1636.164	5.0	0.0105	NIST	L6520
74.01	W	II	1640.902	5.0	0.0105	NIST	L6520
74.01	W	II	1658.53	5.0	0.0105	NIST	L6520
74.01	W	II	1671.778	5.0	0.0105	NIST	L6520
74.01	W	II	1680.773	3.0	0.0063	NIST	L6520
74.01	W	II	1690.737	9.0	0.0189	NIST	L6520
74.01	W	II	1692.842	15.0	0.0315	NIST	L6520
74.01	W	II	1707.683	15.0	0.0315	NIST	L6520
74.01	W	II	1710.562	5.0	0.0105	NIST	L6520
74.01	W	II	1715.86	9.0	0.0189	NIST	L6520
74.01	W	II	1717.513	5.0	0.0105	NIST	L6520
74.01	W	II	1717.93	9.0	0.0189	NIST	L6520
74.01	W	II	1718.788	11.0	0.0231	NIST	L6520
74.01	W	II	1726.391	7.0	0.0147	NIST	L6520
74.01	W	II	1728.578	11.0	0.0231	NIST	L6520
74.01	W	II	1731.917	7.0	0.0147	NIST	L6520
74.01	W	II	1735.614	15.0	0.0315	NIST	L6520
74.01	W	II	1735.672	7.0	0.0147	NIST	L6520
74.01	W	II	1751.793	11.0	0.0231	NIST	L6520
74.01	W	II	1759.006	5.0	0.0105	NIST	L6520
74.01	W	II	1761.771	3.0	0.0063	NIST	L6520
74.01	W	II	1766.48	9.0	0.0189	NIST	L6520
74.01	W	II	1767.764	7.0	0.0147	NIST	L6520
74.01	W	II	1770.272	7.0	0.0147	NIST	L6520
74.01	W	II	1776.862	15.0	0.0315	NIST	L6520
74.01	W	II	1783.042	150.0	0.3151	NIST	L6520
74.01	W	II	1787.612	5.0	0.0105	NIST	L6520
74.01	W	II	1795.088	15.0	0.0315	NIST	L6520
74.01	W	II	1798.61	5.0	0.0105	NIST	L6520
74.01	W	II	1799.553	9.0	0.0189	NIST	L6520
74.01	W	II	1800.491	25.0	0.0525	NIST	L6520
74.01	W	II	1800.599	25.0	0.0525	NIST	L6520
74.01	W	II	1802.188	25.0	0.0525	NIST	L6520
74.01	W	II	1807.695	3.0	0.0063	NIST	L6520
74.01	W	II	1811.028	15.0	0.0315	NIST	L6520
74.01	W	II	1812.279	15.0	0.0315	NIST	L6520
74.01	W	II	1812.758	15.0	0.0315	NIST	L6520
74.01	W	II	1815.095	3.0	0.0063	NIST	L6520
74.01	W	II	1817.336	25.0	0.0525	NIST	L6520
74.01	W	II	1821.199	11.0	0.0231	NIST	L6520
74.01	W	II	1828.687	250.0	0.5252	NIST	L6520
74.01	W	II	1832.658	3.0	0.0063	NIST	L6520
74.01	W	II	1832.839	5.0	0.0105	NIST	L6520
74.01	W	II	1832.943	3.0	0.0063	NIST	L6520
74.01	W	II	1838.315	150.0	0.3151	NIST	L6520
74.01	W	II	1842.397	50.0	0.105	NIST	L6520
74.01	W	II	1847.345	3.0	0.0063	NIST	L6520
74.01	W	II	1848.106	250.0	0.5252	NIST	L6520
74.01	W	II	1849.132	3.0	0.0063	NIST	L6520
74.01	W	II	1852.086	50.0	0.105	NIST	L6520
74.01	W	II	1852.911	50.0	0.105	NIST	L6520
74.01	W	II	1855.102	350.0	0.7353	NIST	L6520
74.01	W	II	1859.197	25.0	0.0525	NIST	L6520
74.01	W	II	1861.257	7.0	0.0147	NIST	L6520
74.01	W	II	1861.441	3.0	0.0063	NIST	L6520
74.01	W	II	1861.593	5.0	0.0105	NIST	L6520
74.01	W	II	1862.295	11.0	0.0231	NIST	L6520
74.01	W	II	1864.948	50.0	0.105	NIST	L6520
74.01	W	II	1865.815	25.0	0.0525	NIST	L6520
74.01	W	II	1871.26	7.0	0.0147	NIST	L6520
74.01	W	II	1871.848	15.0	0.0315	NIST	L6520
74.01	W	II	1873.6395	3.0	0.0063	NIST	L11762
74.01	W	II	1875.126	15.0	0.0315	NIST	L6520
74.01	W	II	1876.614	3.0	0.0063	NIST	L6520
74.01	W	II	1877.218	5.0	0.0105	NIST	L6520
74.01	W	II	1877.854	3.0	0.0063	NIST	L11762
74.01	W	II	1880.202	25.0	0.0525	NIST	L6520
74.01	W	II	1881.807	15.0	0.0315	NIST	L6520
74.01	W	II	1882.187	15.0	0.0315	NIST	L6520
74.01	W	II	1886.305	25.0	0.0525	NIST	L6520
74.01	W	II	1886.464	50.0	0.105	NIST	L6520
74.01	W	II	1886.677	3.0	0.0063	NIST	L6520
74.01	W	II	1891.835	3.0	0.0063	NIST	L6520
74.01	W	II	1891.886	50.0	0.105	NIST	L6520
74.01	W	II	1896.352	3.0	0.0063	NIST	L6520
74.01	W	II	1896.468	25.0	0.0525	NIST	L6520
74.01	W	II	1899.4381	2.0	0.0042	NIST	L11762
74.01	W	II	1900.477	15.0	0.0315	NIST	L6520
74.01	W	II	1901.367	3.0	0.0063	NIST	L6520
74.01	W	II	1902.495	3.0	0.0063	NIST	L11762
74.01	W	II	1903.47	15.0	0.0315	NIST	L6520
74.01	W	II	1904.5	5.0	0.0105	NIST	L6520
74.01	W	II	1906.625	11.0	0.0231	NIST	L6520
74.01	W	II	1909.368	3.0	0.0063	NIST	L6520
74.01	W	II	1910.017	3.0	0.0063	NIST	L6520
74.01	W	II	1911.4742	4.0	0.0084	NIST	L11762
74.01	W	II	1915.35	7.0	0.0147	NIST	L6520
74.01	W	II	1916.092	5.0	0.0105	NIST	L6520
74.01	W	II	1923.454	11.0	0.0231	NIST	L6520
74.01	W	II	1924.7768	4.0	0.0084	NIST	L11762
74.01	W	II	1925.99	25.0	0.0525	NIST	L6520
74.01	W	II	1928.623	7.0	0.0147	NIST	L11762
74.01	W	II	1929.027	3.0	0.0063	NIST	L6520
74.01	W	II	1929.2873	3.0	0.0063	NIST	L11762
74.01	W	II	1929.3137	3.0	0.0063	NIST	L11762
74.01	W	II	1929.4508	8.0	0.0168	NIST	L11762
74.01	W	II	1930.0935	3.0	0.0063	NIST	L11762
74.01	W	II	1931.8647	3.0	0.0063	NIST	L11762
74.01	W	II	1933.4227	3.0	0.0063	NIST	L11762
74.01	W	II	1934.3337	3.0	0.0063	NIST	L11762
74.01	W	II	1935.4023	2.0	0.0042	NIST	L11762
74.01	W	II	1938.0558	4.0	0.0084	NIST	L11762
74.01	W	II	1938.1826	10.0	0.021	NIST	L11762
74.01	W	II	1938.298	5.0	0.0105	NIST	L6520
74.01	W	II	1938.626	5.0	0.0105	NIST	L6520
74.01	W	II	1938.797	3.0	0.0063	NIST	L6520
74.01	W	II	1940.54	11.0	0.0231	NIST	L6520
74.01	W	II	1941.2983	3.0	0.0063	NIST	L11762
74.01	W	II	1943.271	3.0	0.0063	NIST	L6520
74.01	W	II	1944.9996	3.0	0.0063	NIST	L11762
74.01	W	II	1948.3253	8.0	0.0168	NIST	L11762
74.01	W	II	1949.5379	7.0	0.0147	NIST	L11762
74.01	W	II	1949.919	7.0	0.0147	NIST	L6520
74.01	W	II	1951.0506	18.0	0.0378	NIST	L11762
74.01	W	II	1952.9966	3.0	0.0063	NIST	L11762
74.01	W	II	1956.775	3.0	0.0063	NIST	L6520
74.01	W	II	1957.916	3.0	0.0063	NIST	L6520
74.01	W	II	1961.403	3.0	0.0063	NIST	L6520
74.01	W	II	1962.1408	15.0	0.0315	NIST	L11762
74.01	W	II	1962.9066	4.0	0.0084	NIST	L11762
74.01	W	II	1962.9993	4.0	0.0084	NIST	L11762
74.01	W	II	1964.7083	2.0	0.0042	NIST	L11762
74.01	W	II	1965.4169	5.0	0.0105	NIST	L11762
74.01	W	II	1965.565	9.0	0.0189	NIST	L6520
74.01	W	II	1967.099	3.0	0.0063	NIST	L6520
74.01	W	II	1967.4299	4.0	0.0084	NIST	L11762
74.01	W	II	1968.676	15.0	0.0315	NIST	L6520
74.01	W	II	1973.314	7.0	0.0147	NIST	L11762
74.01	W	II	1975.447	15.0	0.0315	NIST	L6520
74.01	W	II	1975.529	9.0	0.0189	NIST	L6520
74.01	W	II	1976.426	5.0	0.0105	NIST	L6520
74.01	W	II	1977.2348	10.0	0.021	NIST	L11762
74.01	W	II	1977.5243	13.0	0.0273	NIST	L11762
74.01	W	II	1977.9237	22.0	0.0462	NIST	L11762
74.01	W	II	1979.2103	2.0	0.0042	NIST	L11762
74.01	W	II	1979.828	5.0	0.0105	NIST	L6520
74.01	W	II	1980.317	15.0	0.0315	NIST	L6520
74.01	W	II	1981.1563	8.0	0.0168	NIST	L11762
74.01	W	II	1981.3997	4.0	0.0084	NIST	L11762
74.01	W	II	1981.4399	4.0	0.0084	NIST	L11762
74.01	W	II	1981.542	9.0	0.0189	NIST	L6520
74.01	W	II	1982.314	9.0	0.0189	NIST	L6520
74.01	W	II	1982.691	9.0	0.0189	NIST	L6520
74.01	W	II	1982.9073	11.0	0.0231	NIST	L11762
74.01	W	II	1985.055	11.0	0.0231	NIST	L6520
74.01	W	II	1985.368	5.0	0.0105	NIST	L6520
74.01	W	II	1985.865	15.0	0.0315	NIST	L6520
74.01	W	II	1986.2956	4.0	0.0084	NIST	L11762
74.01	W	II	1987.7348	6.0	0.0126	NIST	L11762
74.01	W	II	1987.8088	11.0	0.0231	NIST	L11762
74.01	W	II	1989.394	29.0	0.0609	NIST	L11762
74.01	W	II	1990.0652	6.0	0.0126	NIST	L11762
74.01	W	II	1990.8628	14.0	0.0294	NIST	L11762
74.01	W	II	1993.1388	3.0	0.0063	NIST	L11762
74.01	W	II	1993.727	11.0	0.0231	NIST	L6520
74.01	W	II	1994.001	15.0	0.0315	NIST	L6520
74.01	W	II	1994.1719	5.0	0.0105	NIST	L11762
74.01	W	II	1994.2036	6.0	0.0126	NIST	L11762
74.01	W	II	1995.5296	13.0	0.0273	NIST	L11762
74.01	W	II	1997.2124	4.0	0.0084	NIST	L11762
74.01	W	II	1997.4416	7.0	0.0147	NIST	L11762
74.01	W	II	1998.423	25.0	0.0525	NIST	L6520
74.01	W	II	1998.5322	3.0	0.0063	NIST	L11762
74.01	W	II	1998.994	15.0	0.0315	NIST	L6520
74.01	W	II	1999.095	3.0	0.0063	NIST	L6520
74.01	W	II	1999.2885	11.0	0.0231	NIST	L11762
74.01	W	II	1999.8203	6.0	0.0126	NIST	L11762
74.01	W	II	2000.271	5.0	0.0105	NIST	L6520
74.01	W	II	2001.7146	13.0	0.0273	NIST	L11762
74.01	W	II	2002.219	5.0	0.0105	NIST	L6520
74.01	W	II	2002.599	9.0	0.0189	NIST	L6520
74.01	W	II	2002.75	11.0	0.0231	NIST	L6520
74.01	W	II	2002.964	9.0	0.0189	NIST	L6520
74.01	W	II	2003.2705	2.0	0.0042	NIST	L11762
74.01	W	II	2005.126	3.0	0.0063	NIST	L6520
74.01	W	II	2005.599	5.0	0.0105	NIST	L6520
74.01	W	II	2005.919	15.0	0.0315	NIST	L6520
74.01	W	II	2006.07	15.0	0.0315	NIST	L6520
74.01	W	II	2006.7114	4.0	0.0084	NIST	L11762
74.01	W	II	2008.0172	4.0	0.0084	NIST	L11762
74.01	W	II	2008.09551	50.0	0.105	NIST	L11762
74.01	W	II	2009.375	5.0	0.0105	NIST	L6520
74.01	W	II	2009.9828	10.0	0.021	NIST	L11762
74.01	W	II	2010.2363	16.0	0.0336	NIST	L11762
74.01	W	II	2011.3941	2.0	0.0042	NIST	L11762
74.01	W	II	2012.8758	3.0	0.0063	NIST	L11762
74.01	W	II	2013.063	15.0	0.0315	NIST	L6520
74.01	W	II	2013.7609	3.0	0.0063	NIST	L11762
74.01	W	II	2014.2381	19.0	0.0399	NIST	L11762
74.01	W	II	2014.4296	9.0	0.0189	NIST	L11762
74.01	W	II	2014.512	9.0	0.0189	NIST	L6520
74.01	W	II	2015.4793	6.0	0.0126	NIST	L11762
74.01	W	II	2015.5788	3.0	0.0063	NIST	L11762
74.01	W	II	2015.7791	34.0	0.0714	NIST	L11762
74.01	W	II	2015.8165	3.0	0.0063	NIST	L11762
74.01	W	II	2016.3848	5.0	0.0105	NIST	L11762
74.01	W	II	2017.5343	3.0	0.0063	NIST	L11762
74.01	W	II	2017.8927	4.0	0.0084	NIST	L11762
74.01	W	II	2019.09	5.0	0.0105	NIST	L6520
74.01	W	II	2019.207	9.0	0.0189	NIST	L6520
74.01	W	II	2019.5675	3.0	0.0063	NIST	L11762
74.01	W	II	2020.6242	3.0	0.0063	NIST	L11762
74.01	W	II	2020.919	9.0	0.0189	NIST	L6520
74.01	W	II	2021.468	5.0	0.0105	NIST	L6520
74.01	W	II	2022.3519	6.0	0.0126	NIST	L11762
74.01	W	II	2023.802	9.0	0.0189	NIST	L6520
74.01	W	II	2024.4853	3.0	0.0063	NIST	L11762
74.01	W	II	2025.1776	3.0	0.0063	NIST	L11762
74.01	W	II	2025.471	25.0	0.0525	NIST	L6520
74.01	W	II	2025.655	25.0	0.0525	NIST	L6520
74.01	W	II	2025.9558	3.0	0.0063	NIST	L11762
74.01	W	II	2026.0032	4.0	0.0084	NIST	L11762
74.01	W	II	2026.08751	71.0	0.1492	NIST	L11762
74.01	W	II	2027.2939	9.0	0.0189	NIST	L11762
74.01	W	II	2027.3324	13.0	0.0273	NIST	L11762
74.01	W	II	2027.5709	6.0	0.0126	NIST	L11762
74.01	W	II	2027.8935	3.0	0.0063	NIST	L11762
74.01	W	II	2028.142	9.0	0.0189	NIST	L6520
74.01	W	II	2028.262	15.0	0.0315	NIST	L6520
74.01	W	II	2028.5181	2.0	0.0042	NIST	L11762
74.01	W	II	2029.1227	9.0	0.0189	NIST	L11762
