atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
74.07	W	VIII	160.94	5.0	0.005	NIST	L18778
74.07	W	VIII	161.057	4.0	0.004	NIST	L18778
74.07	W	VIII	161.26	27.0	0.027	NIST	L18778
74.07	W	VIII	163.596	80.0	0.08	NIST	L18778
74.07	W	VIII	164.143	6.0	0.006	NIST	L18778
74.07	W	VIII	164.479	21.0	0.021	NIST	L18778
74.07	W	VIII	165.369	130.0	0.13	NIST	L18778
74.07	W	VIII	165.583	86.0	0.086	NIST	L18778
74.07	W	VIII	166.827	410.0	0.41	NIST	L18778
74.07	W	VIII	166.971	210.0	0.21	NIST	L18778
74.07	W	VIII	167.382	320.0	0.32	NIST	L18778
74.07	W	VIII	168.084	160.0	0.16	NIST	L18778
74.07	W	VIII	168.381	300.0	0.3	NIST	L18778
74.07	W	VIII	168.98	250.0	0.25	NIST	L18778
74.07	W	VIII	171.727	21.0	0.021	NIST	L18778
74.07	W	VIII	171.973	8.0	0.008	NIST	L18778
74.07	W	VIII	172.295	260.0	0.26	NIST	L18778
74.07	W	VIII	175.199	38.0	0.038	NIST	L18778
74.07	W	VIII	176.237	40.0	0.04	NIST	L18778
74.07	W	VIII	176.63	54.0	0.054	NIST	L18778
74.07	W	VIII	176.694	150.0	0.15	NIST	L18778
74.07	W	VIII	177.232	23.0	0.023	NIST	L18778
74.07	W	VIII	181.41	17.0	0.017	NIST	L18778
74.07	W	VIII	181.888	12.0	0.012	NIST	L18778
74.07	W	VIII	187.608	12.0	0.012	NIST	L18778
74.07	W	VIII	189.616	62.0	0.062	NIST	L18778
74.07	W	VIII	189.667	58.0	0.058	NIST	L18778
74.07	W	VIII	191.348	11.0	0.011	NIST	L18778
74.07	W	VIII	191.617	94.0	0.094	NIST	L18778
74.07	W	VIII	192.07	32.0	0.032	NIST	L18778
74.07	W	VIII	193.614	320.0	0.32	NIST	L18778
74.07	W	VIII	194.077	61.0	0.061	NIST	L18778
74.07	W	VIII	194.315	52.0	0.052	NIST	L18778
74.07	W	VIII	194.397	340.0	0.34	NIST	L18778
74.07	W	VIII	194.527	610.0	0.61	NIST	L18778
74.07	W	VIII	194.998	47.0	0.047	NIST	L18778
74.07	W	VIII	195.021	16.0	0.016	NIST	L18778
74.07	W	VIII	195.598	540.0	0.54	NIST	L18778
74.07	W	VIII	196.093	640.0	0.64	NIST	L18778
74.07	W	VIII	197.835	720.0	0.72	NIST	L18778
74.07	W	VIII	197.941	410.0	0.41	NIST	L18778
74.07	W	VIII	198.171	590.0	0.59	NIST	L18778
74.07	W	VIII	198.229	670.0	0.67	NIST	L18778
74.07	W	VIII	198.625	16.0	0.016	NIST	L18778
74.07	W	VIII	198.779	740.0	0.74	NIST	L18778
74.07	W	VIII	199.875	710.0	0.71	NIST	L18778
74.07	W	VIII	200.367	710.0	0.71	NIST	L18778
74.07	W	VIII	200.483	730.0	0.73	NIST	L18778
74.07	W	VIII	200.787	580.0	0.58	NIST	L18778
74.07	W	VIII	201.079	690.0	0.69	NIST	L18778
74.07	W	VIII	201.119	440.0	0.44	NIST	L18778
74.07	W	VIII	201.205	700.0	0.7	NIST	L18778
74.07	W	VIII	201.288	280.0	0.28	NIST	L18778
74.07	W	VIII	201.739	770.0	0.77	NIST	L18778
