atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
74.40	W	XLI	5.3927	12.0	0.0357	NIST	L9064c90
74.40	W	XLI	5.4034	10.0	0.0298	NIST	L9064c90
74.40	W	XLI	5.8965	100.0	0.2976	NIST	L9064c90
74.40	W	XLI	46.378	57.0	0.1696	NIST	L11159
74.40	W	XLI	46.957	336.0	1.0	NIST	L11159
74.40	W	XLI	47.604	71.0	0.2113	NIST	L11159
74.40	W	XLI	48.746	26.0	0.0774	NIST	L11159
74.40	W	XLI	59.526	42.0	0.125	NIST	L11159
74.40	W	XLI	62.193	30.0	0.0893	NIST	L11159
74.40	W	XLI	62.689	74.0	0.2202	NIST	L11159
74.40	W	XLI	65.873	100.0	0.2976	NIST	L11159
74.40	W	XLI	71.118	23.0	0.0685	NIST	L11159
74.40	W	XLI	78.952	32.0	0.0952	NIST	L11159
74.40	W	XLI	128.64	220.0	0.6548	NIST	L12101
74.40	W	XLI	134.87	270.0	0.8036	NIST	L12101
