atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
54.00	Xe	I	1192.037	250.0	0.01	NIST	L6449c110
54.00	Xe	I	1250.21	250.0	0.01	NIST	L6449c110
54.00	Xe	I	1295.588	1000.0	0.04	NIST	L6449c110
54.00	Xe	I	1469.61	600.0	0.024	NIST	L7324c110
54.00	Xe	I	3340.04	1.0	0.0	NIST	L4739
54.00	Xe	I	3348.63	1.0	0.0	NIST	L4739
54.00	Xe	I	3358.17	1.0	0.0	NIST	L4739
54.00	Xe	I	3358.96	1.0	0.0	NIST	L4739
54.00	Xe	I	3370.34	1.0	0.0	NIST	L4739
54.00	Xe	I	3383.2	1.0	0.0	NIST	L4739
54.00	Xe	I	3384.36	1.0	0.0	NIST	L4739
54.00	Xe	I	3400.07	2.0	0.0001	NIST	L4739
54.00	Xe	I	3400.79	1.0	0.0	NIST	L4739
54.00	Xe	I	3418.37	2.0	0.0001	NIST	L4739
54.00	Xe	I	3420.0	2.0	0.0001	NIST	L4739
54.00	Xe	I	3442.66	3.0	0.0001	NIST	L4739
54.00	Xe	I	3443.83	1.0	0.0	NIST	L4739
54.00	Xe	I	3469.81	4.0	0.0002	NIST	L4739
54.00	Xe	I	3472.36	4.0	0.0002	NIST	L4739
54.00	Xe	I	3496.86	1.0	0.0	NIST	L4739
54.00	Xe	I	3506.74	5.0	0.0002	NIST	L4739
54.00	Xe	I	3508.42	2.0	0.0001	NIST	L4739
54.00	Xe	I	3517.9	2.0	0.0001	NIST	L4739
54.00	Xe	I	3533.48	2.0	0.0001	NIST	L4739
54.00	Xe	I	3536.61	1.0	0.0	NIST	L4739
54.00	Xe	I	3537.35	1.0	0.0	NIST	L4739
54.00	Xe	I	3549.86	10.0	0.0004	NIST	L4739
54.00	Xe	I	3554.04	10.0	0.0004	NIST	L4739
54.00	Xe	I	3555.92	1.0	0.0	NIST	L4739
54.00	Xe	I	3563.8	3.0	0.0001	NIST	L4739
54.00	Xe	I	3587.02	4.0	0.0002	NIST	L4739
54.00	Xe	I	3591.67	1.0	0.0	NIST	L4739
54.00	Xe	I	3592.8	2.0	0.0001	NIST	L4739
54.00	Xe	I	3610.32	15.0	0.0006	NIST	L4739
54.00	Xe	I	3613.06	8.0	0.0003	NIST	L4739
54.00	Xe	I	3633.06	6.0	0.0002	NIST	L4739
54.00	Xe	I	3669.91	10.0	0.0004	NIST	L4739
54.00	Xe	I	3677.54	2.0	0.0001	NIST	L4739
54.00	Xe	I	3679.31	4.0	0.0002	NIST	L4739
54.00	Xe	I	3685.9	40.0	0.0016	NIST	L4739
54.00	Xe	I	3688.8	1.0	0.0	NIST	L4739
54.00	Xe	I	3693.49	40.0	0.0016	NIST	L4739
54.00	Xe	I	3696.82	4.0	0.0002	NIST	L4739
54.00	Xe	I	3702.74	2.0	0.0001	NIST	L4739
54.00	Xe	I	3737.81	5.0	0.0002	NIST	L4103
54.00	Xe	I	3742.22	1.0	0.0	NIST	L4739
54.00	Xe	I	3745.38	10.0	0.0004	NIST	L4739
54.00	Xe	I	3745.69	4.0	0.0002	NIST	L4739
54.00	Xe	I	3795.95	3.0	0.0001	NIST	L4739
54.00	Xe	I	3796.3	40.0	0.0016	NIST	L4739
54.00	Xe	I	3801.39	30.0	0.0012	NIST	L4739
54.00	Xe	I	3801.9	3.0	0.0001	NIST	L4739
54.00	Xe	I	3809.84	30.0	0.0012	NIST	L4739
54.00	Xe	I	3823.74	10.0	0.0004	NIST	L4739
54.00	Xe	I	3826.86	15.0	0.0006	NIST	L4739
54.00	Xe	I	3835.6	2.0	0.0001	NIST	L4739
54.00	Xe	I	3877.2	2.0	0.0001	NIST	L4103
54.00	Xe	I	3942.29	2.0	0.0001	NIST	L4739
54.00	Xe	I	3948.163	60.0	0.0024	NIST	L7292
54.00	Xe	I	3948.72	10.0	0.0004	NIST	L4739
54.00	Xe	I	3950.924	120.0	0.0048	NIST	L7292
54.00	Xe	I	3956.85	6.0	0.0002	NIST	L4739
54.00	Xe	I	3967.5411	200.0	0.008	NIST	L7292
54.00	Xe	I	3974.417	40.0	0.0016	NIST	L7292
54.00	Xe	I	3985.202	30.0	0.0012	NIST	L7292
54.00	Xe	I	4004.55	10.0	0.0004	NIST	L4103
54.00	Xe	I	4078.8202	100.0	0.004	NIST	L7292
54.00	Xe	I	4109.7089	60.0	0.0024	NIST	L7292
54.00	Xe	I	4116.1147	80.0	0.0032	NIST	L7292
54.00	Xe	I	4123.55	10.0	0.0004	NIST	L4103
54.00	Xe	I	4135.133	20.0	0.0008	NIST	L7292
54.00	Xe	I	4146.78	2.0	0.0001	NIST	L4739
54.00	Xe	I	4175.17	6.0	0.0002	NIST	L4103
54.00	Xe	I	4193.01	20.0	0.0008	NIST	L4739
54.00	Xe	I	4193.528	150.0	0.006	NIST	L7292
54.00	Xe	I	4205.404	10.0	0.0004	NIST	L7292
54.00	Xe	I	4235.03	15.0	0.0006	NIST	L4103
54.00	Xe	I	4279.16	2.0	0.0001	NIST	L4103
54.00	Xe	I	4354.59	6.0	0.0002	NIST	L4103
54.00	Xe	I	4372.287	20.0	0.0008	NIST	L7292
54.00	Xe	I	4383.908	100.0	0.004	NIST	L7292
54.00	Xe	I	4385.768	70.0	0.0028	NIST	L7292
54.00	Xe	I	4543.99	6.0	0.0002	NIST	L4103
54.00	Xe	I	4611.8882	100.0	0.004	NIST	L7292
54.00	Xe	I	4662.26	6.0	0.0002	NIST	L4103
54.00	Xe	I	4690.97	100.0	0.004	NIST	L7292
54.00	Xe	I	4708.21	5.0	0.0002	NIST	L4739
54.00	Xe	I	4734.1518	600.0	0.024	NIST	L7292c110
54.00	Xe	I	4737.49	6.0	0.0002	NIST	L4103
54.00	Xe	I	4792.619	150.0	0.006	NIST	L7292c110
54.00	Xe	I	4807.019	500.0	0.02	NIST	L7292c110
54.00	Xe	I	4829.708	400.0	0.016	NIST	L7292
54.00	Xe	I	4843.2934	300.0	0.012	NIST	L7292
54.00	Xe	I	4916.507	500.0	0.02	NIST	L7292c110
54.00	Xe	I	4923.152	500.0	0.02	NIST	L7292
54.00	Xe	I	5023.88	3.0	0.0001	NIST	L4739
54.00	Xe	I	5028.2794	200.0	0.008	NIST	L7292
54.00	Xe	I	5127.24	6.0	0.0002	NIST	L4103
54.00	Xe	I	5162.711	10.0	0.0004	NIST	L7292
54.00	Xe	I	5164.39	1.0	0.0	NIST	L4739
54.00	Xe	I	5167.3	1.0	0.0	NIST	L4739
54.00	Xe	I	5185.85	2.0	0.0001	NIST	L4739
54.00	Xe	I	5206.07	1.0	0.0	NIST	L4739
54.00	Xe	I	5245.27	4.0	0.0002	NIST	L4739
54.00	Xe	I	5248.98	4.0	0.0002	NIST	L4739
54.00	Xe	I	5251.89	2.0	0.0001	NIST	L4739
54.00	Xe	I	5273.48	1.0	0.0	NIST	L4739
54.00	Xe	I	5283.3	2.0	0.0001	NIST	L4739
54.00	Xe	I	5286.11	4.0	0.0002	NIST	L4739
54.00	Xe	I	5286.38	3.0	0.0001	NIST	L4739
54.00	Xe	I	5306.37	3.0	0.0001	NIST	L4739
54.00	Xe	I	5335.91	1.0	0.0	NIST	L4739
54.00	Xe	I	5337.89	2.0	0.0001	NIST	L4739
54.00	Xe	I	5356.8	1.0	0.0	NIST	L4739
54.00	Xe	I	5362.244	15.0	0.0006	NIST	L7292
54.00	Xe	I	5364.626	30.0	0.0012	NIST	L7292
54.00	Xe	I	5367.03	6.0	0.0002	NIST	L4739
54.00	Xe	I	5373.74	1.0	0.0	NIST	L4739
54.00	Xe	I	5392.795	100.0	0.004	NIST	L7292
54.00	Xe	I	5394.738	20.0	0.0008	NIST	L7292
54.00	Xe	I	5397.63	1.0	0.0	NIST	L4739
54.00	Xe	I	5400.45	4.0	0.0002	NIST	L4739
54.00	Xe	I	5418.02	5.0	0.0002	NIST	L4739
54.00	Xe	I	5421.76	2.0	0.0001	NIST	L4739
54.00	Xe	I	5435.6	5.0	0.0002	NIST	L4739
54.00	Xe	I	5439.923	30.0	0.0012	NIST	L7292
54.00	Xe	I	5440.39	15.0	0.0006	NIST	L4739
54.00	Xe	I	5444.87	1.0	0.0	NIST	L4739
54.00	Xe	I	5454.54	1.0	0.0	NIST	L4739
54.00	Xe	I	5456.45	2.0	0.0001	NIST	L4739
54.00	Xe	I	5460.037	15.0	0.0006	NIST	L7292
54.00	Xe	I	5479.12	1.0	0.0	NIST	L4739
