atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
54.08	Xe	IX	85.42	3.0	0.0032	NIST	L11883
54.08	Xe	IX	87.517	2.0	0.0021	NIST	L11883
54.08	Xe	IX	88.444	5.0	0.0053	NIST	L11883
54.08	Xe	IX	96.449	35.0	0.0368	NIST	L9885
54.08	Xe	IX	99.553	10.0	0.0105	NIST	L9885
54.08	Xe	IX	102.815	10.0	0.0105	NIST	L11883
54.08	Xe	IX	103.808	12.0	0.0126	NIST	L11883
54.08	Xe	IX	120.133	200.0	0.2105	NIST	L9885
54.08	Xe	IX	143.614	90.0	0.0947	NIST	L9885
54.08	Xe	IX	150.275	5.0	0.0053	NIST	L9885
54.08	Xe	IX	161.742	650.0	0.6842	NIST	L9885
54.08	Xe	IX	165.323	950.0	1.0	NIST	L9885
54.08	Xe	IX	400.906	26.0	0.0274	NIST	L9885
54.08	Xe	IX	418.257	171.0	0.18	NIST	L9885
54.08	Xe	IX	426.07	2.0	0.0021	NIST	L11914
54.08	Xe	IX	430.52	2.0	0.0021	NIST	L11914
54.08	Xe	IX	435.12	1.0	0.0011	NIST	L11914
54.08	Xe	IX	436.41	1.0	0.0011	NIST	L11914
54.08	Xe	IX	442.52	2.0	0.0021	NIST	L11914
54.08	Xe	IX	443.08	31.0	0.0326	NIST	L9885
54.08	Xe	IX	444.23	9.0	0.0095	NIST	L11914
54.08	Xe	IX	450.44	1.0	0.0011	NIST	L11914
54.08	Xe	IX	454.32	1.0	0.0011	NIST	L11914
54.08	Xe	IX	457.624	90.0	0.0947	NIST	L9885
54.08	Xe	IX	458.54	1.0	0.0011	NIST	L11914
54.08	Xe	IX	459.407	99.0	0.1042	NIST	L9885
54.08	Xe	IX	460.719	224.0	0.2358	NIST	L9885
54.08	Xe	IX	462.229	102.0	0.1074	NIST	L9885
54.08	Xe	IX	462.319	83.0	0.0874	NIST	L9885
54.08	Xe	IX	464.19	4.0	0.0042	NIST	L11914
54.08	Xe	IX	466.01	300.0	0.3158	NIST	L9885
54.08	Xe	IX	466.09	3.0	0.0032	NIST	L11914
54.08	Xe	IX	468.386	223.0	0.2347	NIST	L9885
54.08	Xe	IX	469.1	5.0	0.0053	NIST	L11914
54.08	Xe	IX	470.64	4.0	0.0042	NIST	L11914
