atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
54.04	Xe	V	500.108	22.0	0.2444	NIST	L11121
54.04	Xe	V	500.557	40.0	0.4444	NIST	L11121
54.04	Xe	V	502.731	20.0	0.2222	NIST	L11121
54.04	Xe	V	512.972	50.0	0.5556	NIST	L11121
54.04	Xe	V	514.852	40.0	0.4444	NIST	L11121
54.04	Xe	V	524.473	20.0	0.2222	NIST	L11121
54.04	Xe	V	538.12	90.0	1.0	NIST	L11121
54.04	Xe	V	540.717	20.0	0.2222	NIST	L11121
54.04	Xe	V	541.297	40.0	0.4444	NIST	L11121
54.04	Xe	V	541.628	40.0	0.4444	NIST	L11121
54.04	Xe	V	543.05	10.0	0.1111	NIST	L7287
54.04	Xe	V	553.534	25.0	0.2778	NIST	L11121
54.04	Xe	V	555.227	45.0	0.5	NIST	L11121
54.04	Xe	V	555.522	50.0	0.5556	NIST	L11121
54.04	Xe	V	566.57	11.0	0.1222	NIST	L7287
54.04	Xe	V	571.898	55.0	0.6111	NIST	L11121
54.04	Xe	V	575.594	65.0	0.7222	NIST	L11121
54.04	Xe	V	577.797	75.0	0.8333	NIST	L11121
54.04	Xe	V	582.366	70.0	0.7778	NIST	L11121
54.04	Xe	V	582.514	45.0	0.5	NIST	L11121
54.04	Xe	V	582.93	20.0	0.2222	NIST	L11121
54.04	Xe	V	588.167	55.0	0.6111	NIST	L11121
54.04	Xe	V	589.375	70.0	0.7778	NIST	L11121
54.04	Xe	V	593.231	40.0	0.4444	NIST	L11121
54.04	Xe	V	595.094	75.0	0.8333	NIST	L11121
54.04	Xe	V	599.244	70.0	0.7778	NIST	L11121
54.04	Xe	V	603.059	20.0	0.2222	NIST	L11121
54.04	Xe	V	603.404	72.0	0.8	NIST	L11121
54.04	Xe	V	610.576	45.0	0.5	NIST	L11121
54.04	Xe	V	618.443	75.0	0.8333	NIST	L11121
54.04	Xe	V	623.515	15.0	0.1667	NIST	L11121
54.04	Xe	V	629.144	12.0	0.1333	NIST	L11121
54.04	Xe	V	635.383	70.0	0.7778	NIST	L11121
54.04	Xe	V	637.503	70.0	0.7778	NIST	L11121
54.04	Xe	V	642.118	55.0	0.6111	NIST	L11121
54.04	Xe	V	642.89	5.0	0.0556	NIST	L11121
54.04	Xe	V	643.012	65.0	0.7222	NIST	L11121
54.04	Xe	V	643.133	60.0	0.6667	NIST	L11121
54.04	Xe	V	650.381	65.0	0.7222	NIST	L11121
54.04	Xe	V	655.333	50.0	0.5556	NIST	L11121
54.04	Xe	V	662.1	6.0	0.0667	NIST	L7287
54.04	Xe	V	667.725	35.0	0.3889	NIST	L11121
54.04	Xe	V	679.276	60.0	0.6667	NIST	L11121
54.04	Xe	V	682.573	75.0	0.8333	NIST	L11121
54.04	Xe	V	683.866	70.0	0.7778	NIST	L11121
54.04	Xe	V	691.275	55.0	0.6111	NIST	L11121
54.04	Xe	V	701.377	50.0	0.5556	NIST	L11121
54.04	Xe	V	702.34	90.0	1.0	NIST	L11121
54.04	Xe	V	702.87	12.0	0.1333	NIST	L7287
54.04	Xe	V	707.25	80.0	0.8889	NIST	L11121
54.04	Xe	V	707.905	65.0	0.7222	NIST	L11121
54.04	Xe	V	732.516	30.0	0.3333	NIST	L11121
54.04	Xe	V	735.94	3.0	0.0333	NIST	L7287
54.04	Xe	V	743.079	65.0	0.7222	NIST	L11121
54.04	Xe	V	756.316	10.0	0.1111	NIST	L11121
54.04	Xe	V	765.47	2.0	0.0222	NIST	L7287
54.04	Xe	V	768.58	3.0	0.0333	NIST	L7287
54.04	Xe	V	772.0	7.0	0.0778	NIST	L7287
54.04	Xe	V	776.87	6.0	0.0667	NIST	L7287
54.04	Xe	V	777.6	10.0	0.1111	NIST	L11121
54.04	Xe	V	780.662	50.0	0.5556	NIST	L11121
54.04	Xe	V	786.66	3.0	0.0333	NIST	L7287
54.04	Xe	V	786.728	10.0	0.1111	NIST	L11121
54.04	Xe	V	791.84	8.0	0.0889	NIST	L7287
54.04	Xe	V	797.379	10.0	0.1111	NIST	L11121
54.04	Xe	V	798.182	80.0	0.8889	NIST	L11121
54.04	Xe	V	798.705	35.0	0.3889	NIST	L11121
54.04	Xe	V	805.695	75.0	0.8333	NIST	L11121
54.04	Xe	V	829.346	82.0	0.9111	NIST	L11121
54.04	Xe	V	830.23	35.0	0.3889	NIST	L11121
54.04	Xe	V	834.08	1.0	0.0111	NIST	L7287
54.04	Xe	V	839.15	2.0	0.0222	NIST	L7287
54.04	Xe	V	844.89	6.0	0.0667	NIST	L7287
54.04	Xe	V	851.814	75.0	0.8333	NIST	L11121
54.04	Xe	V	862.2	6.0	0.0667	NIST	L7287
54.04	Xe	V	863.15	3.0	0.0333	NIST	L7287
54.04	Xe	V	867.41	80.0	0.8889	NIST	L11121
54.04	Xe	V	886.68	9.0	0.1	NIST	L7287
54.04	Xe	V	893.12	1.0	0.0111	NIST	L7287
54.04	Xe	V	896.82	10.0	0.1111	NIST	L7287
54.04	Xe	V	900.5	25.0	0.2778	NIST	L11121
54.04	Xe	V	907.06	9.0	0.1	NIST	L7287
54.04	Xe	V	908.11	6.0	0.0667	NIST	L7287
54.04	Xe	V	921.54	7.0	0.0778	NIST	L7287
54.04	Xe	V	936.283	85.0	0.9444	NIST	L11121
54.04	Xe	V	940.813	40.0	0.4444	NIST	L11121
54.04	Xe	V	941.95	5.0	0.0556	NIST	L7287
54.04	Xe	V	943.442	20.0	0.2222	NIST	L11121
54.04	Xe	V	945.244	82.0	0.9111	NIST	L11121
54.04	Xe	V	954.66	7.0	0.0778	NIST	L7287
54.04	Xe	V	980.68	12.0	0.1333	NIST	L7287
54.04	Xe	V	988.534	35.0	0.3889	NIST	L11121
54.04	Xe	V	989.63	3.0	0.0333	NIST	L7287
54.04	Xe	V	995.26	5.0	0.0556	NIST	L7287
54.04	Xe	V	1002.48	10.0	0.1111	NIST	L7287
54.04	Xe	V	1026.6	9.0	0.1	NIST	L7287
54.04	Xe	V	1056.47	3.0	0.0333	NIST	L7287
54.04	Xe	V	1059.34	6.0	0.0667	NIST	L7287
54.04	Xe	V	1063.26	4.0	0.0444	NIST	L7287
54.04	Xe	V	1063.55	7.0	0.0778	NIST	L7287
54.04	Xe	V	1071.1	8.0	0.0889	NIST	L7287
54.04	Xe	V	1072.81	6.0	0.0667	NIST	L7287
54.04	Xe	V	1083.53	3.0	0.0333	NIST	L7287
54.04	Xe	V	1086.01	4.0	0.0444	NIST	L7287
54.04	Xe	V	1092.801	70.0	0.7778	NIST	L11121
54.04	Xe	V	1095.65	8.0	0.0889	NIST	L7287
54.04	Xe	V	1109.829	15.0	0.1667	NIST	L11121
54.04	Xe	V	1111.49	5.0	0.0556	NIST	L7287
54.04	Xe	V	1114.82	3.0	0.0333	NIST	L7287
54.04	Xe	V	1115.28	1.0	0.0111	NIST	L7287
54.04	Xe	V	1118.92	6.0	0.0667	NIST	L7287
54.04	Xe	V	1119.77	4.0	0.0444	NIST	L7287
