atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
54.06	Xe	VII	106.89	80.0	0.8333	NIST	L5852
54.06	Xe	VII	113.43	50.0	0.5208	NIST	L5852
54.06	Xe	VII	118.25	30.0	0.3125	NIST	L5852
54.06	Xe	VII	119.75	10.0	0.1042	NIST	L5852
54.06	Xe	VII	123.242	30.0	0.3125	NIST	L11882
54.06	Xe	VII	181.876	20.0	0.2083	NIST	L11882
54.06	Xe	VII	185.438	50.0	0.5208	NIST	L11882
54.06	Xe	VII	245.215	75.0	0.7812	NIST	L11882
54.06	Xe	VII	249.445	25.0	0.2604	NIST	L11882
54.06	Xe	VII	360.35	1.0	0.0104	NIST	L11900
54.06	Xe	VII	366.168	55.0	0.5729	NIST	L11882
54.06	Xe	VII	386.56	35.0	0.3646	NIST	L11882
54.06	Xe	VII	393.114	64.0	0.6667	NIST	L11882
54.06	Xe	VII	393.919	54.0	0.5625	NIST	L11882
54.06	Xe	VII	404.635	33.0	0.3438	NIST	L11882
54.06	Xe	VII	410.585	25.0	0.2604	NIST	L11882
54.06	Xe	VII	413.95	1.0	0.0104	NIST	L11900
54.06	Xe	VII	414.666	81.0	0.8438	NIST	L11882
54.06	Xe	VII	419.989	81.0	0.8438	NIST	L11882
54.06	Xe	VII	426.072	58.0	0.6042	NIST	L11882
54.06	Xe	VII	427.183	28.0	0.2917	NIST	L11882
54.06	Xe	VII	450.85	1.0	0.0104	NIST	L11900
54.06	Xe	VII	457.851	56.0	0.5833	NIST	L11882
54.06	Xe	VII	482.877	27.0	0.2812	NIST	L11882
54.06	Xe	VII	494.243	34.0	0.3542	NIST	L11882
54.06	Xe	VII	521.832	75.0	0.7812	NIST	L11882
54.06	Xe	VII	526.644	48.0	0.5	NIST	L11882
54.06	Xe	VII	527.697	18.0	0.1875	NIST	L11882
54.06	Xe	VII	528.72	10.0	0.1042	NIST	L11882
54.06	Xe	VII	531.179	83.0	0.8646	NIST	L11882
54.06	Xe	VII	533.763	58.0	0.6042	NIST	L11882
54.06	Xe	VII	533.85	77.0	0.8021	NIST	L11882
54.06	Xe	VII	534.966	45.0	0.4688	NIST	L11882
54.06	Xe	VII	535.98	35.0	0.3646	NIST	L11882
54.06	Xe	VII	543.102	20.0	0.2083	NIST	L11882
54.06	Xe	VII	547.78	54.0	0.5625	NIST	L11882
54.06	Xe	VII	566.05	85.0	0.8854	NIST	L11882
54.06	Xe	VII	571.309	66.0	0.6875	NIST	L11882
54.06	Xe	VII	571.656	43.0	0.4479	NIST	L11882
54.06	Xe	VII	574.451	71.0	0.7396	NIST	L11882
54.06	Xe	VII	576.768	27.0	0.2812	NIST	L11882
54.06	Xe	VII	577.63	8.0	0.0833	NIST	L11900
54.06	Xe	VII	578.64	62.0	0.6458	NIST	L11882
54.06	Xe	VII	578.85	10.0	0.1042	NIST	L11882
54.06	Xe	VII	579.15	3.0	0.0312	NIST	L11900
54.06	Xe	VII	580.549	20.0	0.2083	NIST	L11882
54.06	Xe	VII	584.196	26.0	0.2708	NIST	L11882
54.06	Xe	VII	588.717	52.0	0.5417	NIST	L11882
54.06	Xe	VII	594.643	65.0	0.6771	NIST	L11882
54.06	Xe	VII	601.71	2.0	0.0208	NIST	L11900
54.06	Xe	VII	604.913	62.0	0.6458	NIST	L11882
54.06	Xe	VII	608.706	94.0	0.9792	NIST	L11882
54.06	Xe	VII	624.383	71.0	0.7396	NIST	L11882
54.06	Xe	VII	634.144	28.0	0.2917	NIST	L11882
54.06	Xe	VII	660.502	88.0	0.9167	NIST	L11882
54.06	Xe	VII	667.92	20.0	0.2083	NIST	L7278
54.06	Xe	VII	671.02	1.0	0.0104	NIST	L11900
54.06	Xe	VII	675.28	4.0	0.0417	NIST	L11900
54.06	Xe	VII	687.53	5.0	0.0521	NIST	L11900
54.06	Xe	VII	691.98	5.0	0.0521	NIST	L11900
54.06	Xe	VII	698.038	96.0	1.0	NIST	L11882
54.06	Xe	VII	721.8	86.0	0.8958	NIST	L11882
