atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
39.04	Y	V	184.144	1.0	0.0	NIST	L19755
39.04	Y	V	187.849	25.0	0.0	NIST	L19755
39.04	Y	V	188.469	3.0	0.0	NIST	L19755
39.04	Y	V	191.571	50.0	0.0	NIST	L19755
39.04	Y	V	193.843	3.0	0.0	NIST	L19755
39.04	Y	V	193.888	3.0	0.0	NIST	L19755
39.04	Y	V	194.165	10.0	0.0	NIST	L19755
39.04	Y	V	194.457	10.0	0.0	NIST	L19755
39.04	Y	V	196.148	30.0	0.0	NIST	L19755
39.04	Y	V	196.206	25.0	0.0	NIST	L19755
39.04	Y	V	196.44	40.0	0.0	NIST	L19755
39.04	Y	V	198.495	3.0	0.0	NIST	L19755
39.04	Y	V	198.64	20.0	0.0	NIST	L19755
39.04	Y	V	198.753	60.0	0.0	NIST	L19755
39.04	Y	V	198.99	3.0	0.0	NIST	L19755
39.04	Y	V	199.285	3.0	0.0	NIST	L19755
39.04	Y	V	199.46	2.0	0.0	NIST	L19755
39.04	Y	V	200.392	80.0	0.0	NIST	L19755
39.04	Y	V	200.694	1.0	0.0	NIST	L19755
39.04	Y	V	201.064	30.0	0.0	NIST	L19755
39.04	Y	V	202.78	30.0	0.0	NIST	L19755
39.04	Y	V	202.792	40.0	0.0	NIST	L19755
39.04	Y	V	203.531	10.0	0.0	NIST	L19755
39.04	Y	V	205.525	1.0	0.0	NIST	L19755
39.04	Y	V	205.731	10.0	0.0	NIST	L19755
39.04	Y	V	208.036	2.0	0.0	NIST	L19755
39.04	Y	V	211.144	20.0	0.0	NIST	L19755
39.04	Y	V	212.318	20.0	0.0	NIST	L19755
39.04	Y	V	217.564	100.0	0.0	NIST	L19755
39.04	Y	V	217.853	80.0	0.0	NIST	L19755
39.04	Y	V	222.825	30.0	0.0	NIST	L19755
39.04	Y	V	223.032	70.0	0.0	NIST	L19755
39.04	Y	V	223.561	90.0	0.0	NIST	L19755
39.04	Y	V	223.57	80.0	0.0	NIST	L19755
39.04	Y	V	223.86	200.0	0.0	NIST	L19755
39.04	Y	V	224.107	2.0	0.0	NIST	L19755
39.04	Y	V	224.566	100.0	0.0	NIST	L19755
39.04	Y	V	224.726	150.0	0.0	NIST	L19755
39.04	Y	V	225.159	100.0	0.0	NIST	L19755
39.04	Y	V	228.743	200.0	0.0	NIST	L19755
39.04	Y	V	229.191	3.0	0.0	NIST	L19755
39.04	Y	V	229.411	100.0	0.0	NIST	L19755
39.04	Y	V	229.53	20.0	0.0	NIST	L19755
39.04	Y	V	229.845	70.0	0.0	NIST	L19755
39.04	Y	V	229.981	100.0	0.0	NIST	L19755c153
39.04	Y	V	230.071	150.0	0.0	NIST	L19755
39.04	Y	V	230.277	2.0	0.0	NIST	L19755
39.04	Y	V	231.12	20.0	0.0	NIST	L19755c153
39.04	Y	V	231.201	50.0	0.0	NIST	L19755
39.04	Y	V	231.659	20.0	0.0	NIST	L19755
39.04	Y	V	231.784	70.0	0.0	NIST	L19755
39.04	Y	V	232.269	20.0	0.0	NIST	L19755
39.04	Y	V	232.37	20.0	0.0	NIST	L19755
39.04	Y	V	232.8	20.0	0.0	NIST	L19755
39.04	Y	V	235.25	200.0	0.0	NIST	L19755
39.04	Y	V	235.39	150.0	0.0	NIST	L19755
39.04	Y	V	235.452	25.0	0.0	NIST	L19755
39.04	Y	V	236.21	70.0	0.0	NIST	L19755
39.04	Y	V	236.623	80.0	0.0	NIST	L19755
39.04	Y	V	238.675	50.0	0.0	NIST	L19755
39.04	Y	V	238.711	10.0	0.0	NIST	L19755
39.04	Y	V	239.298	2.0	0.0	NIST	L19755
39.04	Y	V	239.754	10.0	0.0	NIST	L19755
39.04	Y	V	242.501	60.0	0.0	NIST	L19755
39.04	Y	V	243.375	3.0	0.0	NIST	L19755
39.04	Y	V	245.389	5.0	0.0	NIST	L19755
39.04	Y	V	289.182	90.0	0.0	NIST	L19755c153
39.04	Y	V	312.888	50.0	0.0	NIST	L19755
39.04	Y	V	313.349	1000.0	0.0002	NIST	L19755
39.04	Y	V	320.467	500.0	0.0001	NIST	L19755
39.04	Y	V	321.691	700.0	0.0001	NIST	L19755
39.04	Y	V	325.58	2000.0	0.0004	NIST	L19755
39.04	Y	V	326.567	3000.0	0.0006	NIST	L19755
39.04	Y	V	330.398	300.0	0.0001	NIST	L19755
39.04	Y	V	333.084	10000.0	0.002	NIST	L19755
