atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
70.01	Yb	II	2116.67	2500.0	0.0781	NIST	L3475
70.01	Yb	II	2126.74	3000.0	0.0938	NIST	L3475
70.01	Yb	II	2161.6	370.0	0.0116	NIST	L3475
70.01	Yb	II	2185.71	850.0	0.0266	NIST	L3475
70.01	Yb	II	2224.46	640.0	0.02	NIST	L3475
70.01	Yb	II	2320.81	140.0	0.0044	NIST	L3475
70.01	Yb	II	2362.89	50.0	0.0016	NIST	L3475
70.01	Yb	II	2390.74	170.0	0.0053	NIST	L3475
70.01	Yb	II	2398.02	18.0	0.0006	NIST	L3475
70.01	Yb	II	2421.35	28.0	0.0009	NIST	L3475
70.01	Yb	II	2447.26	25.0	0.0008	NIST	L3475
70.01	Yb	II	2460.25	28.0	0.0009	NIST	L3475
70.01	Yb	II	2484.89	14.0	0.0004	NIST	L3475
70.01	Yb	II	2502.02	70.0	0.0022	NIST	L3475
70.01	Yb	II	2505.48	28.0	0.0009	NIST	L3475
70.01	Yb	II	2508.07	11.0	0.0003	NIST	L3475
70.01	Yb	II	2512.06	140.0	0.0044	NIST	L3475
70.01	Yb	II	2516.35	18.0	0.0006	NIST	L3475
70.01	Yb	II	2522.44	50.0	0.0016	NIST	L3475
70.01	Yb	II	2537.65	65.0	0.002	NIST	L3475
70.01	Yb	II	2538.67	270.0	0.0084	NIST	L3475
70.01	Yb	II	2550.06	14.0	0.0004	NIST	L3475
70.01	Yb	II	2552.15	70.0	0.0022	NIST	L3475
70.01	Yb	II	2552.7	55.0	0.0017	NIST	L3475
70.01	Yb	II	2565.57	21.0	0.0007	NIST	L3475
70.01	Yb	II	2571.36	28.0	0.0009	NIST	L3475
70.01	Yb	II	2573.15	13.0	0.0004	NIST	L3475
70.01	Yb	II	2596.16	18.0	0.0006	NIST	L3475
70.01	Yb	II	2596.32	28.0	0.0009	NIST	L3475
70.01	Yb	II	2615.26	21.0	0.0007	NIST	L3475
70.01	Yb	II	2617.01	100.0	0.0031	NIST	L3475
70.01	Yb	II	2634.31	55.0	0.0017	NIST	L3475
70.01	Yb	II	2639.45	45.0	0.0014	NIST	L3475
70.01	Yb	II	2641.89	85.0	0.0027	NIST	L3475
70.01	Yb	II	2644.31	110.0	0.0034	NIST	L3475
70.01	Yb	II	2646.44	28.0	0.0009	NIST	L3475
70.01	Yb	II	2647.46	28.0	0.0009	NIST	L3475
70.01	Yb	II	2648.8	28.0	0.0009	NIST	L3475
70.01	Yb	II	2649.79	50.0	0.0016	NIST	L3475
70.01	Yb	II	2650.73	28.0	0.0009	NIST	L3475
70.01	Yb	II	2653.75	990.0	0.0309	NIST	L3475
70.01	Yb	II	2656.12	35.0	0.0011	NIST	L3475
70.01	Yb	II	2659.27	21.0	0.0007	NIST	L3475
70.01	Yb	II	2665.04	200.0	0.0063	NIST	L3475
70.01	Yb	II	2668.75	55.0	0.0017	NIST	L3475
70.01	Yb	II	2672.66	390.0	0.0122	NIST	L3475
70.01	Yb	II	2680.4	21.0	0.0007	NIST	L3475
70.01	Yb	II	2683.42	14.0	0.0004	NIST	L3475
70.01	Yb	II	2684.75	70.0	0.0022	NIST	L3475
70.01	Yb	II	2687.98	25.0	0.0008	NIST	L3475
70.01	Yb	II	2695.43	28.0	0.0009	NIST	L3475
70.01	Yb	II	2696.62	14.0	0.0004	NIST	L3475
70.01	Yb	II	2700.8	18.0	0.0006	NIST	L3475
70.01	Yb	II	2708.84	21.0	0.0007	NIST	L3475
70.01	Yb	II	2710.54	65.0	0.002	NIST	L3475
70.01	Yb	II	2711.78	25.0	0.0008	NIST	L3475
70.01	Yb	II	2712.66	55.0	0.0017	NIST	L3475
70.01	Yb	II	2718.35	170.0	0.0053	NIST	L3475
70.01	Yb	II	2722.2	21.0	0.0007	NIST	L3475
70.01	Yb	II	2732.74	110.0	0.0034	NIST	L3475
70.01	Yb	II	2734.09	21.0	0.0007	NIST	L3475
70.01	Yb	II	2741.71	55.0	0.0017	NIST	L3475
70.01	Yb	II	2747.58	55.0	0.0017	NIST	L3475
70.01	Yb	II	2748.04	18.0	0.0006	NIST	L3475
70.01	Yb	II	2748.66	230.0	0.0072	NIST	L3475
70.01	Yb	II	2750.48	1300.0	0.0406	NIST	L3475
70.01	Yb	II	2751.45	85.0	0.0027	NIST	L3475
70.01	Yb	II	2759.0	21.0	0.0007	NIST	L3475
70.01	Yb	II	2760.78	65.0	0.002	NIST	L3475
70.01	Yb	II	2761.37	65.0	0.002	NIST	L3475
70.01	Yb	II	2764.41	35.0	0.0011	NIST	L3475
70.01	Yb	II	2771.32	85.0	0.0027	NIST	L3475
70.01	Yb	II	2776.28	170.0	0.0053	NIST	L3475
70.01	Yb	II	2784.66	100.0	0.0031	NIST	L3475
70.01	Yb	II	2787.96	18.0	0.0006	NIST	L3475
70.01	Yb	II	2793.28	45.0	0.0014	NIST	L3475
70.01	Yb	II	2794.44	25.0	0.0008	NIST	L3475
70.01	Yb	II	2795.07	21.0	0.0007	NIST	L3475
70.01	Yb	II	2795.29	18.0	0.0006	NIST	L3475
70.01	Yb	II	2797.8	35.0	0.0011	NIST	L3475
70.01	Yb	II	2798.21	100.0	0.0031	NIST	L3475
70.01	Yb	II	2799.38	45.0	0.0014	NIST	L3475
70.01	Yb	II	2800.0	50.0	0.0016	NIST	L3475
70.01	Yb	II	2800.06	35.0	0.0011	NIST	L3475
70.01	Yb	II	2810.72	14.0	0.0004	NIST	L3475
70.01	Yb	II	2814.53	65.0	0.002	NIST	L3475
70.01	Yb	II	2816.32	28.0	0.0009	NIST	L3475
70.01	Yb	II	2821.15	140.0	0.0044	NIST	L3475
70.01	Yb	II	2824.97	100.0	0.0031	NIST	L3475
70.01	Yb	II	2830.99	190.0	0.0059	NIST	L3475
70.01	Yb	II	2832.2	18.0	0.0006	NIST	L3475
70.01	Yb	II	2834.97	28.0	0.0009	NIST	L3475
70.01	Yb	II	2842.59	14.0	0.0004	NIST	L3475
70.01	Yb	II	2847.18	230.0	0.0072	NIST	L3475
70.01	Yb	II	2848.44	100.0	0.0031	NIST	L3475
70.01	Yb	II	2849.34	21.0	0.0007	NIST	L3475
70.01	Yb	II	2851.13	360.0	0.0112	NIST	L3475
70.01	Yb	II	2851.86	55.0	0.0017	NIST	L3475
70.01	Yb	II	2853.41	21.0	0.0007	NIST	L3475
70.01	Yb	II	2853.68	18.0	0.0006	NIST	L3475
70.01	Yb	II	2854.14	55.0	0.0017	NIST	L3475
70.01	Yb	II	2854.49	45.0	0.0014	NIST	L3475
70.01	Yb	II	2858.33	45.0	0.0014	NIST	L3475
70.01	Yb	II	2858.46	45.0	0.0014	NIST	L3475
70.01	Yb	II	2859.39	100.0	0.0031	NIST	L3475
70.01	Yb	II	2859.8	430.0	0.0134	NIST	L3475
70.01	Yb	II	2860.39	55.0	0.0017	NIST	L3475
70.01	Yb	II	2861.21	140.0	0.0044	NIST	L3475
70.01	Yb	II	2861.34	100.0	0.0031	NIST	L3475
70.01	Yb	II	2867.06	200.0	0.0063	NIST	L3475
70.01	Yb	II	2870.06	25.0	0.0008	NIST	L3475
70.01	Yb	II	2885.97	28.0	0.0009	NIST	L3475
70.01	Yb	II	2886.26	70.0	0.0022	NIST	L3475
70.01	Yb	II	2888.04	200.0	0.0063	NIST	L3475
70.01	Yb	II	2891.38	3600.0	0.1125	NIST	L3475
70.01	Yb	II	2893.62	45.0	0.0014	NIST	L3475
70.01	Yb	II	2896.9	28.0	0.0009	NIST	L3475
70.01	Yb	II	2899.7	85.0	0.0027	NIST	L3475
70.01	Yb	II	2902.41	18.0	0.0006	NIST	L3475
70.01	Yb	II	2902.92	21.0	0.0007	NIST	L3475
70.01	Yb	II	2906.88	21.0	0.0007	NIST	L3475
70.01	Yb	II	2908.33	28.0	0.0009	NIST	L3475
70.01	Yb	II	2909.19	35.0	0.0011	NIST	L3475
70.01	Yb	II	2909.48	55.0	0.0017	NIST	L3475
70.01	Yb	II	2911.52	85.0	0.0027	NIST	L3475
70.01	Yb	II	2912.86	18.0	0.0006	NIST	L3475
70.01	Yb	II	2914.21	170.0	0.0053	NIST	L3475
70.01	Yb	II	2915.28	140.0	0.0044	NIST	L3475
70.01	Yb	II	2916.43	18.0	0.0006	NIST	L3475
70.01	Yb	II	2919.35	280.0	0.0088	NIST	L3475
70.01	Yb	II	2921.12	55.0	0.0017	NIST	L3475
70.01	Yb	II	2924.24	45.0	0.0014	NIST	L3475
70.01	Yb	II	2927.85	25.0	0.0008	NIST	L3475
70.01	Yb	II	2935.11	55.0	0.0017	NIST	L3475
70.01	Yb	II	2937.19	21.0	0.0007	NIST	L3475
70.01	Yb	II	2939.53	45.0	0.0014	NIST	L3475
70.01	Yb	II	2940.52	45.0	0.0014	NIST	L3475
70.01	Yb	II	2942.04	28.0	0.0009	NIST	L3475
70.01	Yb	II	2945.91	140.0	0.0044	NIST	L3475
70.01	Yb	II	2946.3	45.0	0.0014	NIST	L3475
70.01	Yb	II	2946.76	18.0	0.0006	NIST	L3475
70.01	Yb	II	2950.33	28.0	0.0009	NIST	L3475
70.01	Yb	II	2955.32	45.0	0.0014	NIST	L3475
70.01	Yb	II	2957.63	18.0	0.0006	NIST	L3475
70.01	Yb	II	2962.52	65.0	0.002	NIST	L3475
70.01	Yb	II	2963.26	21.0	0.0007	NIST	L3475
