atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
30.02	Zn	III	677.63	1000.0	1.0	NIST	L65
30.02	Zn	III	677.96	750.0	0.75	NIST	L65
30.02	Zn	III	713.9	200.0	0.2	NIST	L65
30.02	Zn	III	1432.15	100.0	0.1	NIST	L65
30.02	Zn	III	1456.72	200.0	0.2	NIST	L65
30.02	Zn	III	1464.2	100.0	0.1	NIST	L65
30.02	Zn	III	1465.75	100.0	0.1	NIST	L65
30.02	Zn	III	1473.41	300.0	0.3	NIST	L65
30.02	Zn	III	1489.26	100.0	0.1	NIST	L65
30.02	Zn	III	1490.96	100.0	0.1	NIST	L65
30.02	Zn	III	1498.79	200.0	0.2	NIST	L65
30.02	Zn	III	1499.42	300.0	0.3	NIST	L65
30.02	Zn	III	1500.42	300.0	0.3	NIST	L65
30.02	Zn	III	1505.92	300.0	0.3	NIST	L65
30.02	Zn	III	1515.85	300.0	0.3	NIST	L65
30.02	Zn	III	1533.09	30.0	0.03	NIST	L65
30.02	Zn	III	1552.3	300.0	0.3	NIST	L65
30.02	Zn	III	1552.94	200.0	0.2	NIST	L65
30.02	Zn	III	1553.11	80.0	0.08	NIST	L65
30.02	Zn	III	1560.79	200.0	0.2	NIST	L65
30.02	Zn	III	1562.55	150.0	0.15	NIST	L65
30.02	Zn	III	1581.53	200.0	0.2	NIST	L65
30.02	Zn	III	1582.06	100.0	0.1	NIST	L65
30.02	Zn	III	1598.52	100.0	0.1	NIST	L65
30.02	Zn	III	1600.87	100.0	0.1	NIST	L65
30.02	Zn	III	1619.61	100.0	0.1	NIST	L65
30.02	Zn	III	1622.51	150.0	0.15	NIST	L65
30.02	Zn	III	1629.19	200.0	0.2	NIST	L65
30.02	Zn	III	1639.33	200.0	0.2	NIST	L65
30.02	Zn	III	1644.82	150.0	0.15	NIST	L65
30.02	Zn	III	1651.74	100.0	0.1	NIST	L65
30.02	Zn	III	1673.05	200.0	0.2	NIST	L65
30.02	Zn	III	1688.59	100.0	0.1	NIST	L65
30.02	Zn	III	1695.4	80.0	0.08	NIST	L65
30.02	Zn	III	1706.65	80.0	0.08	NIST	L65
30.02	Zn	III	1749.63	80.0	0.08	NIST	L65
30.02	Zn	III	1753.84	50.0	0.05	NIST	L65
30.02	Zn	III	1767.69	100.0	0.1	NIST	L65
30.02	Zn	III	1839.32	80.0	0.08	NIST	L65
