atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
40.03	Zr	IV	445.599	4.0	0.0	NIST	L5042
40.03	Zr	IV	447.96	1.0	0.0	NIST	L5042
40.03	Zr	IV	478.966	1.0	0.0	NIST	L5042
40.03	Zr	IV	480.66	2.0	0.0	NIST	L5042
40.03	Zr	IV	497.229	70.0	0.0	NIST	L5042
40.03	Zr	IV	500.219	90.0	0.0	NIST	L5042
40.03	Zr	IV	500.339	1.0	0.0	NIST	L5042
40.03	Zr	IV	584.655	8.0	0.0	NIST	L5042
40.03	Zr	IV	585.426	20.0	0.0	NIST	L5042
40.03	Zr	IV	586.421	5.0	0.0	NIST	L5042
40.03	Zr	IV	588.892	200.0	0.0	NIST	L5042
40.03	Zr	IV	589.746	300.0	0.0	NIST	L5042
40.03	Zr	IV	628.666	1200.0	0.0001	NIST	L5042
40.03	Zr	IV	633.567	1500.0	0.0001	NIST	L5042
40.03	Zr	IV	633.641	300.0	0.0	NIST	L5042
40.03	Zr	IV	712.489	10.0	0.0	NIST	L5042
40.03	Zr	IV	754.39	200.0	0.0	NIST	L5042
40.03	Zr	IV	760.157	100.0	0.0	NIST	L5042
40.03	Zr	IV	846.401	150.0	0.0	NIST	L5042
40.03	Zr	IV	863.642	150.0	0.0	NIST	L5042
40.03	Zr	IV	864.586	150.0	0.0	NIST	L5042
40.03	Zr	IV	881.298	300.0	0.0	NIST	L5042
40.03	Zr	IV	882.584	20.0	0.0	NIST	L5042
40.03	Zr	IV	1033.768	2.0	0.0	NIST	L5042
40.03	Zr	IV	1033.97	3.0	0.0	NIST	L5042
40.03	Zr	IV	1099.761	20.0	0.0	NIST	L5042
40.03	Zr	IV	1100.005	30.0	0.0	NIST	L5042
40.03	Zr	IV	1183.974	500000.0	0.05	NIST	L5042
40.03	Zr	IV	1201.771	5000000.0	0.5	NIST	L5042
40.03	Zr	IV	1212.716	200.0	0.0	NIST	L5042
40.03	Zr	IV	1213.011	250.0	0.0	NIST	L5042
40.03	Zr	IV	1219.862	3500000.0	0.35	NIST	L5042
40.03	Zr	IV	1285.888	2500.0	0.0003	NIST	L5042
40.03	Zr	IV	1290.566	3000.0	0.0003	NIST	L5042
40.03	Zr	IV	1291.704	60.0	0.0	NIST	L5042
40.03	Zr	IV	1417.703	80000.0	0.008	NIST	L5042
40.03	Zr	IV	1440.653	6000.0	0.0006	NIST	L5042
40.03	Zr	IV	1441.068	8000.0	0.0008	NIST	L5042
40.03	Zr	IV	1469.474	200000.0	0.02	NIST	L5042
40.03	Zr	IV	1546.172	2000000.0	0.2	NIST	L5042
40.03	Zr	IV	1596.291	15.0	0.0	NIST	L5042
40.03	Zr	IV	1598.951	5000000.0	0.5	NIST	L5042
40.03	Zr	IV	1605.26	300.0	0.0	NIST	L5042
40.03	Zr	IV	1607.95	80000.0	0.008	NIST	L5042
40.03	Zr	IV	1609.504	100.0	0.0	NIST	L5042
40.03	Zr	IV	1818.059	40.0	0.0	NIST	L5042
40.03	Zr	IV	1836.154	35000.0	0.0035	NIST	L5042
40.03	Zr	IV	1846.372	50000.0	0.005	NIST	L5042
40.03	Zr	IV	1848.026	300.0	0.0	NIST	L5042
40.03	Zr	IV	1851.907	90.0	0.0	NIST	L5042
40.03	Zr	IV	2045.122	6.0	0.0	NIST	L5042
40.03	Zr	IV	2047.148	20.0	0.0	NIST	L5042
40.03	Zr	IV	2091.487	70000.0	0.007	NIST	L5042
40.03	Zr	IV	2092.359	80000.0	0.008	NIST	L5042
40.03	Zr	IV	2163.685	10000000.0	1.0	NIST	L5042
40.03	Zr	IV	2286.674	4000000.0	0.4	NIST	L5042
40.03	Zr	IV	2473.751	700.0	0.0001	NIST	L5042
40.03	Zr	IV	2476.715	1000.0	0.0001	NIST	L5042
40.03	Zr	IV	2572.324	10.0	0.0	NIST	L5042
40.03	Zr	IV	2573.66	4000.0	0.0004	NIST	L5042
40.03	Zr	IV	2583.32	2500.0	0.0003	NIST	L5042
40.03	Zr	IV	3297.865	500.0	0.0001	NIST	L5042
40.03	Zr	IV	3410.985	1000.0	0.0001	NIST	L5042
40.03	Zr	IV	3576.108	2000.0	0.0002	NIST	L5042
40.03	Zr	IV	3653.166	500.0	0.0001	NIST	L5042
40.03	Zr	IV	3659.625	600.0	0.0001	NIST	L5042
40.03	Zr	IV	3686.905	3000.0	0.0003	NIST	L5042
40.03	Zr	IV	3709.519	500.0	0.0001	NIST	L5042
40.03	Zr	IV	3750.601	600.0	0.0001	NIST	L5042
40.03	Zr	IV	3764.319	800.0	0.0001	NIST	L5042
40.03	Zr	IV	3774.015	20.0	0.0	NIST	L5042
40.03	Zr	IV	4137.435	500.0	0.0001	NIST	L5042
40.03	Zr	IV	4198.265	3000.0	0.0003	NIST	L5042
40.03	Zr	IV	4317.081	2000.0	0.0002	NIST	L5042
40.03	Zr	IV	4569.247	1800.0	0.0002	NIST	L5042
