atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
47.00	Ag	I	1507.37	50.0	0.0009	NIST	L3326
47.00	Ag	I	1515.63	100.0	0.0018	NIST	L3326
47.00	Ag	I	1548.58	50.0	0.0009	NIST	L3326
47.00	Ag	I	1651.87	60.0	0.0011	NIST	L2489
47.00	Ag	I	1708.11	10.0	0.0002	NIST	L3326
47.00	Ag	I	1709.26	50.0	0.0009	NIST	L3326
47.00	Ag	I	1766.2	10.0	0.0002	NIST	L3326
47.00	Ag	I	1847.73	20.0	0.0004	NIST	L3326
47.00	Ag	I	2061.162	200.0	0.0036	NIST	L11755
47.00	Ag	I	2069.844	100.0	0.0018	NIST	L11755
47.00	Ag	I	2170.0	15.0	0.0003	NIST	L3326
47.00	Ag	I	2309.56	30.0	0.0005	NIST	L3326
47.00	Ag	I	2312.6	10.0	0.0002	NIST	L3326
47.00	Ag	I	2375.02	50.0	0.0009	NIST	L3326
47.00	Ag	I	2575.63	50.0	0.0009	NIST	L3326
47.00	Ag	I	2721.77	50.0	0.0009	NIST	L3326
47.00	Ag	I	2824.39	100.0	0.0018	NIST	L3326
47.00	Ag	I	2926.77	10.0	0.0002	NIST	L3326
47.00	Ag	I	2938.42	20.0	0.0004	NIST	L3326
47.00	Ag	I	3099.1	20.0	0.0004	NIST	L3326
47.00	Ag	I	3130.02	30.0	0.0005	NIST	L3326
47.00	Ag	I	3170.579	10.0	0.0002	NIST	L3326
47.00	Ag	I	3215.67	15.0	0.0003	NIST	L3326
47.00	Ag	I	3225.15	10.0	0.0002	NIST	L3326
47.00	Ag	I	3233.18	15.0	0.0003	NIST	L3326
47.00	Ag	I	3280.68	55000.0	1.0	NIST	L11755
47.00	Ag	I	3305.675337	10.0	0.0002	NIST	L9025
47.00	Ag	I	3382.887	28000.0	0.5091	NIST	L11755
47.00	Ag	I	3403.78	10.0	0.0002	NIST	L3326
47.00	Ag	I	3469.16	30.0	0.0005	NIST	L3326
47.00	Ag	I	3501.921	20.0	0.0004	NIST	L11755
47.00	Ag	I	3508.025	20.0	0.0004	NIST	L11755
47.00	Ag	I	3513.377	15.0	0.0003	NIST	L3326
47.00	Ag	I	3521.123	10.0	0.0002	NIST	L11755
47.00	Ag	I	3542.5	50.0	0.0009	NIST	L2489
47.00	Ag	I	3547.16	10.0	0.0002	NIST	L3326
47.00	Ag	I	3557.01	10.0	0.0002	NIST	L3326
47.00	Ag	I	3586.679	20.0	0.0004	NIST	L11755
47.00	Ag	I	3623.36	10.0	0.0002	NIST	L2489
47.00	Ag	I	3624.69	50.0	0.0009	NIST	L11755
47.00	Ag	I	3682.504	30.0	0.0005	NIST	L11755
47.00	Ag	I	3709.192	50.0	0.0009	NIST	L11755
47.00	Ag	I	3727.42	10.0	0.0002	NIST	L3326
47.00	Ag	I	3753.14	20.0	0.0004	NIST	L3326
47.00	Ag	I	3810.941	200.0	0.0036	NIST	L11755
47.00	Ag	I	3811.773	50.0	0.0009	NIST	L11755
47.00	Ag	I	3840.75	100.0	0.0018	NIST	L11755
47.00	Ag	I	3847.846	20.0	0.0004	NIST	L11755
