atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
47.01	Ag	II	728.717	1600.0	0.0007	NIST	L647c114
47.01	Ag	II	730.816	15000.0	0.0063	NIST	L647c114
47.01	Ag	II	752.793	34000.0	0.0142	NIST	L647c114
47.01	Ag	II	943.1323	11000.0	0.0046	NIST	L11881c113
47.01	Ag	II	948.9659	3500.0	0.0015	NIST	L11881c113
47.01	Ag	II	954.078	35000.0	0.0146	NIST	L11881c113
47.01	Ag	II	956.2436	14000.0	0.0058	NIST	L11881c113
47.01	Ag	II	956.35	18000.0	0.0075	NIST	L11881c113
47.01	Ag	II	956.9606	18000.0	0.0075	NIST	L11881c113
47.01	Ag	II	957.374	5100.0	0.0021	NIST	L11881c113
47.01	Ag	II	958.8663	4500.0	0.0019	NIST	L11881c113
47.01	Ag	II	970.8875	70000.0	0.0292	NIST	L11881c113
47.01	Ag	II	973.2142	26000.0	0.0108	NIST	L11881c113
47.01	Ag	II	976.7483	76000.0	0.0317	NIST	L11881c113
47.01	Ag	II	980.5448	58000.0	0.0242	NIST	L11881c113
47.01	Ag	II	982.3525	18000.0	0.0075	NIST	L11881c113
47.01	Ag	II	984.2449	14000.0	0.0058	NIST	L11881c113
47.01	Ag	II	985.2196	2600.0	0.0011	NIST	L11881c113
47.01	Ag	II	985.8954	58000.0	0.0242	NIST	L11881c113
47.01	Ag	II	988.3865	43000.0	0.0179	NIST	L11881c113
47.01	Ag	II	995.9494	8500.0	0.0035	NIST	L11881c113
47.01	Ag	II	997.5756	18000.0	0.0075	NIST	L11881c113
47.01	Ag	II	997.8142	42000.0	0.0175	NIST	L11881c113
47.01	Ag	II	999.2586	4700.0	0.002	NIST	L11881c113
47.01	Ag	II	999.38	26000.0	0.0108	NIST	L11881c113
47.01	Ag	II	1001.4694	23000.0	0.0096	NIST	L11881c113
47.01	Ag	II	1004.9292	42000.0	0.0175	NIST	L11881c113
47.01	Ag	II	1005.3493	48000.0	0.02	NIST	L11881c113
47.01	Ag	II	1006.4487	7800.0	0.0033	NIST	L11881c113
47.01	Ag	II	1007.4503	51000.0	0.0213	NIST	L11881c113
47.01	Ag	II	1008.1275	33000.0	0.0138	NIST	L11881c113
47.01	Ag	II	1008.5859	10000.0	0.0042	NIST	L11881c113
47.01	Ag	II	1010.2435	36000.0	0.015	NIST	L11881c113
47.01	Ag	II	1014.1648	27000.0	0.0112	NIST	L11881c113
47.01	Ag	II	1015.3869	15000.0	0.0063	NIST	L11881c113
47.01	Ag	II	1017.2918	1900.0	0.0008	NIST	L11881c113
47.01	Ag	II	1020.3195	3300.0	0.0014	NIST	L11881c113
47.01	Ag	II	1021.5493	12000.0	0.005	NIST	L11881c113
