atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
13.01	Al	II	683.529	2.0	0.0002	NIST	L4575
13.01	Al	II	689.936	5.0	0.0006	NIST	L4575
13.01	Al	II	699.489	10.0	0.0011	NIST	L4575
13.01	Al	II	714.695	20.0	0.0023	NIST	L4575
13.01	Al	II	741.182	25.0	0.0028	NIST	L4575
13.01	Al	II	794.475	20.0	0.0023	NIST	L4575
13.01	Al	II	905.152	20.0	0.0023	NIST	L4575
13.01	Al	II	908.342	1.0	0.0001	NIST	L6526
13.01	Al	II	910.916	10.0	0.0011	NIST	L4575
13.01	Al	II	911.497	10.0	0.0011	NIST	L4575
13.01	Al	II	911.9457	40.0	0.0045	NIST	L3460
13.01	Al	II	919.672	30.0	0.0034	NIST	L4575
13.01	Al	II	920.3166	50.0	0.0057	NIST	L3460
13.01	Al	II	920.716	50.0	0.0057	NIST	L3460
13.01	Al	II	921.367	75.0	0.0085	NIST	L3460
13.01	Al	II	932.4075	20.0	0.0023	NIST	L3460
13.01	Al	II	932.9385	40.0	0.0045	NIST	L3460
13.01	Al	II	933.4077	50.0	0.0057	NIST	L3460
13.01	Al	II	933.9382	75.0	0.0085	NIST	L3460
13.01	Al	II	934.015	100.0	0.0113	NIST	L3460
13.01	Al	II	935.0198	100.0	0.0113	NIST	L3460
13.01	Al	II	935.2752	100.0	0.0113	NIST	L3460
13.01	Al	II	952.6301	75.0	0.0085	NIST	L3460
13.01	Al	II	953.1822	100.0	0.0113	NIST	L3460
13.01	Al	II	954.305	125.0	0.0142	NIST	L3460
13.01	Al	II	954.8466	100.0	0.0113	NIST	L3460
13.01	Al	II	955.9766	125.0	0.0142	NIST	L3460
13.01	Al	II	985.9802	100.0	0.0113	NIST	L3460
13.01	Al	II	986.5712	125.0	0.0142	NIST	L3460
13.01	Al	II	987.7772	150.0	0.017	NIST	L3460
13.01	Al	II	989.0525	75.0	0.0085	NIST	L3460
13.01	Al	II	989.6475	100.0	0.0113	NIST	L3460
13.01	Al	II	990.8623	125.0	0.0142	NIST	L3460
13.01	Al	II	1047.8893	150.0	0.017	NIST	L3460
13.01	Al	II	1048.5588	170.0	0.0193	NIST	L3460
13.01	Al	II	1049.9233	190.0	0.0216	NIST	L3460
13.01	Al	II	1054.6031	100.0	0.0113	NIST	L3460
13.01	Al	II	1055.2802	125.0	0.0142	NIST	L3460
13.01	Al	II	1056.6613	150.0	0.017	NIST	L3460
13.01	Al	II	1132.726	35.0	0.004	NIST	L3460
13.01	Al	II	1142.9529	100.0	0.0113	NIST	L3460
13.01	Al	II	1157.0881	125.0	0.0142	NIST	L3460
13.01	Al	II	1158.2103	100.0	0.0113	NIST	L3460
13.01	Al	II	1169.86	3.0	0.0003	NIST	L6526
13.01	Al	II	1177.4371	125.0	0.0142	NIST	L3460
13.01	Al	II	1179.3541	125.0	0.0142	NIST	L3460
13.01	Al	II	1189.1854	125.0	0.0142	NIST	L3460
13.01	Al	II	1190.0518	150.0	0.017	NIST	L3460
13.01	Al	II	1191.8111	190.0	0.0216	NIST	L3460
13.01	Al	II	1208.3522	150.0	0.017	NIST	L3460
13.01	Al	II	1209.1914	100.0	0.0113	NIST	L3460
13.01	Al	II	1210.0817	125.0	0.0142	NIST	L3460
13.01	Al	II	1211.8983	150.0	0.017	NIST	L3460
13.01	Al	II	1211.953	125.0	0.0142	NIST	L3460
13.01	Al	II	1258.8585	125.0	0.0142	NIST	L3460
13.01	Al	II	1266.6481	150.0	0.017	NIST	L3460
13.01	Al	II	1350.1782	150.0	0.017	NIST	L3460
13.01	Al	II	1371.2401	150.0	0.017	NIST	L3460
13.01	Al	II	1539.8303	340.0	0.0386	NIST	L3460
13.01	Al	II	1555.943	1.0	0.0001	NIST	L4575
13.01	Al	II	1563.58	1.0	0.0001	NIST	L4575
13.01	Al	II	1573.003	3.0	0.0003	NIST	L4575
13.01	Al	II	1580.919	1.0	0.0001	NIST	L4575
13.01	Al	II	1584.708	4.0	0.0005	NIST	L4575
13.01	Al	II	1596.059	112.0	0.0127	NIST	L3460
13.01	Al	II	1599.41	20.0	0.0023	NIST	L4575
13.01	Al	II	1616.415	10.0	0.0011	NIST	L4575
13.01	Al	II	1618.399	50.0	0.0057	NIST	L3460
13.01	Al	II	1625.6271	125.0	0.0142	NIST	L3460
13.01	Al	II	1644.2348	100.0	0.0113	NIST	L3460
13.01	Al	II	1644.8089	100.0	0.0113	NIST	L3460
13.01	Al	II	1670.7867	400.0	0.0454	NIST	L3460
13.01	Al	II	1681.8089	80.0	0.0091	NIST	L3460
13.01	Al	II	1686.2505	100.0	0.0113	NIST	L3460
13.01	Al	II	1719.44	340.0	0.0386	NIST	L3460
13.01	Al	II	1721.2435	255.0	0.0289	NIST	L3460
13.01	Al	II	1721.2714	365.0	0.0414	NIST	L3460
13.01	Al	II	1724.9519	255.0	0.0289	NIST	L3460
13.01	Al	II	1724.9838	365.0	0.0414	NIST	L3460
13.01	Al	II	1739.7382	50.0	0.0057	NIST	L3460
13.01	Al	II	1750.612	60.0	0.0068	NIST	L3460
13.01	Al	II	1760.1044	210.0	0.0238	NIST	L3460
13.01	Al	II	1761.9751	190.0	0.0216	NIST	L3460
13.01	Al	II	1763.8692	255.0	0.0289	NIST	L3460
13.01	Al	II	1763.9521	315.0	0.0358	NIST	L3460
13.01	Al	II	1765.815	190.0	0.0216	NIST	L3460
13.01	Al	II	1767.7308	225.0	0.0255	NIST	L3460
13.01	Al	II	1772.802	10.0	0.0011	NIST	L4575
13.01	Al	II	1774.002	25.0	0.0028	NIST	L4575
13.01	Al	II	1774.77	10.0	0.0011	NIST	L4575
13.01	Al	II	1776.19	10.0	0.0011	NIST	L7431
13.01	Al	II	1776.975	100.0	0.0113	NIST	L4575
13.01	Al	II	1777.825	3.0	0.0003	NIST	L4575
13.01	Al	II	1807.4168	70.0	0.0079	NIST	L3460
13.01	Al	II	1807.5851	20.0	0.0023	NIST	L3460
13.01	Al	II	1807.651	1.0	0.0001	NIST	L4575
13.01	Al	II	1818.352	50.0	0.0057	NIST	L4575
13.01	Al	II	1818.392	3.0	0.0003	NIST	L4575
13.01	Al	II	1819.285	1.0	0.0001	NIST	L4575
13.01	Al	II	1820.124	2.0	0.0002	NIST	L4575
