atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
13.03	Al	IV	104.89	1.0	0.001	NIST	L6211
13.03	Al	IV	105.26	2.0	0.002	NIST	L6211
13.03	Al	IV	105.35	3.0	0.003	NIST	L6211
13.03	Al	IV	105.72	4.0	0.004	NIST	L6211
13.03	Al	IV	106.01	3.0	0.003	NIST	L6211
13.03	Al	IV	106.38	5.0	0.005	NIST	L6211
13.03	Al	IV	108.526	50.0	0.05	NIST	L1963
13.03	Al	IV	108.913	50.0	0.05	NIST	L1963
13.03	Al	IV	110.13	1.0	0.001	NIST	L6211
13.03	Al	IV	110.54	2.0	0.002	NIST	L6211
13.03	Al	IV	111.196	100.0	0.1	NIST	L1963
13.03	Al	IV	111.589	150.0	0.15	NIST	L1963
13.03	Al	IV	111.781	50.0	0.05	NIST	L1963
13.03	Al	IV	114.313	10.0	0.01	NIST	L3463
13.03	Al	IV	114.737	50.0	0.05	NIST	L3463
13.03	Al	IV	116.464	250.0	0.25	NIST	L1963
13.03	Al	IV	116.921	150.0	0.15	NIST	L1963
13.03	Al	IV	117.377	10.0	0.01	NIST	L7396
13.03	Al	IV	124.03	400.0	0.4	NIST	L2223
13.03	Al	IV	124.55	300.0	0.3	NIST	L2223
13.03	Al	IV	129.73	700.0	0.7	NIST	L2223
13.03	Al	IV	131.647	150.0	0.15	NIST	L2223
13.03	Al	IV	160.074	800.0	0.8	NIST	L2223
13.03	Al	IV	161.688	700.0	0.7	NIST	L2223
13.03	Al	IV	476.13	5.0	0.005	NIST	L2829
13.03	Al	IV	476.27	20.0	0.02	NIST	L2829
13.03	Al	IV	477.6	5.0	0.005	NIST	L2829
13.03	Al	IV	477.73	10.0	0.01	NIST	L2829
13.03	Al	IV	478.26	30.0	0.03	NIST	L2829
13.03	Al	IV	479.3	5.0	0.005	NIST	L2829
13.03	Al	IV	479.76	20.0	0.02	NIST	L2829
13.03	Al	IV	481.01	30.0	0.03	NIST	L2829
13.03	Al	IV	481.29	10.0	0.01	NIST	L2829
13.03	Al	IV	482.08	100.0	0.1	NIST	L2829
13.03	Al	IV	482.48	10.0	0.01	NIST	L2829
13.03	Al	IV	483.55	20.0	0.02	NIST	L2829
13.03	Al	IV	485.28	40.0	0.04	NIST	L2829
13.03	Al	IV	488.36	100.0	0.1	NIST	L2829
13.03	Al	IV	490.73	20.0	0.02	NIST	L2829
13.03	Al	IV	490.88	40.0	0.04	NIST	L2829
13.03	Al	IV	492.31	20.0	0.02	NIST	L2829
13.03	Al	IV	492.78	25.0	0.025	NIST	L2829
13.03	Al	IV	496.66	10.0	0.01	NIST	L2829
13.03	Al	IV	497.47	15.0	0.015	NIST	L2829
13.03	Al	IV	498.61	5.0	0.005	NIST	L2829
13.03	Al	IV	500.29	30.0	0.03	NIST	L2829
13.03	Al	IV	500.42	10.0	0.01	NIST	L2829
13.03	Al	IV	501.62	5.0	0.005	NIST	L2829
13.03	Al	IV	525.95	20.0	0.02	NIST	L2829
13.03	Al	IV	526.81	5.0	0.005	NIST	L2829
13.03	Al	IV	528.26	5.0	0.005	NIST	L2829
13.03	Al	IV	530.42	2.0	0.002	NIST	L2829
13.03	Al	IV	532.49	1.0	0.001	NIST	L2829
13.03	Al	IV	534.98	15.0	0.015	NIST	L2829
13.03	Al	IV	536.36	3.0	0.003	NIST	L2829
13.03	Al	IV	537.34	5.0	0.005	NIST	L2829
13.03	Al	IV	541.86	5.0	0.005	NIST	L2829
13.03	Al	IV	545.97	10.0	0.01	NIST	L2829
13.03	Al	IV	552.67	15.0	0.015	NIST	L2829
13.03	Al	IV	571.61	20.0	0.02	NIST	L2829
13.03	Al	IV	575.89	20.0	0.02	NIST	L2829
13.03	Al	IV	577.66	10.0	0.01	NIST	L2829
13.03	Al	IV	578.32	5.0	0.005	NIST	L2829
13.03	Al	IV	580.41	40.0	0.04	NIST	L2829
13.03	Al	IV	581.18	10.0	0.01	NIST	L2829
13.03	Al	IV	581.91	100.0	0.1	NIST	L2829
13.03	Al	IV	583.59	70.0	0.07	NIST	L2829
13.03	Al	IV	584.43	2.0	0.002	NIST	L2829
13.03	Al	IV	585.13	5.0	0.005	NIST	L2829
13.03	Al	IV	585.44	3.0	0.003	NIST	L2829
13.03	Al	IV	587.11	5.0	0.005	NIST	L2829
13.03	Al	IV	589.39	20.0	0.02	NIST	L2829
13.03	Al	IV	591.62	60.0	0.06	NIST	L2829
13.03	Al	IV	592.42	2.0	0.002	NIST	L2829
13.03	Al	IV	594.38	40.0	0.04	NIST	L2829
13.03	Al	IV	594.55	30.0	0.03	NIST	L2829
13.03	Al	IV	598.95	10.0	0.01	NIST	L2829
13.03	Al	IV	603.83	2.0	0.002	NIST	L2829
13.03	Al	IV	607.04	10.0	0.01	NIST	L2829
13.03	Al	IV	635.31	1.0	0.001	NIST	L2829
13.03	Al	IV	691.82	30.0	0.03	NIST	L2829
13.03	Al	IV	708.34	10.0	0.01	NIST	L2829
13.03	Al	IV	712.43	10.0	0.01	NIST	L2829
13.03	Al	IV	724.62	7.0	0.007	NIST	L2829
13.03	Al	IV	726.63	30.0	0.03	NIST	L2829
13.03	Al	IV	728.71	60.0	0.06	NIST	L2829
13.03	Al	IV	730.22	60.0	0.06	NIST	L2829
13.03	Al	IV	732.35	3.0	0.003	NIST	L2829
13.03	Al	IV	736.11	5.0	0.005	NIST	L2829
13.03	Al	IV	737.27	200.0	0.2	NIST	L2829
13.03	Al	IV	739.31	5.0	0.005	NIST	L2829
13.03	Al	IV	739.93	5.0	0.005	NIST	L2829
13.03	Al	IV	740.44	100.0	0.1	NIST	L2829
13.03	Al	IV	742.947	20.0	0.02	NIST	L2223
13.03	Al	IV	746.43	5.0	0.005	NIST	L2829
13.03	Al	IV	746.71	20.0	0.02	NIST	L2829
13.03	Al	IV	747.35	40.0	0.04	NIST	L2829
13.03	Al	IV	748.63	2.0	0.002	NIST	L2829
13.03	Al	IV	749.07	60.0	0.06	NIST	L2829
13.03	Al	IV	750.52	40.0	0.04	NIST	L2829
13.03	Al	IV	751.41	40.0	0.04	NIST	L2829
13.03	Al	IV	751.68	2.0	0.002	NIST	L2829
13.03	Al	IV	765.97	6.0	0.006	NIST	L2829
13.03	Al	IV	766.31	3.0	0.003	NIST	L2829
13.03	Al	IV	767.747	100.0	0.1	NIST	L2223
13.03	Al	IV	769.13	10.0	0.01	NIST	L2829
13.03	Al	IV	802.875	10.0	0.01	NIST	L2223
13.03	Al	IV	811.341	1.0	0.001	NIST	L2223
13.03	Al	IV	817.473	50.0	0.05	NIST	L2223
13.03	Al	IV	824.911	150.0	0.15	NIST	L2223
13.03	Al	IV	826.287	200.0	0.2	NIST	L2223
13.03	Al	IV	829.83	50.0	0.05	NIST	L2223
13.03	Al	IV	831.939	10.0	0.01	NIST	L2223
13.03	Al	IV	838.398	30.0	0.03	NIST	L2223
13.03	Al	IV	841.05	1.0	0.001	NIST	L2223
13.03	Al	IV	844.564	200.0	0.2	NIST	L2223
13.03	Al	IV	844.949	50.0	0.05	NIST	L2223
13.03	Al	IV	847.995	10.0	0.01	NIST	L2223
13.03	Al	IV	850.447	80.0	0.08	NIST	L2223
13.03	Al	IV	853.393	100.0	0.1	NIST	L2223
13.03	Al	IV	857.198	50.0	0.05	NIST	L2223
13.03	Al	IV	860.937	150.0	0.15	NIST	L2223
13.03	Al	IV	862.455	10.0	0.01	NIST	L2223
13.03	Al	IV	868.994	1.0	0.001	NIST	L2223
13.03	Al	IV	870.154	5.0	0.005	NIST	L2223
13.03	Al	IV	872.626	20.0	0.02	NIST	L2223
13.03	Al	IV	876.803	80.0	0.08	NIST	L2223
13.03	Al	IV	883.138	50.0	0.05	NIST	L2223
13.03	Al	IV	1017.94	30.0	0.03	NIST	L2829
13.03	Al	IV	1018.168	100.0	0.1	NIST	L2829
13.03	Al	IV	1022.082	200.0	0.2	NIST	L2829
13.03	Al	IV	1022.362	100.0	0.1	NIST	L2829
13.03	Al	IV	1023.93	5.0	0.005	NIST	L2829
13.03	Al	IV	1024.248	150.0	0.15	NIST	L2829
13.03	Al	IV	1027.08	5.0	0.005	NIST	L2829
13.03	Al	IV	1027.343	500.0	0.5	NIST	L2829
13.03	Al	IV	1031.39	100.0	0.1	NIST	L2829
13.03	Al	IV	1040.34	30.0	0.03	NIST	L2829
13.03	Al	IV	1042.169	800.0	0.8	NIST	L2829
13.03	Al	IV	1044.064	200.0	0.2	NIST	L2829
13.03	Al	IV	1045.766	200.0	0.2	NIST	L2223
13.03	Al	IV	1048.515	700.0	0.7	NIST	L2829
13.03	Al	IV	1058.901	500.0	0.5	NIST	L2829
13.03	Al	IV	1059.396	150.0	0.15	NIST	L2829
13.03	Al	IV	1061.135	40.0	0.04	NIST	L2829
13.03	Al	IV	1061.429	500.0	0.5	NIST	L2829
13.03	Al	IV	1064.891	600.0	0.6	NIST	L2829
13.03	Al	IV	1066.567	500.0	0.5	NIST	L2829
13.03	Al	IV	1069.437	600.0	0.6	NIST	L2829
13.03	Al	IV	1071.241	100.0	0.1	NIST	L2829
13.03	Al	IV	1085.331	5.0	0.005	NIST	L2223
13.03	Al	IV	1098.718	200.0	0.2	NIST	L2829
13.03	Al	IV	1101.34	20.0	0.02	NIST	L2829
13.03	Al	IV	1102.417	200.0	0.2	NIST	L2829
13.03	Al	IV	1104.285	70.0	0.07	NIST	L2829
13.03	Al	IV	1104.617	20.0	0.02	NIST	L2829
13.03	Al	IV	1105.402	50.0	0.05	NIST	L2829
13.03	Al	IV	1105.738	400.0	0.4	NIST	L2829
13.03	Al	IV	1118.824	600.0	0.6	NIST	L2223
13.03	Al	IV	1125.613	500.0	0.5	NIST	L2223
13.03	Al	IV	1126.001	5.0	0.005	NIST	L2223
13.03	Al	IV	1136.821	400.0	0.4	NIST	L2223
13.03	Al	IV	1142.058	200.0	0.2	NIST	L2223
13.03	Al	IV	1149.45	200.0	0.2	NIST	L2829
