atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
13.04	Al	V	85.662	50.0	0.05	NIST	L3463
13.04	Al	V	85.804	350.0	0.35	NIST	L3463
13.04	Al	V	85.922	10.0	0.01	NIST	L3463
13.04	Al	V	87.02	100.0	0.1	NIST	L3463
13.04	Al	V	87.279	50.0	0.05	NIST	L3463
13.04	Al	V	88.425	100.0	0.1	NIST	L3463
13.04	Al	V	88.539	400.0	0.4	NIST	L3463
13.04	Al	V	88.636	100.0	0.1	NIST	L3463
13.04	Al	V	88.688	200.0	0.2	NIST	L3463
13.04	Al	V	88.817	50.0	0.05	NIST	L3463
13.04	Al	V	88.945	1.0	0.001	NIST	L3463
13.04	Al	V	90.63	250.0	0.25	NIST	L3463
13.04	Al	V	90.646	100.0	0.1	NIST	L3463
13.04	Al	V	90.701	200.0	0.2	NIST	L3463
13.04	Al	V	90.914	200.0	0.2	NIST	L3463
13.04	Al	V	90.982	50.0	0.05	NIST	L3463
13.04	Al	V	91.078	10.0	0.01	NIST	L3463
13.04	Al	V	91.75	50.0	0.05	NIST	L3463
13.04	Al	V	92.039	10.0	0.01	NIST	L3463
13.04	Al	V	93.654	20.0	0.02	NIST	L3463
13.04	Al	V	93.755	350.0	0.35	NIST	L3463
13.04	Al	V	93.855	200.0	0.2	NIST	L3463
13.04	Al	V	93.88	70.0	0.07	NIST	L3463
13.04	Al	V	93.955	300.0	0.3	NIST	L3463
13.04	Al	V	93.981	100.0	0.1	NIST	L3463
13.04	Al	V	94.089	70.0	0.07	NIST	L3463
13.04	Al	V	94.117	120.0	0.12	NIST	L3463
13.04	Al	V	94.16	100.0	0.1	NIST	L3463
13.04	Al	V	94.187	100.0	0.1	NIST	L3463
13.04	Al	V	94.321	10.0	0.01	NIST	L3463
13.04	Al	V	94.394	10.0	0.01	NIST	L3463
13.04	Al	V	95.835	30.0	0.03	NIST	L3463
13.04	Al	V	96.15	20.0	0.02	NIST	L3463
13.04	Al	V	99.2	20.0	0.02	NIST	L3463
13.04	Al	V	99.277	10.0	0.01	NIST	L2577
13.04	Al	V	99.29	100.0	0.1	NIST	L2577
13.04	Al	V	99.425	40.0	0.04	NIST	L2577
13.04	Al	V	99.541	30.0	0.03	NIST	L2577
13.04	Al	V	99.614	80.0	0.08	NIST	L2577
13.04	Al	V	99.774	10.0	0.01	NIST	L2577
13.04	Al	V	103.805	300.0	0.3	NIST	L2577
13.04	Al	V	103.882	400.0	0.4	NIST	L2577
13.04	Al	V	103.992	150.0	0.15	NIST	L2577
13.04	Al	V	104.072	250.0	0.25	NIST	L2577
13.04	Al	V	104.122	200.0	0.2	NIST	L2577
13.04	Al	V	104.181	250.0	0.25	NIST	L2577
13.04	Al	V	104.362	200.0	0.2	NIST	L2577
13.04	Al	V	104.447	100.0	0.1	NIST	L2577
13.04	Al	V	104.496	150.0	0.15	NIST	L2577
13.04	Al	V	107.711	200.0	0.2	NIST	L2577
13.04	Al	V	107.948	600.0	0.6	NIST	L2577
13.04	Al	V	108.005	150.0	0.15	NIST	L2577
13.04	Al	V	108.059	300.0	0.3	NIST	L2577
13.04	Al	V	108.113	300.0	0.3	NIST	L2577
13.04	Al	V	108.316	100.0	0.1	NIST	L2577
13.04	Al	V	108.388	150.0	0.15	NIST	L2577
13.04	Al	V	108.406	150.0	0.15	NIST	L2577
13.04	Al	V	108.445	50.0	0.05	NIST	L2577
13.04	Al	V	108.462	200.0	0.2	NIST	L2577
13.04	Al	V	108.53	20.0	0.02	NIST	L2577
13.04	Al	V	108.617	50.0	0.05	NIST	L2577
13.04	Al	V	108.708	200.0	0.2	NIST	L2577
13.04	Al	V	108.849	30.0	0.03	NIST	L2577
13.04	Al	V	108.941	10.0	0.01	NIST	L2577
13.04	Al	V	109.024	100.0	0.1	NIST	L2577
13.04	Al	V	109.63	2.0	0.002	NIST	L2577
13.04	Al	V	109.675	5.0	0.005	NIST	L2577
13.04	Al	V	109.73	1.0	0.001	NIST	L2577
13.04	Al	V	110.045	5.0	0.005	NIST	L2577
13.04	Al	V	118.497	250.0	0.25	NIST	L2577
13.04	Al	V	118.983	200.0	0.2	NIST	L2577
13.04	Al	V	125.529	900.0	0.9	NIST	L2577
13.04	Al	V	126.068	800.0	0.8	NIST	L2577
13.04	Al	V	130.411	800.0	0.8	NIST	L2577
