atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
95.00	Am	I	3343.87	100.0	0.01	NIST	L3500
95.00	Am	I	3395.01	200.0	0.02	NIST	L3500
95.00	Am	I	3446.19	200.0	0.02	NIST	L3500
95.00	Am	I	3510.13	5000.0	0.5	NIST	L3500
95.00	Am	I	3530.95	1000.0	0.1	NIST	L3500
95.00	Am	I	3569.16	5000.0	0.5	NIST	L3500
95.00	Am	I	3603.41	500.0	0.05	NIST	L3500
95.00	Am	I	3673.12	5000.0	0.5	NIST	L3500
95.00	Am	I	4020.25	100.0	0.01	NIST	L3500
95.00	Am	I	4035.81	100.0	0.01	NIST	L3500
95.00	Am	I	4140.96	100.0	0.01	NIST	L3500
95.00	Am	I	4265.55	1000.0	0.1	NIST	L3500
95.00	Am	I	4289.26	5000.0	0.5	NIST	L3500
95.00	Am	I	4649.12	100.0	0.01	NIST	L3500
95.00	Am	I	4653.45	100.0	0.01	NIST	L3500
95.00	Am	I	4662.79	5000.0	0.5	NIST	L3500
95.00	Am	I	4681.65	2000.0	0.2	NIST	L3500
95.00	Am	I	4706.8	1000.0	0.1	NIST	L3500
95.00	Am	I	4990.79	200.0	0.02	NIST	L3500
95.00	Am	I	5000.21	100.0	0.01	NIST	L3500
95.00	Am	I	5402.62	1000.0	0.1	NIST	L3500
95.00	Am	I	5424.7	1000.0	0.1	NIST	L3500
95.00	Am	I	5598.13	1000.0	0.1	NIST	L3500
95.00	Am	I	6054.64	10000.0	1.0	NIST	L3500
95.00	Am	I	6405.11	1000.0	0.1	NIST	L3500
95.00	Am	I	6544.16	500.0	0.05	NIST	L3500
95.00	Am	I	6955.58	500.0	0.05	NIST	L3500
