atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
18.08	Ar	IX	41.485	15.0	0.0349	NIST	L12134
18.08	Ar	IX	48.737	20.0	0.0465	NIST	L12134
18.08	Ar	IX	112.485	3.0	0.007	NIST	L4421
18.08	Ar	IX	112.619	3.0	0.007	NIST	L4421
18.08	Ar	IX	112.712	1.0	0.0023	NIST	L4421
18.08	Ar	IX	115.077	4.0	0.0093	NIST	L4421
18.08	Ar	IX	115.197	6.0	0.014	NIST	L4421
18.08	Ar	IX	115.964	3.0	0.007	NIST	L4421
18.08	Ar	IX	116.183	2.0	0.0047	NIST	L4421
18.08	Ar	IX	116.527	3.0	0.007	NIST	L4421
18.08	Ar	IX	116.804	2.0	0.0047	NIST	L4421
18.08	Ar	IX	123.556	3.0	0.007	NIST	L4421
18.08	Ar	IX	124.81	3.0	0.007	NIST	L4421
18.08	Ar	IX	125.266	3.0	0.007	NIST	L4421
18.08	Ar	IX	125.464	2.0	0.0047	NIST	L4421
18.08	Ar	IX	125.999	5.0	0.0116	NIST	L4421
18.08	Ar	IX	126.604	2.0	0.0047	NIST	L4421
18.08	Ar	IX	128.574	2.0	0.0047	NIST	L4421
18.08	Ar	IX	135.707	4.0	0.0093	NIST	L4421
18.08	Ar	IX	136.164	7.0	0.0163	NIST	L4421
18.08	Ar	IX	137.23	2.0	0.0047	NIST	L4421
18.08	Ar	IX	137.394	5.0	0.0116	NIST	L4421
18.08	Ar	IX	137.537	6.0	0.014	NIST	L4421
18.08	Ar	IX	137.656	6.0	0.014	NIST	L4421
18.08	Ar	IX	142.767	3.0	0.007	NIST	L4421
18.08	Ar	IX	143.6	4.0	0.0093	NIST	L4421
18.08	Ar	IX	144.512	5.0	0.0116	NIST	L4421
18.08	Ar	IX	145.127	4.0	0.0093	NIST	L4421
18.08	Ar	IX	145.607	3.0	0.007	NIST	L4421
18.08	Ar	IX	146.046	3.0	0.007	NIST	L4421
18.08	Ar	IX	146.098	3.0	0.007	NIST	L4421
18.08	Ar	IX	146.821	3.0	0.007	NIST	L4421
18.08	Ar	IX	147.949	5.0	0.0116	NIST	L4421
18.08	Ar	IX	148.39	5.0	0.0116	NIST	L4421
18.08	Ar	IX	148.651	2.0	0.0047	NIST	L4421
18.08	Ar	IX	148.903	1.0	0.0023	NIST	L4421
18.08	Ar	IX	151.6	3.0	0.007	NIST	L4421
18.08	Ar	IX	152.072	3.0	0.007	NIST	L4421
18.08	Ar	IX	152.354	3.0	0.007	NIST	L4421
18.08	Ar	IX	152.577	8.0	0.0186	NIST	L4421
18.08	Ar	IX	152.692	9.0	0.0209	NIST	L4421
18.08	Ar	IX	153.427	6.0	0.014	NIST	L4421
18.08	Ar	IX	153.727	7.0	0.0163	NIST	L4421
18.08	Ar	IX	154.114	6.0	0.014	NIST	L4421
18.08	Ar	IX	154.445	8.0	0.0186	NIST	L4421
18.08	Ar	IX	187.52	4.0	0.0093	NIST	L4421
18.08	Ar	IX	188.296	8.0	0.0186	NIST	L4421
18.08	Ar	IX	188.631	4.0	0.0093	NIST	L4421
18.08	Ar	IX	190.13	4.0	0.0093	NIST	L4421
18.08	Ar	IX	191.562	2.0	0.0047	NIST	L4421
18.08	Ar	IX	200.946	4.0	0.0093	NIST	L4421
18.08	Ar	IX	201.529	5.0	0.0116	NIST	L4421
18.08	Ar	IX	202.387	8.0	0.0186	NIST	L4421
