atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
18.04	Ar	V	232.379	1.0	0.0033	NIST	L4421
18.04	Ar	V	232.549	4.0	0.0133	NIST	L4421
18.04	Ar	V	240.339	1.0	0.0033	NIST	L4421
18.04	Ar	V	249.611	4.0	0.0133	NIST	L4421
18.04	Ar	V	251.115	3.0	0.01	NIST	L4421
18.04	Ar	V	251.544	5.0	0.0167	NIST	L4421
18.04	Ar	V	251.599	5.0	0.0167	NIST	L4421
18.04	Ar	V	252.072	6.0	0.02	NIST	L4421
18.04	Ar	V	252.671	6.0	0.02	NIST	L4421
18.04	Ar	V	257.495	7.0	0.0233	NIST	L4421
18.04	Ar	V	262.2	8.0	0.0267	NIST	L6207
18.04	Ar	V	322.019	7.0	0.0233	NIST	L4421
18.04	Ar	V	323.152	6.0	0.02	NIST	L4421
18.04	Ar	V	323.939	5.0	0.0167	NIST	L4421
18.04	Ar	V	336.57	1.0	0.0033	NIST	L11501
18.04	Ar	V	337.58	1.0	0.0033	NIST	L11501
18.04	Ar	V	338.01	1.0	0.0033	NIST	L11501
18.04	Ar	V	338.45	1.0	0.0033	NIST	L11501
18.04	Ar	V	339.02	1.0	0.0033	NIST	L11501
18.04	Ar	V	339.89	1.0	0.0033	NIST	L11501
18.04	Ar	V	350.88	2.0	0.0067	NIST	L11501
18.04	Ar	V	357.23	1.0	0.0033	NIST	L11501
18.04	Ar	V	379.69	3.0	0.01	NIST	L11501
18.04	Ar	V	389.163	2.0	0.0067	NIST	L4421
18.04	Ar	V	400.0	7.0	0.0233	NIST	L6207
18.04	Ar	V	411.01	1.0	0.0033	NIST	L11501
18.04	Ar	V	415.6	18.0	0.06	NIST	L6207
18.04	Ar	V	436.63	3.0	0.01	NIST	L11501
18.04	Ar	V	445.97	3.0	0.01	NIST	L11501
18.04	Ar	V	446.96	2.0	0.0067	NIST	L11501
18.04	Ar	V	447.53	3.0	0.01	NIST	L11501
18.04	Ar	V	449.08	2.0	0.0067	NIST	L11501
18.04	Ar	V	449.5	3.0	0.01	NIST	L11501
