atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
18.05	Ar	VI	180.089	1.0	0.0013	NIST	L4421
18.05	Ar	VI	180.726	3.0	0.0039	NIST	L4421
18.05	Ar	VI	219.91	4.0	0.0052	NIST	L11052
18.05	Ar	VI	220.93	6.0	0.0078	NIST	L11052
18.05	Ar	VI	281.43	1.0	0.0013	NIST	L11052
18.05	Ar	VI	281.91	1.0	0.0013	NIST	L11052
18.05	Ar	VI	282.42	2.0	0.0026	NIST	L11052
18.05	Ar	VI	282.55	1.0	0.0013	NIST	L11052
18.05	Ar	VI	283.16	1.0	0.0013	NIST	L11052
18.05	Ar	VI	283.55	1.0	0.0013	NIST	L11052
18.05	Ar	VI	292.134	7.0	0.0091	NIST	L4421
18.05	Ar	VI	294.03	2.0	0.0026	NIST	L11052
18.05	Ar	VI	326.15	2.0	0.0026	NIST	L11052
18.05	Ar	VI	326.22	4.0	0.0052	NIST	L11052
18.05	Ar	VI	326.32	4.0	0.0052	NIST	L11052
18.05	Ar	VI	409.1	6.0	0.0078	NIST	L11052
18.05	Ar	VI	409.28	2.0	0.0026	NIST	L11052
18.05	Ar	VI	410.1	6.0	0.0078	NIST	L11052
18.05	Ar	VI	455.83	6.0	0.0078	NIST	L11052
18.05	Ar	VI	456.38	6.0	0.0078	NIST	L11052
18.05	Ar	VI	457.01	8.0	0.0104	NIST	L11052
18.05	Ar	VI	457.46	8.0	0.0104	NIST	L11052
18.05	Ar	VI	457.51	4.0	0.0052	NIST	L11052
18.05	Ar	VI	458.05	8.0	0.0104	NIST	L11052
18.05	Ar	VI	459.32	8.0	0.0104	NIST	L11052
18.05	Ar	VI	459.603	3.0	0.0039	NIST	L3311
18.05	Ar	VI	460.09	6.0	0.0078	NIST	L11052
18.05	Ar	VI	460.19	6.0	0.0078	NIST	L11052
18.05	Ar	VI	461.23	8.0	0.0104	NIST	L11052
18.05	Ar	VI	461.89	4.0	0.0052	NIST	L11052
18.05	Ar	VI	462.01	6.0	0.0078	NIST	L11052
18.05	Ar	VI	462.13	6.0	0.0078	NIST	L11052
18.05	Ar	VI	462.93	2.0	0.0026	NIST	L11052
18.05	Ar	VI	464.26	8.0	0.0104	NIST	L11052
18.05	Ar	VI	465.58	6.0	0.0078	NIST	L11052
18.05	Ar	VI	466.94	8.0	0.0104	NIST	L11052
18.05	Ar	VI	468.39	4.0	0.0052	NIST	L11052
18.05	Ar	VI	468.8	6.0	0.0078	NIST	L11052
18.05	Ar	VI	471.19	8.0	0.0104	NIST	L11052
18.05	Ar	VI	471.87	4.0	0.0052	NIST	L11052
18.05	Ar	VI	472.04	6.0	0.0078	NIST	L11052
18.05	Ar	VI	472.29	4.0	0.0052	NIST	L11052
18.05	Ar	VI	485.78	6.0	0.0078	NIST	L11052
18.05	Ar	VI	508.83	8.0	0.0104	NIST	L11052
18.05	Ar	VI	508.91	8.0	0.0104	NIST	L11052
18.05	Ar	VI	509.12	4.0	0.0052	NIST	L11052
18.05	Ar	VI	509.2	8.0	0.0104	NIST	L11052
18.05	Ar	VI	516.86	4.0	0.0052	NIST	L11052
18.05	Ar	VI	520.61	4.0	0.0052	NIST	L11052
18.05	Ar	VI	541.99	60.0	0.0779	NIST	L11579
18.05	Ar	VI	542.3	24.0	0.0312	NIST	L11579
18.05	Ar	VI	543.83	14.0	0.0182	NIST	L11579
18.05	Ar	VI	544.73	10.0	0.013	NIST	L11052
18.05	Ar	VI	547.17	7.0	0.0091	NIST	L11579
18.05	Ar	VI	548.91	10.0	0.013	NIST	L11052
18.05	Ar	VI	551.35	6.0	0.0078	NIST	L11052
18.05	Ar	VI	555.63	8.0	0.0104	NIST	L11052
18.05	Ar	VI	564.3	4.0	0.0052	NIST	L11052
18.05	Ar	VI	564.49	6.0	0.0078	NIST	L11052
18.05	Ar	VI	565.29	6.0	0.0078	NIST	L11052
18.05	Ar	VI	565.49	4.0	0.0052	NIST	L11052
18.05	Ar	VI	587.02	8.0	0.0104	NIST	L11052
18.05	Ar	VI	588.91	8.0	0.0104	NIST	L11052
18.05	Ar	VI	589.78	8.0	0.0104	NIST	L11052
18.05	Ar	VI	594.1	8.0	0.0104	NIST	L11052
18.05	Ar	VI	596.67	6.0	0.0078	NIST	L11052
18.05	Ar	VI	618.67	8.0	0.0104	NIST	L11052
18.05	Ar	VI	618.72	6.0	0.0078	NIST	L11052
18.05	Ar	VI	619.16	8.0	0.0104	NIST	L11052
18.05	Ar	VI	622.15	6.0	0.0078	NIST	L11052
18.05	Ar	VI	631.68	6.0	0.0078	NIST	L11052
18.05	Ar	VI	631.91	4.0	0.0052	NIST	L11052
18.05	Ar	VI	633.85	6.0	0.0078	NIST	L11052
18.05	Ar	VI	636.94	4.0	0.0052	NIST	L11052
18.05	Ar	VI	679.4	770.0	1.0	NIST	L10580
18.05	Ar	VI	687.84	6.0	0.0078	NIST	L11052
18.05	Ar	VI	754.93	10.0	0.013	NIST	L11052
18.05	Ar	VI	767.07	6.0	0.0078	NIST	L11052
18.05	Ar	VI	767.73	10.0	0.013	NIST	L11052
18.05	Ar	VI	782.41	6.0	0.0078	NIST	L11052
18.05	Ar	VI	783.07	8.0	0.0104	NIST	L11052
18.05	Ar	VI	783.66	8.0	0.0104	NIST	L11052
18.05	Ar	VI	784.35	6.0	0.0078	NIST	L11052
18.05	Ar	VI	784.8	6.0	0.0078	NIST	L11052
18.05	Ar	VI	795.44	6.0	0.0078	NIST	L11052
18.05	Ar	VI	795.85	6.0	0.0078	NIST	L11052
18.05	Ar	VI	804.62	8.0	0.0104	NIST	L11052
18.05	Ar	VI	893.5	8.0	0.0104	NIST	L11052
18.05	Ar	VI	893.63	6.0	0.0078	NIST	L11052
18.05	Ar	VI	904.9	6.0	0.0078	NIST	L11052
18.05	Ar	VI	998.43	8.0	0.0104	NIST	L11052
18.05	Ar	VI	1000.16	1.0	0.0013	NIST	L11052
