atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
18.06	Ar	VII	279.2	80.0	0.4324	NIST	L10580
18.06	Ar	VII	396.27	20.0	0.1081	NIST	L7294
18.06	Ar	VII	407.31	20.0	0.1081	NIST	L7294
18.06	Ar	VII	415.59	60.0	0.3243	NIST	L7294
18.06	Ar	VII	415.66	60.0	0.3243	NIST	L7294
18.06	Ar	VII	415.77	60.0	0.3243	NIST	L7294
18.06	Ar	VII	416.19	40.0	0.2162	NIST	L7294
18.06	Ar	VII	417.06	60.0	0.3243	NIST	L7294
18.06	Ar	VII	417.36	80.0	0.4324	NIST	L12090
18.06	Ar	VII	422.53	60.0	0.3243	NIST	L12090
18.06	Ar	VII	423.5	100.0	0.5405	NIST	L12090
18.06	Ar	VII	425.99	3.0	0.0162	NIST	L11915
18.06	Ar	VII	426.7	40.0	0.2162	NIST	L12090
18.06	Ar	VII	435.65	60.0	0.3243	NIST	L12090
18.06	Ar	VII	436.85	60.0	0.3243	NIST	L12090
18.06	Ar	VII	438.63	40.0	0.2162	NIST	L12090
18.06	Ar	VII	440.61	60.0	0.3243	NIST	L12090
18.06	Ar	VII	443.08	40.0	0.2162	NIST	L12090
18.06	Ar	VII	450.37	3.0	0.0162	NIST	L11915
18.06	Ar	VII	450.93	3.0	0.0162	NIST	L11915
18.06	Ar	VII	462.81	6.0	0.0324	NIST	L11915
18.06	Ar	VII	469.63	80.0	0.4324	NIST	L12090
18.06	Ar	VII	473.93	60.0	0.3243	NIST	L7294
18.06	Ar	VII	474.65	3.0	0.0162	NIST	L11915
18.06	Ar	VII	474.96	6.0	0.0324	NIST	L11915
18.06	Ar	VII	475.656	8.0	0.0432	NIST	L3311
18.06	Ar	VII	475.73	40.0	0.2162	NIST	L7294
18.06	Ar	VII	477.7	6.0	0.0324	NIST	L11915
18.06	Ar	VII	477.88	6.0	0.0324	NIST	L11915
18.06	Ar	VII	479.379	12.0	0.0649	NIST	L3311
18.06	Ar	VII	479.485	2.0	0.0108	NIST	L3311
18.06	Ar	VII	480.49	3.0	0.0162	NIST	L11915
18.06	Ar	VII	481.87	40.0	0.2162	NIST	L7294
18.06	Ar	VII	486.89	40.0	0.2162	NIST	L7294
18.06	Ar	VII	488.24	40.0	0.2162	NIST	L7294
18.06	Ar	VII	489.14	40.0	0.2162	NIST	L7294
18.06	Ar	VII	492.13	60.0	0.3243	NIST	L7294
18.06	Ar	VII	492.55	40.0	0.2162	NIST	L7294
18.06	Ar	VII	493.46	20.0	0.1081	NIST	L7294
