atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
79.01	Au	II	957.78	20.0	0.02	NIST	L1336
79.01	Au	II	967.94	3.0	0.003	NIST	L1336
79.01	Au	II	974.47	3.0	0.003	NIST	L1336
79.01	Au	II	982.24	2.0	0.002	NIST	L1336
79.01	Au	II	1066.96	8.0	0.008	NIST	L1336
79.01	Au	II	1090.78	8.0	0.008	NIST	L1336
79.01	Au	II	1094.92	5.0	0.005	NIST	L1336
79.01	Au	II	1103.31	20.0	0.02	NIST	L1336
79.01	Au	II	1166.76	3.0	0.003	NIST	L1336
79.01	Au	II	1210.86	5.0	0.005	NIST	L1336
79.01	Au	II	1224.57	20.0	0.02	NIST	L1336
79.01	Au	II	1336.26	3.0	0.003	NIST	L1336
79.01	Au	II	1362.33	6.0	0.006	NIST	L1336
79.01	Au	II	1363.15	8.0	0.008	NIST	L1336
79.01	Au	II	1364.74	10.0	0.01	NIST	L1336
79.01	Au	II	1380.53	8.0	0.008	NIST	L1336
79.01	Au	II	1393.8	6.0	0.006	NIST	L1336
79.01	Au	II	1436.61	20.0	0.02	NIST	L1336
79.01	Au	II	1468.85	10.0	0.01	NIST	L1336
79.01	Au	II	1469.17	10.0	0.01	NIST	L1336
79.01	Au	II	1469.28	10.0	0.01	NIST	L1336
79.01	Au	II	1486.55	25.0	0.025	NIST	L1336
79.01	Au	II	1562.04	10.0	0.01	NIST	L1336
79.01	Au	II	1593.41	12.0	0.012	NIST	L1336
79.01	Au	II	1611.11	12.0	0.012	NIST	L1336
79.01	Au	II	1622.83	2.0	0.002	NIST	L1336
79.01	Au	II	1632.53	2.0	0.002	NIST	L1336
79.01	Au	II	1656.99	10.0	0.01	NIST	L1336
79.01	Au	II	1673.59	25.0	0.025	NIST	L1336
79.01	Au	II	1694.38	7.0	0.007	NIST	L1336
79.01	Au	II	1698.65	2.0	0.002	NIST	L1336
79.01	Au	II	1700.69	30.0	0.03	NIST	L1336
79.01	Au	II	1720.04	10.0	0.01	NIST	L1336
79.01	Au	II	1725.75	25.0	0.025	NIST	L1336
79.01	Au	II	1740.52	45.0	0.045	NIST	L1336
79.01	Au	II	1749.8	10.0	0.01	NIST	L1336
79.01	Au	II	1756.15	35.0	0.035	NIST	L1336
79.01	Au	II	1783.22	60.0	0.06	NIST	L3312
79.01	Au	II	1793.31	35.0	0.035	NIST	L3312
79.01	Au	II	1800.58	35.0	0.035	NIST	L3312
79.01	Au	II	1823.24	25.0	0.025	NIST	L3312
79.01	Au	II	1921.64	20.0	0.02	NIST	L3312
79.01	Au	II	2000.81	25.0	0.025	NIST	L3312
79.01	Au	II	2044.54	50.0	0.05	NIST	L3312
79.01	Au	II	2082.09	150.0	0.15	NIST	L3312
79.01	Au	II	2095.13	35.0	0.035	NIST	L3312
79.01	Au	II	2098.14	20.0	0.02	NIST	L3312
79.01	Au	II	2110.68	60.0	0.06	NIST	L3312
79.01	Au	II	2125.29	30.0	0.03	NIST	L3312
79.01	Au	II	2188.81	35.0	0.035	NIST	L3312
79.01	Au	II	2201.32	25.0	0.025	NIST	L3312
79.01	Au	II	2215.63	35.0	0.035	NIST	L3312
79.01	Au	II	2228.88	45.0	0.045	NIST	L3312
79.01	Au	II	2231.18	30.0	0.03	NIST	L3312
79.01	Au	II	2240.16	25.0	0.025	NIST	L3312
79.01	Au	II	2248.56	70.0	0.07	NIST	L3312
79.01	Au	II	2263.62	80.0	0.08	NIST	L3312
79.01	Au	II	2263.88	18.0	0.018	NIST	L3312
79.01	Au	II	2277.52	25.0	0.025	NIST	L3312
79.01	Au	II	2283.3	25.0	0.025	NIST	L3312
79.01	Au	II	2291.4	25.0	0.025	NIST	L3312
79.01	Au	II	2304.69	45.0	0.045	NIST	L3312
79.01	Au	II	2314.55	25.0	0.025	NIST	L3312
79.01	Au	II	2315.75	20.0	0.02	NIST	L3312
79.01	Au	II	2340.06	25.0	0.025	NIST	L3312
79.01	Au	II	2533.52	60.0	0.06	NIST	L3312
79.01	Au	II	2552.67	45.0	0.045	NIST	L3312
79.01	Au	II	2616.4	50.0	0.05	NIST	L3312
79.01	Au	II	2627.02	20.0	0.02	NIST	L3312
79.01	Au	II	2687.63	20.0	0.02	NIST	L3312
79.01	Au	II	2688.16	20.0	0.02	NIST	L3312
79.01	Au	II	2748.71	20.0	0.02	NIST	L3312
79.01	Au	II	2802.04	1000.0	1.0	NIST	L1336
79.01	Au	II	2819.79	300.0	0.3	NIST	L1336
79.01	Au	II	2822.55	100.0	0.1	NIST	L1336
79.01	Au	II	2823.13	30.0	0.03	NIST	L1336
79.01	Au	II	2825.44	100.0	0.1	NIST	L1336
79.01	Au	II	2833.03	30.0	0.03	NIST	L1336
79.01	Au	II	2837.85	300.0	0.3	NIST	L1336
79.01	Au	II	2846.92	100.0	0.1	NIST	L1336
79.01	Au	II	2856.74	100.0	0.1	NIST	L1336
79.01	Au	II	2893.25	100.0	0.1	NIST	L1336
79.01	Au	II	2907.04	100.0	0.1	NIST	L1336
79.01	Au	II	2913.52	300.0	0.3	NIST	L1336
79.01	Au	II	2918.24	300.0	0.3	NIST	L1336
79.01	Au	II	2954.22	100.0	0.1	NIST	L1336
79.01	Au	II	2990.27	100.0	0.1	NIST	L1336
79.01	Au	II	2994.8	300.0	0.3	NIST	L1336
79.01	Au	II	3122.5	100.0	0.1	NIST	L1336
79.01	Au	II	3126.86	30.0	0.03	NIST	L1336
79.01	Au	II	3172.35	10.0	0.01	NIST	L1336
79.01	Au	II	3523.34	3.0	0.003	NIST	L1336
79.01	Au	II	3633.22	10.0	0.01	NIST	L1336
79.01	Au	II	3706.55	30.0	0.03	NIST	L1336
79.01	Au	II	3804.01	30.0	0.03	NIST	L1336
79.01	Au	II	4016.07	10.0	0.01	NIST	L1336
79.01	Au	II	4052.79	30.0	0.03	NIST	L1336
79.01	Au	II	4076.35	10.0	0.01	NIST	L1336
79.01	Au	II	4083.28	3.0	0.003	NIST	L1336
79.01	Au	II	4361.04	30.0	0.03	NIST	L1336
79.01	Au	II	4420.61	10.0	0.01	NIST	L1336
79.01	Au	II	4760.17	3.0	0.003	NIST	L1336
