atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
56.07	Ba	VIII	304.507	50.0	0.0576	NIST	L9793
56.07	Ba	VIII	306.407	70.0	0.0806	NIST	L9793
56.07	Ba	VIII	318.69	25.0	0.0288	NIST	L9793
56.07	Ba	VIII	320.75	60.0	0.0691	NIST	L9793
56.07	Ba	VIII	322.197	30.0	0.0346	NIST	L9793
56.07	Ba	VIII	323.843	50.0	0.0576	NIST	L9793
56.07	Ba	VIII	330.287	109.0	0.1256	NIST	L9793
56.07	Ba	VIII	344.676	56.0	0.0645	NIST	L9793
56.07	Ba	VIII	345.799	58.0	0.0668	NIST	L9793
56.07	Ba	VIII	363.856	50.0	0.0576	NIST	L9793
56.07	Ba	VIII	376.517	52.0	0.0599	NIST	L9793
56.07	Ba	VIII	388.308	184.0	0.212	NIST	L9793
56.07	Ba	VIII	399.366	299.0	0.3445	NIST	L9793
56.07	Ba	VIII	402.18	138.0	0.159	NIST	L9793
56.07	Ba	VIII	409.358	151.0	0.174	NIST	L9793
56.07	Ba	VIII	417.185	137.0	0.1578	NIST	L9793
56.07	Ba	VIII	419.816	266.0	0.3065	NIST	L9793
56.07	Ba	VIII	421.444	232.0	0.2673	NIST	L9793
56.07	Ba	VIII	427.114	379.0	0.4366	NIST	L9793
56.07	Ba	VIII	428.852	267.0	0.3076	NIST	L9793
56.07	Ba	VIII	430.811	384.0	0.4424	NIST	L9793
56.07	Ba	VIII	433.334	300.0	0.3456	NIST	L9793
56.07	Ba	VIII	433.993	755.0	0.8698	NIST	L9793
56.07	Ba	VIII	434.649	183.0	0.2108	NIST	L9793
56.07	Ba	VIII	436.67	43.0	0.0495	NIST	L9793
56.07	Ba	VIII	437.253	360.0	0.4147	NIST	L9793
56.07	Ba	VIII	439.984	239.0	0.2753	NIST	L9793
56.07	Ba	VIII	440.13	615.0	0.7085	NIST	L9793
56.07	Ba	VIII	440.901	75.0	0.0864	NIST	L9793
56.07	Ba	VIII	441.558	264.0	0.3041	NIST	L9793
56.07	Ba	VIII	453.009	146.0	0.1682	NIST	L9793
56.07	Ba	VIII	453.414	46.0	0.053	NIST	L9793
