atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
56.09	Ba	X	102.886	17.0	0.2073	NIST	L11824
56.09	Ba	X	102.908	13.0	0.1585	NIST	L11824
56.09	Ba	X	125.244	10.0	0.122	NIST	L11824
56.09	Ba	X	128.319	20.0	0.2439	NIST	L11824
56.09	Ba	X	130.117	8.0	0.0976	NIST	L11824
56.09	Ba	X	132.493	20.0	0.2439	NIST	L11824
56.09	Ba	X	132.749	30.0	0.3659	NIST	L11824
56.09	Ba	X	134.183	12.0	0.1463	NIST	L11824
56.09	Ba	X	134.399	5.0	0.061	NIST	L11824
56.09	Ba	X	135.84	7.0	0.0854	NIST	L11824
56.09	Ba	X	137.975	10.0	0.122	NIST	L11824
56.09	Ba	X	154.252	25.0	0.3049	NIST	L11824
56.09	Ba	X	154.613	30.0	0.3659	NIST	L11824
56.09	Ba	X	167.663	40.0	0.4878	NIST	L11824
56.09	Ba	X	168.328	7.0	0.0854	NIST	L11824
56.09	Ba	X	170.88	30.0	0.3659	NIST	L11824
56.09	Ba	X	194.938	45.0	0.5488	NIST	L11824
56.09	Ba	X	195.516	60.0	0.7317	NIST	L11824
56.09	Ba	X	259.228	35.0	0.4268	NIST	L11824
56.09	Ba	X	278.748	45.0	0.5488	NIST	L11824
56.09	Ba	X	412.087	57.0	0.6951	NIST	L11824
56.09	Ba	X	419.088	21.0	0.2561	NIST	L11824
56.09	Ba	X	425.959	23.0	0.2805	NIST	L11824
56.09	Ba	X	427.285	5.0	0.061	NIST	L11824
56.09	Ba	X	454.06	68.0	0.8293	NIST	L11824
56.09	Ba	X	463.707	25.0	0.3049	NIST	L11824
56.09	Ba	X	601.104	82.0	1.0	NIST	L11824
56.09	Ba	X	609.62	3.0	0.0366	NIST	L11824
56.09	Ba	X	615.301	36.0	0.439	NIST	L11824
56.09	Ba	X	627.13	30.0	0.3659	NIST	L11824
56.09	Ba	X	717.626	60.0	0.7317	NIST	L11824
