atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
56.28	Ba	XXIX	8.116	2.0	0.02	NIST	L11790
56.28	Ba	XXIX	8.204	1.0	0.01	NIST	L11790
56.28	Ba	XXIX	8.322	1.0	0.01	NIST	L11790
56.28	Ba	XXIX	8.422	4.0	0.04	NIST	L11790
56.28	Ba	XXIX	8.519	2.0	0.02	NIST	L11790
56.28	Ba	XXIX	8.723	6.0	0.06	NIST	L11790
56.28	Ba	XXIX	8.759	1.0	0.01	NIST	L11790
56.28	Ba	XXIX	8.953	11.0	0.11	NIST	L11790
56.28	Ba	XXIX	9.055	8.0	0.08	NIST	L11790
56.28	Ba	XXIX	9.744	8.0	0.08	NIST	L11790
56.28	Ba	XXIX	9.786	11.0	0.11	NIST	L11790
56.28	Ba	XXIX	9.907	3.0	0.03	NIST	L11790
56.28	Ba	XXIX	9.948	6.0	0.06	NIST	L11790
56.28	Ba	XXIX	9.998	17.0	0.17	NIST	L11790
56.28	Ba	XXIX	10.075	11.0	0.11	NIST	L11790
56.28	Ba	XXIX	10.138	12.0	0.12	NIST	L11790
56.28	Ba	XXIX	10.388	15.0	0.15	NIST	L11790
56.28	Ba	XXIX	11.072	18.0	0.18	NIST	L11790
56.28	Ba	XXIX	12.411	70.0	0.7	NIST	L11790
56.28	Ba	XXIX	12.519	30.0	0.3	NIST	L11790
56.28	Ba	XXIX	12.721	100.0	1.0	NIST	L11790
56.28	Ba	XXIX	13.046	9.0	0.09	NIST	L11790
56.28	Ba	XXIX	13.136	10.0	0.1	NIST	L11790
