atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
56.27	Ba	XXVIII	8.116	2.0	0.0111	NIST	L11790
56.27	Ba	XXVIII	8.204	1.0	0.0056	NIST	L11790
56.27	Ba	XXVIII	8.322	1.0	0.0056	NIST	L11790
56.27	Ba	XXVIII	8.422	4.0	0.0222	NIST	L11790
56.27	Ba	XXVIII	8.627	5.0	0.0278	NIST	L11790
56.27	Ba	XXVIII	8.723	6.0	0.0333	NIST	L11790
56.27	Ba	XXVIII	10.182	35.0	0.1944	NIST	L11790
56.27	Ba	XXVIII	10.327	18.0	0.1	NIST	L11790
56.27	Ba	XXVIII	10.518	25.0	0.1389	NIST	L11790
56.27	Ba	XXVIII	11.173	18.0	0.1	NIST	L11790
56.27	Ba	XXVIII	11.223	4.0	0.0222	NIST	L11790
56.27	Ba	XXVIII	12.607	3.0	0.0167	NIST	L11790
56.27	Ba	XXVIII	12.741	16.0	0.0889	NIST	L11790
56.27	Ba	XXVIII	12.844	180.0	1.0	NIST	L11790
56.27	Ba	XXVIII	25.222	2.0	0.0111	NIST	L5473
56.27	Ba	XXVIII	28.094	5.0	0.0278	NIST	L5473
56.27	Ba	XXVIII	28.757	3.0	0.0167	NIST	L5473
56.27	Ba	XXVIII	29.035	5.0	0.0278	NIST	L5473
56.27	Ba	XXVIII	30.476	15.0	0.0833	NIST	L5473
56.27	Ba	XXVIII	34.653	25.0	0.1389	NIST	L5473
56.27	Ba	XXVIII	35.05	35.0	0.1944	NIST	L5473
56.27	Ba	XXVIII	35.684	3.0	0.0167	NIST	L5473
56.27	Ba	XXVIII	38.146	3.0	0.0167	NIST	L5473
56.27	Ba	XXVIII	45.436	5.0	0.0278	NIST	L5473
56.27	Ba	XXVIII	45.523	30.0	0.1667	NIST	L5473
56.27	Ba	XXVIII	93.824	2.0	0.0111	NIST	L5473
56.27	Ba	XXVIII	108.001	15.0	0.0833	NIST	L5473
56.27	Ba	XXVIII	120.274	4.0	0.0222	NIST	L5473
56.27	Ba	XXVIII	124.876	5.0	0.0278	NIST	L5473
56.27	Ba	XXVIII	127.984	10.0	0.0556	NIST	L5473
56.27	Ba	XXVIII	155.77	5.0	0.0278	NIST	L5473
