atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
35.04	Br	V	468.37	600.0	0.6	NIST	L930
35.04	Br	V	482.11	800.0	0.8	NIST	L930
35.04	Br	V	531.97	900.0	0.9	NIST	L930
35.04	Br	V	547.9	1000.0	1.0	NIST	L930
35.04	Br	V	549.77	700.0	0.7	NIST	L930
35.04	Br	V	621.03	800.0	0.8	NIST	L930
35.04	Br	V	632.22	800.0	0.8	NIST	L930
35.04	Br	V	645.44	700.0	0.7	NIST	L930
35.04	Br	V	652.64	400.0	0.4	NIST	L930
35.04	Br	V	657.54	800.0	0.8	NIST	L930
35.04	Br	V	679.62	800.0	0.8	NIST	L930
35.04	Br	V	812.95	700.0	0.7	NIST	L930
35.04	Br	V	850.81	1000.0	1.0	NIST	L930
35.04	Br	V	855.27	150.0	0.15	NIST	L930
35.04	Br	V	1041.6	600.0	0.6	NIST	L930
35.04	Br	V	1069.15	1000.0	1.0	NIST	L930
35.04	Br	V	1080.54	500.0	0.5	NIST	L930
35.04	Br	V	1112.13	900.0	0.9	NIST	L930
35.04	Br	V	1143.56	1000.0	1.0	NIST	L930
35.04	Br	V	1429.75	150.0	0.15	NIST	L930
35.04	Br	V	1442.6	400.0	0.4	NIST	L930
35.04	Br	V	1470.35	150.0	0.15	NIST	L930
