atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
06.02	C	III	371.69	250.0	0.3125	NIST	L1113
06.02	C	III	371.75	250.0	0.3125	NIST	L1113
06.02	C	III	371.78	150.0	0.1875	NIST	L1113
06.02	C	III	386.203	500.0	0.625	NIST	L1113
06.02	C	III	450.734	200.0	0.25	NIST	L1113
06.02	C	III	459.46	400.0	0.5	NIST	L1113
06.02	C	III	459.52	500.0	0.625	NIST	L1113
06.02	C	III	459.63	570.0	0.7125	NIST	L1113
06.02	C	III	511.522	250.0	0.3125	NIST	L1113
06.02	C	III	535.288	250.0	0.3125	NIST	L1113
06.02	C	III	538.08	300.0	0.375	NIST	L1113
06.02	C	III	538.149	350.0	0.4375	NIST	L1113
06.02	C	III	538.312	400.0	0.5	NIST	L1113
06.02	C	III	574.281	350.0	0.4375	NIST	L1113
06.02	C	III	977.03	800.0	1.0	NIST	L1113
06.02	C	III	1174.93	370.0	0.4625	NIST	L1113
06.02	C	III	1175.26	350.0	0.4375	NIST	L1113
06.02	C	III	1175.59	330.0	0.4125	NIST	L1113
06.02	C	III	1175.71	500.0	0.625	NIST	L1113
06.02	C	III	1175.99	350.0	0.4375	NIST	L1113
06.02	C	III	1176.37	370.0	0.4625	NIST	L1113
06.02	C	III	2162.94	250.0	0.3125	NIST	L1113
06.02	C	III	2296.87	800.0	1.0	NIST	L1113
06.02	C	III	2697.75	150.0	0.1875	NIST	L1113
06.02	C	III	2724.85	110.0	0.1375	NIST	L1113
06.02	C	III	2725.3	150.0	0.1875	NIST	L1113
06.02	C	III	2725.9	150.0	0.1875	NIST	L1113
06.02	C	III	2982.11	200.0	0.25	NIST	L1113
06.02	C	III	4056.06	150.0	0.1875	NIST	L4827
06.02	C	III	4067.94	200.0	0.25	NIST	L1113
06.02	C	III	4068.91	250.0	0.3125	NIST	L1113
06.02	C	III	4070.26	250.0	0.3125	NIST	L1113
06.02	C	III	4162.86	150.0	0.1875	NIST	L4827
06.02	C	III	4186.9	250.0	0.3125	NIST	L1113
06.02	C	III	4325.56	200.0	0.25	NIST	L1113
06.02	C	III	4647.42	600.0	0.75	NIST	L1113
06.02	C	III	4650.25	520.0	0.65	NIST	L1113
06.02	C	III	4651.47	375.0	0.4688	NIST	L1113
06.02	C	III	4665.86	200.0	0.25	NIST	L1113
06.02	C	III	5695.92	450.0	0.5625	NIST	L1113
06.02	C	III	5826.42	150.0	0.1875	NIST	L4827
06.02	C	III	6744.38	150.0	0.1875	NIST	L1113
06.02	C	III	7037.25	150.0	0.1875	NIST	L1113
06.02	C	III	7612.65	150.0	0.1875	NIST	L1113
06.02	C	III	8196.48	300.0	0.375	NIST	L1113
06.02	C	III	8332.99	150.0	0.1875	NIST	L1113
06.02	C	III	8500.32	300.0	0.375	NIST	L1113
