atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
20.04	Ca	V	190.36	200.0	0.2667	NIST	L7256
20.04	Ca	V	190.46	250.0	0.3333	NIST	L7256
20.04	Ca	V	196.97	250.0	0.3333	NIST	L7256
20.04	Ca	V	199.55	300.0	0.4	NIST	L7256
20.04	Ca	V	200.51	250.0	0.3333	NIST	L7256
20.04	Ca	V	257.98	265.0	0.3533	NIST	L7256
20.04	Ca	V	260.45	165.0	0.22	NIST	L7256
20.04	Ca	V	267.77	400.0	0.5333	NIST	L7256
20.04	Ca	V	270.31	300.0	0.4	NIST	L7256
20.04	Ca	V	271.14	200.0	0.2667	NIST	L7256
20.04	Ca	V	272.27	250.0	0.3333	NIST	L7256
20.04	Ca	V	272.98	200.0	0.2667	NIST	L7256
20.04	Ca	V	280.99	400.0	0.5333	NIST	L7256
20.04	Ca	V	284.98	300.0	0.4	NIST	L7256
20.04	Ca	V	286.96	450.0	0.6	NIST	L7256
20.04	Ca	V	322.17	500.0	0.6667	NIST	L7256
20.04	Ca	V	322.76	250.0	0.3333	NIST	L7256
20.04	Ca	V	323.22	300.0	0.4	NIST	L7256
20.04	Ca	V	324.48	250.0	0.3333	NIST	L7256
20.04	Ca	V	325.28	250.0	0.3333	NIST	L7256
20.04	Ca	V	330.94	300.0	0.4	NIST	L7256
20.04	Ca	V	333.44	200.0	0.2667	NIST	L7256
20.04	Ca	V	333.57	200.0	0.2667	NIST	L7256
20.04	Ca	V	334.55	300.0	0.4	NIST	L7256
20.04	Ca	V	335.34	250.0	0.3333	NIST	L7256
20.04	Ca	V	336.55	200.0	0.2667	NIST	L7256
20.04	Ca	V	337.54	200.0	0.2667	NIST	L7256
20.04	Ca	V	338.06	250.0	0.3333	NIST	L7256
20.04	Ca	V	343.64	200.0	0.2667	NIST	L7256
20.04	Ca	V	352.92	450.0	0.6	NIST	L7256
20.04	Ca	V	356.25	250.0	0.3333	NIST	L7256
20.04	Ca	V	377.18	250.0	0.3333	NIST	L7256
20.04	Ca	V	387.08	200.0	0.2667	NIST	L7256
20.04	Ca	V	425.0	750.0	1.0	NIST	L7256
20.04	Ca	V	558.6	500.0	0.6667	NIST	L7256
20.04	Ca	V	637.93	400.0	0.5333	NIST	L7256
20.04	Ca	V	643.12	300.0	0.4	NIST	L7256
20.04	Ca	V	646.57	400.0	0.5333	NIST	L7256
20.04	Ca	V	647.88	250.0	0.3333	NIST	L7256
20.04	Ca	V	651.55	250.0	0.3333	NIST	L7256
20.04	Ca	V	656.76	300.0	0.4	NIST	L7256
