atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
48.00	Cd	I	2288.0225	1500.0	0.75	NIST	L3486
48.00	Cd	I	2490.998	3.0	0.0015	NIST	L3486
48.00	Cd	I	2508.9077	10.0	0.005	NIST	L3486c92
48.00	Cd	I	2518.588	15.0	0.0075	NIST	L3486
48.00	Cd	I	2525.1964	25.0	0.0125	NIST	L3486
48.00	Cd	I	2544.613	50.0	0.025	NIST	L3486
48.00	Cd	I	2553.4647	25.0	0.0125	NIST	L3486
48.00	Cd	I	2565.7894	3.0	0.0015	NIST	L3486
48.00	Cd	I	2580.1062	50.0	0.025	NIST	L3486
48.00	Cd	I	2584.87	3.0	0.0015	NIST	L3486
48.00	Cd	I	2592.0258	30.0	0.015	NIST	L3486
48.00	Cd	I	2602.0477	25.0	0.0125	NIST	L3486
48.00	Cd	I	2628.9786	50.0	0.025	NIST	L3486
48.00	Cd	I	2632.1901	40.0	0.02	NIST	L3486
48.00	Cd	I	2639.4196	75.0	0.0375	NIST	L3486
48.00	Cd	I	2660.3253	50.0	0.025	NIST	L3486
48.00	Cd	I	2677.5397	100.0	0.05	NIST	L3486
48.00	Cd	I	2677.7484	25.0	0.0125	NIST	L3486
48.00	Cd	I	2712.5049	75.0	0.0375	NIST	L3486
48.00	Cd	I	2733.8199	50.0	0.025	NIST	L3486
48.00	Cd	I	2763.8935	100.0	0.05	NIST	L3486
48.00	Cd	I	2764.2305	50.0	0.025	NIST	L3486
48.00	Cd	I	2774.9585	50.0	0.025	NIST	L3486
48.00	Cd	I	2836.8999	200.0	0.1	NIST	L3486
48.00	Cd	I	2868.1799	100.0	0.05	NIST	L3486
48.00	Cd	I	2880.767	200.0	0.1	NIST	L3486
48.00	Cd	I	2881.2245	50.0	0.025	NIST	L3486
48.00	Cd	I	2980.6204	1000.0	0.5	NIST	L3486
48.00	Cd	I	2981.3625	200.0	0.1	NIST	L3486
48.00	Cd	I	2981.8538	50.0	0.025	NIST	L3486c92
48.00	Cd	I	3080.8224	150.0	0.075	NIST	L3486
48.00	Cd	I	3082.5934	30.0	0.015	NIST	L3486
48.00	Cd	I	3133.1666	200.0	0.1	NIST	L3486
48.00	Cd	I	3252.524	300.0	0.15	NIST	L3486
48.00	Cd	I	3261.0548	300.0	0.15	NIST	L3486
48.00	Cd	I	3403.6521	800.0	0.4	NIST	L3486
48.00	Cd	I	3466.1996	1000.0	0.5	NIST	L3486
48.00	Cd	I	3467.6547	800.0	0.4	NIST	L3486
48.00	Cd	I	3499.9518	25.0	0.0125	NIST	L3486
48.00	Cd	I	3610.5077	1000.0	0.5	NIST	L3486
48.00	Cd	I	3612.8729	800.0	0.4	NIST	L3486
48.00	Cd	I	3614.4529	60.0	0.03	NIST	L3486
48.00	Cd	I	3649.5584	20.0	0.01	NIST	L3486
48.00	Cd	I	3981.9257	10.0	0.005	NIST	L3486
48.00	Cd	I	4306.6718	8.0	0.004	NIST	L3486
48.00	Cd	I	4412.9894	3.0	0.0015	NIST	L3486
48.00	Cd	I	4662.352	8.0	0.004	NIST	L3486
48.00	Cd	I	4678.1493	200.0	0.1	NIST	L3486
48.00	Cd	I	4799.9123	300.0	0.15	NIST	L3486
48.00	Cd	I	5085.8217	1000.0	0.5	NIST	L3486
48.00	Cd	I	5154.6605	6.0	0.003	NIST	L3486
48.00	Cd	I	6099.1421	300.0	0.15	NIST	L3486
48.00	Cd	I	6111.495	100.0	0.05	NIST	L3486
48.00	Cd	I	6325.1661	100.0	0.05	NIST	L3486
48.00	Cd	I	6330.0133	30.0	0.015	NIST	L3486
48.00	Cd	I	6438.4695	2000.0	1.0	NIST	L3486
48.00	Cd	I	6778.1157	30.0	0.015	NIST	L3486
48.00	Cd	I	7345.6704	1000.0	0.5	NIST	L3486
48.00	Cd	I	8200.3089	5.0	0.0025	NIST	L3486
