atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
48.03	Cd	IV	427.01	50.0	0.3333	NIST	L4099
48.03	Cd	IV	437.88	20.0	0.1333	NIST	L4099
48.03	Cd	IV	447.85	50.0	0.3333	NIST	L4099
48.03	Cd	IV	480.9	60.0	0.4	NIST	L4099
48.03	Cd	IV	489.49	10.0	0.0667	NIST	L4099
48.03	Cd	IV	493.0	70.0	0.4667	NIST	L4099
48.03	Cd	IV	495.13	70.0	0.4667	NIST	L4099
48.03	Cd	IV	498.14	70.0	0.4667	NIST	L4099
48.03	Cd	IV	498.53	70.0	0.4667	NIST	L4099
48.03	Cd	IV	504.09	80.0	0.5333	NIST	L4099
48.03	Cd	IV	504.2	70.0	0.4667	NIST	L4099
48.03	Cd	IV	504.5	70.0	0.4667	NIST	L4099
48.03	Cd	IV	506.31	80.0	0.5333	NIST	L4099
48.03	Cd	IV	508.01	60.0	0.4	NIST	L4099
48.03	Cd	IV	508.95	50.0	0.3333	NIST	L4099
48.03	Cd	IV	509.55	70.0	0.4667	NIST	L4099
48.03	Cd	IV	509.81	25.0	0.1667	NIST	L4099
48.03	Cd	IV	511.4	70.0	0.4667	NIST	L4099
48.03	Cd	IV	513.0	80.0	0.5333	NIST	L4099
48.03	Cd	IV	514.5	70.0	0.4667	NIST	L4099
48.03	Cd	IV	519.42	60.0	0.4	NIST	L4099
48.03	Cd	IV	520.97	15.0	0.1	NIST	L4099
48.03	Cd	IV	524.41	80.0	0.5333	NIST	L4099
48.03	Cd	IV	524.47	70.0	0.4667	NIST	L4099
48.03	Cd	IV	524.77	50.0	0.3333	NIST	L4099
48.03	Cd	IV	525.1	70.0	0.4667	NIST	L4099
48.03	Cd	IV	525.19	60.0	0.4	NIST	L4099
48.03	Cd	IV	527.07	70.0	0.4667	NIST	L4099
48.03	Cd	IV	530.79	50.0	0.3333	NIST	L4099
48.03	Cd	IV	531.09	80.0	0.5333	NIST	L4099
48.03	Cd	IV	531.51	80.0	0.5333	NIST	L4099
48.03	Cd	IV	534.29	70.0	0.4667	NIST	L4099
48.03	Cd	IV	536.77	70.0	0.4667	NIST	L4099
48.03	Cd	IV	537.24	50.0	0.3333	NIST	L4099
48.03	Cd	IV	540.9	60.0	0.4	NIST	L4099
48.03	Cd	IV	541.74	70.0	0.4667	NIST	L4099
48.03	Cd	IV	542.6	80.0	0.5333	NIST	L4099
48.03	Cd	IV	546.55	80.0	0.5333	NIST	L4099
48.03	Cd	IV	548.01	40.0	0.2667	NIST	L4099
48.03	Cd	IV	548.33	20.0	0.1333	NIST	L4099
48.03	Cd	IV	548.9	15.0	0.1	NIST	L4099
48.03	Cd	IV	551.27	25.0	0.1667	NIST	L4099
48.03	Cd	IV	552.9	20.0	0.1333	NIST	L4099
48.03	Cd	IV	553.06	60.0	0.4	NIST	L4099
48.03	Cd	IV	554.05	80.0	0.5333	NIST	L4099
48.03	Cd	IV	560.26	25.0	0.1667	NIST	L4099
48.03	Cd	IV	564.16	10.0	0.0667	NIST	L4099
48.03	Cd	IV	567.01	60.0	0.4	NIST	L4099
48.03	Cd	IV	1062.23	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1118.16	150.0	1.0	NIST	L3283
48.03	Cd	IV	1126.0	30.0	0.2	NIST	L3283
48.03	Cd	IV	1134.08	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1139.04	15.0	0.1	NIST	L3283
48.03	Cd	IV	1154.64	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1155.73	10.0	0.0667	NIST	L3283
48.03	Cd	IV	1164.65	100.0	0.6667	NIST	L3283
48.03	Cd	IV	1165.78	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1167.3	40.0	0.2667	NIST	L3283
48.03	Cd	IV	1179.73	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1183.07	15.0	0.1	NIST	L3283
48.03	Cd	IV	1183.4	100.0	0.6667	NIST	L3283
48.03	Cd	IV	1194.13	40.0	0.2667	NIST	L3283
48.03	Cd	IV	1195.63	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1196.47	30.0	0.2	NIST	L3283
48.03	Cd	IV	1198.93	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1215.38	15.0	0.1	NIST	L3283
48.03	Cd	IV	1223.52	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1246.06	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1246.56	15.0	0.1	NIST	L3283
48.03	Cd	IV	1249.94	15.0	0.1	NIST	L3283
48.03	Cd	IV	1266.47	30.0	0.2	NIST	L3283
48.03	Cd	IV	1274.41	15.0	0.1	NIST	L3283
48.03	Cd	IV	1285.63	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1287.58	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1299.46	20.0	0.1333	NIST	L3283
48.03	Cd	IV	1304.36	40.0	0.2667	NIST	L3283
48.03	Cd	IV	1306.07	30.0	0.2	NIST	L3283
48.03	Cd	IV	1316.89	15.0	0.1	NIST	L3283
