atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
58.01	Ce	II	2462.97	130.0	0.0371	NIST	L3475
58.01	Ce	II	2518.51	110.0	0.0314	NIST	L3475
58.01	Ce	II	2548.68	200.0	0.0571	NIST	L3475
58.01	Ce	II	2651.01	340.0	0.0971	NIST	L3475
58.01	Ce	II	2706.88	120.0	0.0343	NIST	L3475
58.01	Ce	II	2723.38	120.0	0.0343	NIST	L3475
58.01	Ce	II	2741.96	110.0	0.0314	NIST	L3475
58.01	Ce	II	2750.89	100.0	0.0286	NIST	L3475
58.01	Ce	II	2761.42	150.0	0.0429	NIST	L3475
58.01	Ce	II	2784.27	120.0	0.0343	NIST	L3475
58.01	Ce	II	2785.35	100.0	0.0286	NIST	L3475
58.01	Ce	II	2790.53	100.0	0.0286	NIST	L3475
58.01	Ce	II	2791.42	140.0	0.04	NIST	L3475
58.01	Ce	II	2830.9	270.0	0.0771	NIST	L3475
58.01	Ce	II	2833.31	100.0	0.0286	NIST	L3475
58.01	Ce	II	2874.14	250.0	0.0714	NIST	L3475
58.01	Ce	II	2908.42	110.0	0.0314	NIST	L3475
58.01	Ce	II	2918.67	100.0	0.0286	NIST	L3475
58.01	Ce	II	2955.94	120.0	0.0343	NIST	L3475
58.01	Ce	II	2964.8	110.0	0.0314	NIST	L3475
58.01	Ce	II	2972.58	100.0	0.0286	NIST	L3475
58.01	Ce	II	2976.91	400.0	0.1143	NIST	L3475
58.01	Ce	II	2977.46	150.0	0.0429	NIST	L3475
58.01	Ce	II	2980.41	120.0	0.0343	NIST	L3475
58.01	Ce	II	2990.87	250.0	0.0714	NIST	L3475
58.01	Ce	II	2994.42	110.0	0.0314	NIST	L3475
58.01	Ce	II	2995.64	320.0	0.0914	NIST	L3475
58.01	Ce	II	3008.79	400.0	0.1143	NIST	L3475
58.01	Ce	II	3017.2	370.0	0.1057	NIST	L3475
58.01	Ce	II	3037.73	210.0	0.06	NIST	L3475
58.01	Ce	II	3051.98	200.0	0.0571	NIST	L3475
58.01	Ce	II	3055.24	350.0	0.1	NIST	L3475
58.01	Ce	II	3056.78	320.0	0.0914	NIST	L3475
58.01	Ce	II	3063.01	680.0	0.1943	NIST	L3475
58.01	Ce	II	3083.67	320.0	0.0914	NIST	L3475
58.01	Ce	II	3084.44	250.0	0.0714	NIST	L3475
58.01	Ce	II	3090.37	200.0	0.0571	NIST	L3475
58.01	Ce	II	3103.38	370.0	0.1057	NIST	L3475
58.01	Ce	II	3107.47	200.0	0.0571	NIST	L3475
58.01	Ce	II	3110.28	320.0	0.0914	NIST	L3475
58.01	Ce	II	3111.17	300.0	0.0857	NIST	L3475
58.01	Ce	II	3127.53	220.0	0.0629	NIST	L3475
58.01	Ce	II	3130.33	200.0	0.0571	NIST	L3475
58.01	Ce	II	3130.87	240.0	0.0686	NIST	L3475
58.01	Ce	II	3144.6	200.0	0.0571	NIST	L3475
58.01	Ce	II	3145.28	290.0	0.0829	NIST	L3475
58.01	Ce	II	3146.41	290.0	0.0829	NIST	L3475
58.01	Ce	II	3164.15	290.0	0.0829	NIST	L3475
58.01	Ce	II	3169.18	290.0	0.0829	NIST	L3475
58.01	Ce	II	3171.61	290.0	0.0829	NIST	L3475
58.01	Ce	II	3183.52	480.0	0.1371	NIST	L3475
58.01	Ce	II	3186.13	240.0	0.0686	NIST	L3475
58.01	Ce	II	3190.34	200.0	0.0571	NIST	L3475
58.01	Ce	II	3194.83	710.0	0.2029	NIST	L3475
58.01	Ce	II	3199.28	200.0	0.0571	NIST	L3475
58.01	Ce	II	3201.71	990.0	0.2829	NIST	L3475
58.01	Ce	II	3218.38	200.0	0.0571	NIST	L3475
58.01	Ce	II	3218.94	710.0	0.2029	NIST	L3475
58.01	Ce	II	3221.17	880.0	0.2514	NIST	L3475
58.01	Ce	II	3225.67	330.0	0.0943	NIST	L3475
58.01	Ce	II	3227.11	710.0	0.2029	NIST	L3475
58.01	Ce	II	3229.36	240.0	0.0686	NIST	L3475
58.01	Ce	II	3231.24	480.0	0.1371	NIST	L3475
58.01	Ce	II	3234.16	710.0	0.2029	NIST	L3475
58.01	Ce	II	3234.89	330.0	0.0943	NIST	L3475
58.01	Ce	II	3236.74	390.0	0.1114	NIST	L3475
58.01	Ce	II	3243.37	390.0	0.1114	NIST	L3475
58.01	Ce	II	3246.67	200.0	0.0571	NIST	L3475
58.01	Ce	II	3260.98	200.0	0.0571	NIST	L3475
58.01	Ce	II	3263.88	200.0	0.0571	NIST	L3475
58.01	Ce	II	3272.25	990.0	0.2829	NIST	L3475
58.01	Ce	II	3274.86	330.0	0.0943	NIST	L3475
58.01	Ce	II	3279.84	200.0	0.0571	NIST	L3475
58.01	Ce	II	3285.22	330.0	0.0943	NIST	L3475
58.01	Ce	II	3295.28	240.0	0.0686	NIST	L3475
58.01	Ce	II	3296.88	200.0	0.0571	NIST	L3475
58.01	Ce	II	3300.15	220.0	0.0629	NIST	L3475
58.01	Ce	II	3304.84	240.0	0.0686	NIST	L3475
58.01	Ce	II	3312.22	200.0	0.0571	NIST	L3475
58.01	Ce	II	3314.72	240.0	0.0686	NIST	L3475
58.01	Ce	II	3317.8	200.0	0.0571	NIST	L3475
58.01	Ce	II	3334.46	200.0	0.0571	NIST	L3475
58.01	Ce	II	3341.87	240.0	0.0686	NIST	L3475
58.01	Ce	II	3343.86	330.0	0.0943	NIST	L3475
58.01	Ce	II	3344.76	440.0	0.1257	NIST	L3475
58.01	Ce	II	3355.02	200.0	0.0571	NIST	L3475
58.01	Ce	II	3357.22	240.0	0.0686	NIST	L3475
58.01	Ce	II	3360.54	200.0	0.0571	NIST	L3475
58.01	Ce	II	3366.55	240.0	0.0686	NIST	L3475
58.01	Ce	II	3371.18	200.0	0.0571	NIST	L3475
58.01	Ce	II	3373.46	200.0	0.0571	NIST	L3475
58.01	Ce	II	3373.73	200.0	0.0571	NIST	L3475
58.01	Ce	II	3377.13	480.0	0.1371	NIST	L3475
58.01	Ce	II	3383.68	200.0	0.0571	NIST	L3475
58.01	Ce	II	3404.91	200.0	0.0571	NIST	L3475
58.01	Ce	II	3405.98	240.0	0.0686	NIST	L3475
58.01	Ce	II	3417.45	290.0	0.0829	NIST	L3475
58.01	Ce	II	3422.71	600.0	0.1714	NIST	L3475
58.01	Ce	II	3426.21	390.0	0.1114	NIST	L3475
58.01	Ce	II	3441.21	290.0	0.0829	NIST	L3475
58.01	Ce	II	3476.84	480.0	0.1371	NIST	L3475
58.01	Ce	II	3482.35	240.0	0.0686	NIST	L3475
58.01	Ce	II	3485.05	710.0	0.2029	NIST	L3475
58.01	Ce	II	3507.94	210.0	0.06	NIST	L3475
58.01	Ce	II	3517.38	600.0	0.1714	NIST	L3475
58.01	Ce	II	3520.52	210.0	0.06	NIST	L3475
58.01	Ce	II	3521.88	330.0	0.0943	NIST	L3475
58.01	Ce	II	3526.68	210.0	0.06	NIST	L3475
58.01	Ce	II	3534.05	600.0	0.1714	NIST	L3475
58.01	Ce	II	3539.08	770.0	0.22	NIST	L3475
58.01	Ce	II	3545.6	210.0	0.06	NIST	L3475
58.01	Ce	II	3546.19	290.0	0.0829	NIST	L3475
58.01	Ce	II	3552.73	240.0	0.0686	NIST	L3475
58.01	Ce	II	3555.0	420.0	0.12	NIST	L3475
58.01	Ce	II	3560.8	1200.0	0.3429	NIST	L3475
58.01	Ce	II	3576.23	210.0	0.06	NIST	L3475
58.01	Ce	II	3577.45	1000.0	0.2857	NIST	L3475
58.01	Ce	II	3590.6	330.0	0.0943	NIST	L3475
58.01	Ce	II	3607.63	390.0	0.1114	NIST	L3475
58.01	Ce	II	3609.69	550.0	0.1571	NIST	L3475
58.01	Ce	II	3613.7	420.0	0.12	NIST	L3475
58.01	Ce	II	3622.15	440.0	0.1257	NIST	L3475
58.01	Ce	II	3623.74	380.0	0.1086	NIST	L3475
58.01	Ce	II	3623.84	440.0	0.1257	NIST	L3475
58.01	Ce	II	3631.19	200.0	0.0571	NIST	L3475
58.01	Ce	II	3646.97	350.0	0.1	NIST	L3475
58.01	Ce	II	3647.75	260.0	0.0743	NIST	L3475
58.01	Ce	II	3647.95	260.0	0.0743	NIST	L3475
58.01	Ce	II	3653.11	420.0	0.12	NIST	L3475
58.01	Ce	II	3653.67	660.0	0.1886	NIST	L3475
58.01	Ce	II	3654.97	310.0	0.0886	NIST	L3475
58.01	Ce	II	3655.85	1800.0	0.5143	NIST	L3475
58.01	Ce	II	3659.23	440.0	0.1257	NIST	L3475
58.01	Ce	II	3659.97	350.0	0.1	NIST	L3475
58.01	Ce	II	3660.64	880.0	0.2514	NIST	L3475
58.01	Ce	II	3667.98	880.0	0.2514	NIST	L3475
58.01	Ce	II	3672.79	350.0	0.1	NIST	L3475
58.01	Ce	II	3679.42	220.0	0.0629	NIST	L3475
58.01	Ce	II	3694.91	300.0	0.0857	NIST	L3475
58.01	Ce	II	3704.98	220.0	0.0629	NIST	L3475
58.01	Ce	II	3709.29	1000.0	0.2857	NIST	L3475
58.01	Ce	II	3709.93	1000.0	0.2857	NIST	L3475
58.01	Ce	II	3716.37	1400.0	0.4	NIST	L3475
58.01	Ce	II	3718.19	420.0	0.12	NIST	L3475
58.01	Ce	II	3718.38	420.0	0.12	NIST	L3475
58.01	Ce	II	3719.8	210.0	0.06	NIST	L3475
58.01	Ce	II	3725.68	420.0	0.12	NIST	L3475
58.01	Ce	II	3728.02	490.0	0.14	NIST	L3475
58.01	Ce	II	3728.42	800.0	0.2286	NIST	L3475
58.01	Ce	II	3748.06	320.0	0.0914	NIST	L3475
58.01	Ce	II	3751.45	250.0	0.0714	NIST	L3475
58.01	Ce	II	3755.43	200.0	0.0571	NIST	L3475
58.01	Ce	II	3762.98	300.0	0.0857	NIST	L3475
58.01	Ce	II	3764.12	680.0	0.1943	NIST	L3475
58.01	Ce	II	3765.04	200.0	0.0571	NIST	L3475
58.01	Ce	II	3768.76	300.0	0.0857	NIST	L3475
58.01	Ce	II	3770.76	210.0	0.06	NIST	L3475
58.01	Ce	II	3771.6	300.0	0.0857	NIST	L3475
58.01	Ce	II	3776.61	250.0	0.0714	NIST	L3475
58.01	Ce	II	3781.62	620.0	0.1771	NIST	L3475
58.01	Ce	II	3782.52	440.0	0.1257	NIST	L3475
58.01	Ce	II	3783.58	200.0	0.0571	NIST	L3475
58.01	Ce	II	3786.63	860.0	0.2457	NIST	L3475
58.01	Ce	II	3788.75	520.0	0.1486	NIST	L3475
58.01	Ce	II	3792.32	300.0	0.0857	NIST	L3475
58.01	Ce	II	3801.52	2500.0	0.7143	NIST	L3475
58.01	Ce	II	3803.09	800.0	0.2286	NIST	L3475
58.01	Ce	II	3808.11	1000.0	0.2857	NIST	L3475
58.01	Ce	II	3809.21	490.0	0.14	NIST	L3475
58.01	Ce	II	3812.2	250.0	0.0714	NIST	L3475
58.01	Ce	II	3815.85	490.0	0.14	NIST	L3475
58.01	Ce	II	3817.46	470.0	0.1343	NIST	L3475
58.01	Ce	II	3819.02	300.0	0.0857	NIST	L3475
58.01	Ce	II	3823.9	470.0	0.1343	NIST	L3475
58.01	Ce	II	3830.55	470.0	0.1343	NIST	L3475
58.01	Ce	II	3831.08	490.0	0.14	NIST	L3475
58.01	Ce	II	3834.55	490.0	0.14	NIST	L3475
58.01	Ce	II	3836.1	270.0	0.0771	NIST	L3475
58.01	Ce	II	3838.54	1100.0	0.3143	NIST	L3475
58.01	Ce	II	3843.76	200.0	0.0571	NIST	L3475
58.01	Ce	II	3846.52	220.0	0.0629	NIST	L3475
58.01	Ce	II	3848.1	250.0	0.0714	NIST	L3475
58.01	Ce	II	3848.59	860.0	0.2457	NIST	L3475
58.01	Ce	II	3853.15	860.0	0.2457	NIST	L3475
58.01	Ce	II	3854.18	1200.0	0.3429	NIST	L3475
58.01	Ce	II	3854.31	1200.0	0.3429	NIST	L3475
58.01	Ce	II	3855.29	620.0	0.1771	NIST	L3475
58.01	Ce	II	3857.02	390.0	0.1114	NIST	L3475
58.01	Ce	II	3857.64	370.0	0.1057	NIST	L3475
58.01	Ce	II	3862.46	200.0	0.0571	NIST	L3475
