atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
58.02	Ce	III	840.24	100.0	0.0011	NIST	L3518
58.02	Ce	III	844.11	20.0	0.0002	NIST	L3518
58.02	Ce	III	845.02	40.0	0.0004	NIST	L3518
58.02	Ce	III	847.88	20.0	0.0002	NIST	L3518
58.02	Ce	III	851.18	200.0	0.0021	NIST	L3518
58.02	Ce	III	852.63	200.0	0.0021	NIST	L3518
58.02	Ce	III	853.47	200.0	0.0021	NIST	L3518
58.02	Ce	III	853.78	60.0	0.0006	NIST	L3518
58.02	Ce	III	855.16	200.0	0.0021	NIST	L3518
58.02	Ce	III	858.3	200.0	0.0021	NIST	L3518
58.02	Ce	III	860.15	400.0	0.0042	NIST	L3518
58.02	Ce	III	862.25	200.0	0.0021	NIST	L3518
58.02	Ce	III	868.74	40.0	0.0004	NIST	L3518
58.02	Ce	III	869.51	20.0	0.0002	NIST	L3518
58.02	Ce	III	869.84	40.0	0.0004	NIST	L3518
58.02	Ce	III	871.15	20.0	0.0002	NIST	L3518
58.02	Ce	III	871.27	40.0	0.0004	NIST	L3518
58.02	Ce	III	880.68	20.0	0.0002	NIST	L3518
58.02	Ce	III	881.75	60.0	0.0006	NIST	L3518
58.02	Ce	III	884.04	60.0	0.0006	NIST	L3518
58.02	Ce	III	885.22	20.0	0.0002	NIST	L3518
58.02	Ce	III	888.39	30.0	0.0003	NIST	L3518
58.02	Ce	III	892.75	80.0	0.0008	NIST	L3518
58.02	Ce	III	899.32	20.0	0.0002	NIST	L3518
58.02	Ce	III	912.77	100.0	0.0011	NIST	L3518
58.02	Ce	III	937.04	40.0	0.0004	NIST	L3518
58.02	Ce	III	999.26	40.0	0.0004	NIST	L3518
58.02	Ce	III	1025.25	20.0	0.0002	NIST	L3518
58.02	Ce	III	1025.29	20.0	0.0002	NIST	L3518
58.02	Ce	III	1026.28	20.0	0.0002	NIST	L3518
58.02	Ce	III	1029.37	40.0	0.0004	NIST	L3518
58.02	Ce	III	1034.55	20.0	0.0002	NIST	L3518
58.02	Ce	III	1041.14	20.0	0.0002	NIST	L3518
58.02	Ce	III	1042.74	100.0	0.0011	NIST	L3518
58.02	Ce	III	1051.61	50.0	0.0005	NIST	L3518
58.02	Ce	III	1057.4	70.0	0.0007	NIST	L3518
58.02	Ce	III	1057.66	100.0	0.0011	NIST	L3518
58.02	Ce	III	1058.46	100.0	0.0011	NIST	L3518
58.02	Ce	III	1062.99	50.0	0.0005	NIST	L3518
58.02	Ce	III	1063.26	30.0	0.0003	NIST	L3518
58.02	Ce	III	1063.51	50.0	0.0005	NIST	L3518
58.02	Ce	III	1067.76	100.0	0.0011	NIST	L3518
58.02	Ce	III	1068.69	100.0	0.0011	NIST	L3518
58.02	Ce	III	1070.54	20.0	0.0002	NIST	L3518
58.02	Ce	III	1072.79	200.0	0.0021	NIST	L3518
58.02	Ce	III	1073.69	40.0	0.0004	NIST	L3518
58.02	Ce	III	1079.35	30.0	0.0003	NIST	L3518
58.02	Ce	III	1080.82	20.0	0.0002	NIST	L3518
58.02	Ce	III	1088.7	30.0	0.0003	NIST	L3518
58.02	Ce	III	1090.03	30.0	0.0003	NIST	L3518
58.02	Ce	III	1092.48	20.0	0.0002	NIST	L3518
58.02	Ce	III	1099.25	20.0	0.0002	NIST	L3518
58.02	Ce	III	1100.71	40.0	0.0004	NIST	L3518
58.02	Ce	III	1107.09	20.0	0.0002	NIST	L3518
58.02	Ce	III	1111.19	20.0	0.0002	NIST	L3518
58.02	Ce	III	1116.3	20.0	0.0002	NIST	L3518
58.02	Ce	III	1125.58	20.0	0.0002	NIST	L3518
58.02	Ce	III	1129.73	20.0	0.0002	NIST	L3518
58.02	Ce	III	1132.74	20.0	0.0002	NIST	L3518
58.02	Ce	III	1142.55	100.0	0.0011	NIST	L3518
58.02	Ce	III	1192.41	20.0	0.0002	NIST	L3518
58.02	Ce	III	1201.87	50.0	0.0005	NIST	L3518
58.02	Ce	III	1204.05	20.0	0.0002	NIST	L3518
58.02	Ce	III	1719.43	20.0	0.0002	NIST	L3518
58.02	Ce	III	1796.89	20.0	0.0002	NIST	L3518
58.02	Ce	III	1836.66	20.0	0.0002	NIST	L3518
58.02	Ce	III	1836.99	20.0	0.0002	NIST	L3518
58.02	Ce	III	1862.32	30.0	0.0003	NIST	L3518
58.02	Ce	III	1950.36	30.0	0.0003	NIST	L3518
58.02	Ce	III	1990.54	20.0	0.0002	NIST	L3518
58.02	Ce	III	2033.34	100.0	0.0011	NIST	L3518
58.02	Ce	III	2057.65	100.0	0.0011	NIST	L3518
58.02	Ce	III	2077.87	100.0	0.0011	NIST	L3518
58.02	Ce	III	2083.32	200.0	0.0021	NIST	L3518
58.02	Ce	III	2089.96	100.0	0.0011	NIST	L3518
58.02	Ce	III	2109.07	400.0	0.0042	NIST	L3518
58.02	Ce	III	2122.55	100.0	0.0011	NIST	L3518
58.02	Ce	III	2136.95	500.0	0.0053	NIST	L3518
58.02	Ce	III	2151.44	1000.0	0.0105	NIST	L3518
58.02	Ce	III	2166.88	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2169.48	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2180.64	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2183.71	1000.0	0.0105	NIST	L3518
58.02	Ce	III	2203.15	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2218.11	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2222.01	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2225.08	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2227.84	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2228.05	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2242.29	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2249.25	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2264.85	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2268.2	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2287.82	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2298.7	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2300.65	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2302.09	4000.0	0.0421	NIST	L3518
58.02	Ce	III	2317.34	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2318.64	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2324.31	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2337.66	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2350.1	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2362.54	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2367.77	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2372.34	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2377.07	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2377.48	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2380.12	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2382.28	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2385.06	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2395.04	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2406.15	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2408.08	4000.0	0.0421	NIST	L3518
58.02	Ce	III	2410.26	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2415.6	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2417.01	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2423.02	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2428.64	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2430.24	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2431.45	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2439.8	15000.0	0.1579	NIST	L3518
58.02	Ce	III	2441.55	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2444.78	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2454.32	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2469.95	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2471.66	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2477.25	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2479.44	8000.0	0.0842	NIST	L3518
58.02	Ce	III	2479.51	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2483.82	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2497.5	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2503.56	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2504.43	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2531.99	20000.0	0.2105	NIST	L3518
58.02	Ce	III	2539.27	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2557.49	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2577.67	4000.0	0.0421	NIST	L3518
58.02	Ce	III	2578.3	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2584.71	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2603.59	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2607.96	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2615.79	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2649.38	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2662.81	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2719.3	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2730.04	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2743.71	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2748.9	4000.0	0.0421	NIST	L3518
58.02	Ce	III	2754.87	4000.0	0.0421	NIST	L3518
58.02	Ce	III	2768.28	4000.0	0.0421	NIST	L3518
58.02	Ce	III	2849.4	3000.0	0.0316	NIST	L3518
58.02	Ce	III	2861.39	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2907.05	4000.0	0.0421	NIST	L3518
58.02	Ce	III	2923.81	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2925.26	5000.0	0.0526	NIST	L3518
58.02	Ce	III	2931.54	10000.0	0.1053	NIST	L3518
58.02	Ce	III	2948.53	2000.0	0.0211	NIST	L3518
58.02	Ce	III	2973.72	5000.0	0.0526	NIST	L3518
58.02	Ce	III	3022.75	10000.0	0.1053	NIST	L3518
58.02	Ce	III	3031.58	50000.0	0.5263	NIST	L3518
58.02	Ce	III	3055.59	95000.0	1.0	NIST	L3518
58.02	Ce	III	3056.56	20000.0	0.2105	NIST	L3518
58.02	Ce	III	3057.23	40000.0	0.4211	NIST	L3518
58.02	Ce	III	3057.58	20000.0	0.2105	NIST	L3518
58.02	Ce	III	3085.1	40000.0	0.4211	NIST	L3518
58.02	Ce	III	3106.98	20000.0	0.2105	NIST	L3518
58.02	Ce	III	3110.53	30000.0	0.3158	NIST	L3518
58.02	Ce	III	3121.56	30000.0	0.3158	NIST	L3518
58.02	Ce	III	3141.29	20000.0	0.2105	NIST	L3518
58.02	Ce	III	3143.96	20000.0	0.2105	NIST	L3518
58.02	Ce	III	3147.06	20000.0	0.2105	NIST	L3518
58.02	Ce	III	3228.57	20000.0	0.2105	NIST	L3518
58.02	Ce	III	3234.2	3000.0	0.0316	NIST	L3518
58.02	Ce	III	3267.76	4000.0	0.0421	NIST	L3518
58.02	Ce	III	3267.94	3000.0	0.0316	NIST	L3518
