atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
96.01	Cm	II	2462.76	10000.0	1.0	NIST	L3587
96.01	Cm	II	2617.17	10000.0	1.0	NIST	L3587
96.01	Cm	II	2636.28	10000.0	1.0	NIST	L3587
96.01	Cm	II	2651.17	10000.0	1.0	NIST	L3587
96.01	Cm	II	2653.8	10000.0	1.0	NIST	L3587
96.01	Cm	II	2725.68	10000.0	1.0	NIST	L3587
96.01	Cm	II	2736.89	10000.0	1.0	NIST	L3587
96.01	Cm	II	2748.04	10000.0	1.0	NIST	L3587
96.01	Cm	II	2784.83	10000.0	1.0	NIST	L3587
96.01	Cm	II	2811.62	10000.0	1.0	NIST	L3587
96.01	Cm	II	2824.2	10000.0	1.0	NIST	L3587
96.01	Cm	II	2833.58	10000.0	1.0	NIST	L3587
96.01	Cm	II	2899.9	10000.0	1.0	NIST	L3587
96.01	Cm	II	2912.97	10000.0	1.0	NIST	L3587
96.01	Cm	II	2928.92	10000.0	1.0	NIST	L3587
96.01	Cm	II	2996.18	10000.0	1.0	NIST	L3587
96.01	Cm	II	3014.87	10000.0	1.0	NIST	L3587
96.01	Cm	II	3044.85	10000.0	1.0	NIST	L3587
96.01	Cm	II	3169.98	10000.0	1.0	NIST	L3587
96.01	Cm	II	3207.12	10000.0	1.0	NIST	L3587
96.01	Cm	II	3209.89	10000.0	1.0	NIST	L3587
96.01	Cm	II	3210.05	10000.0	1.0	NIST	L3587
96.01	Cm	II	3220.76	10000.0	1.0	NIST	L3587
96.01	Cm	II	3226.41	10000.0	1.0	NIST	L3587
96.01	Cm	II	3230.35	10000.0	1.0	NIST	L3587
96.01	Cm	II	3238.55	10000.0	1.0	NIST	L3587
96.01	Cm	II	3242.66	10000.0	1.0	NIST	L3587
96.01	Cm	II	3296.71	10000.0	1.0	NIST	L3587
96.01	Cm	II	3572.95	10000.0	1.0	NIST	L3587
96.01	Cm	II	3904.06	10000.0	1.0	NIST	L3587
96.01	Cm	II	3908.24	10000.0	1.0	NIST	L3587
96.01	Cm	II	4207.66	10000.0	1.0	NIST	L3587
