atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
27.08	Co	IX	71.053	1.0	0.0033	NIST	L16999
27.08	Co	IX	72.048	1.0	0.0033	NIST	L16999
27.08	Co	IX	72.177	2.0	0.0067	NIST	L16999
27.08	Co	IX	73.665	2.0	0.0067	NIST	L16999
27.08	Co	IX	73.798	3.0	0.01	NIST	L16999
27.08	Co	IX	76.16	3.0	0.01	NIST	L16999
27.08	Co	IX	76.305	4.0	0.0133	NIST	L16999
27.08	Co	IX	80.388	5.0	0.0167	NIST	L16999
27.08	Co	IX	80.544	6.0	0.02	NIST	L16999
27.08	Co	IX	88.446	7.0	0.0233	NIST	L16999
27.08	Co	IX	88.636	8.0	0.0267	NIST	L16999
27.08	Co	IX	95.852	2.0	0.0067	NIST	L856
27.08	Co	IX	96.076	6.0	0.02	NIST	L856
27.08	Co	IX	96.305	2.0	0.0067	NIST	L856
27.08	Co	IX	96.541	3.0	0.01	NIST	L856
27.08	Co	IX	97.355	2.0	0.0067	NIST	L856
27.08	Co	IX	97.587	4.0	0.0133	NIST	L856
27.08	Co	IX	97.854	4.0	0.0133	NIST	L856
27.08	Co	IX	100.21	4.0	0.0133	NIST	L856
27.08	Co	IX	100.636	1.0	0.0033	NIST	L856
27.08	Co	IX	108.39	9.0	0.03	NIST	L16999
27.08	Co	IX	108.667	10.0	0.0333	NIST	L16999
27.08	Co	IX	158.953	100.0	0.3333	NIST	L5223
27.08	Co	IX	159.575	300.0	1.0	NIST	L5223
27.08	Co	IX	159.972	250.0	0.8333	NIST	L5223
27.08	Co	IX	212.907	300.0	1.0	NIST	L5223
27.08	Co	IX	213.574	300.0	1.0	NIST	L5223
