atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
27.04	Co	V	355.52	20.0	0.4	NIST	L3288
27.04	Co	V	355.88	18.0	0.36	NIST	L3288
27.04	Co	V	356.06	12.0	0.24	NIST	L3288
27.04	Co	V	1006.86	4.0	0.08	NIST	L657
27.04	Co	V	1007.51	10.0	0.2	NIST	L657
27.04	Co	V	1009.02	15.0	0.3	NIST	L657
27.04	Co	V	1010.94	10.0	0.2	NIST	L657
27.04	Co	V	1013.8	10.0	0.2	NIST	L657
27.04	Co	V	1017.43	1.0	0.02	NIST	L657
27.04	Co	V	1018.36	10.0	0.2	NIST	L657
27.04	Co	V	1021.14	10.0	0.2	NIST	L657
27.04	Co	V	1028.08	1.0	0.02	NIST	L657
27.04	Co	V	1226.31	3.0	0.06	NIST	L657
27.04	Co	V	1228.19	8.0	0.16	NIST	L657
27.04	Co	V	1231.73	15.0	0.3	NIST	L657
27.04	Co	V	1234.55	2.0	0.04	NIST	L657
27.04	Co	V	1236.95	20.0	0.4	NIST	L657
27.04	Co	V	1239.85	2.0	0.04	NIST	L657
27.04	Co	V	1246.91	8.0	0.16	NIST	L657
27.04	Co	V	1258.61	6.0	0.12	NIST	L657
27.04	Co	V	1263.28	5.0	0.1	NIST	L657
27.04	Co	V	1270.7	20.0	0.4	NIST	L657
27.04	Co	V	1272.23	20.0	0.4	NIST	L657
27.04	Co	V	1275.52	2.0	0.04	NIST	L657
27.04	Co	V	1277.01	50.0	1.0	NIST	L657
27.04	Co	V	1281.63	30.0	0.6	NIST	L657
27.04	Co	V	1284.0	15.0	0.3	NIST	L657
27.04	Co	V	1286.95	28.0	0.56	NIST	L657
27.04	Co	V	1295.55	25.0	0.5	NIST	L657
27.04	Co	V	1295.87	40.0	0.8	NIST	L657
27.04	Co	V	1301.12	35.0	0.7	NIST	L657
27.04	Co	V	1345.67	50.0	1.0	NIST	L657
27.04	Co	V	1351.22	6.0	0.12	NIST	L657
27.04	Co	V	1353.42	15.0	0.3	NIST	L657
27.04	Co	V	1355.2	40.0	0.8	NIST	L657
27.04	Co	V	1357.67	30.0	0.6	NIST	L657
27.04	Co	V	1361.32	20.0	0.4	NIST	L657
27.04	Co	V	1362.46	30.0	0.6	NIST	L657
27.04	Co	V	1364.17	30.0	0.6	NIST	L657
27.04	Co	V	1368.24	30.0	0.6	NIST	L657
27.04	Co	V	1369.3	4.0	0.08	NIST	L657
27.04	Co	V	1371.01	10.0	0.2	NIST	L657
27.04	Co	V	1373.09	30.0	0.6	NIST	L657
27.04	Co	V	1375.2	30.0	0.6	NIST	L657
27.04	Co	V	1378.12	25.0	0.5	NIST	L657
27.04	Co	V	1379.05	10.0	0.2	NIST	L657
27.04	Co	V	1380.21	10.0	0.2	NIST	L657
27.04	Co	V	1389.11	32.0	0.64	NIST	L657
27.04	Co	V	1459.77	15.0	0.3	NIST	L657
27.04	Co	V	1468.98	35.0	0.7	NIST	L657
27.04	Co	V	1476.65	30.0	0.6	NIST	L657
27.04	Co	V	1482.62	25.0	0.5	NIST	L657
27.04	Co	V	1482.91	20.0	0.4	NIST	L657
27.04	Co	V	1486.02	25.0	0.5	NIST	L657
27.04	Co	V	1488.73	20.0	0.4	NIST	L657
