atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
24.00	Cr	I	1835.158	3.0	0.0004	NIST	L2832
24.00	Cr	I	1835.355	3.0	0.0004	NIST	L2832
24.00	Cr	I	1835.515	3.0	0.0004	NIST	L2832
24.00	Cr	I	1835.711	3.0	0.0004	NIST	L2832
24.00	Cr	I	1835.923	3.0	0.0004	NIST	L2832
24.00	Cr	I	1836.153	3.0	0.0004	NIST	L2832
24.00	Cr	I	1836.433	3.0	0.0004	NIST	L2832
24.00	Cr	I	1836.715	3.0	0.0004	NIST	L2832
24.00	Cr	I	1837.015	3.0	0.0004	NIST	L2832
24.00	Cr	I	1837.379	3.0	0.0004	NIST	L2832
24.00	Cr	I	1837.78	3.0	0.0004	NIST	L2832
24.00	Cr	I	1838.217	4.0	0.0005	NIST	L2832
24.00	Cr	I	1838.724	4.0	0.0005	NIST	L2832
24.00	Cr	I	1839.296	4.0	0.0005	NIST	L2832
24.00	Cr	I	1839.942	4.0	0.0005	NIST	L2832
24.00	Cr	I	1840.699	4.0	0.0005	NIST	L2832
24.00	Cr	I	1841.54	5.0	0.0006	NIST	L2832
24.00	Cr	I	1842.556	5.0	0.0006	NIST	L2832
24.00	Cr	I	1843.735	4.0	0.0005	NIST	L2832
24.00	Cr	I	1845.135	5.0	0.0006	NIST	L2832
24.00	Cr	I	1846.8	5.0	0.0006	NIST	L2832
24.00	Cr	I	1848.805	5.0	0.0006	NIST	L2832
24.00	Cr	I	1851.266	5.0	0.0006	NIST	L2832
24.00	Cr	I	1854.325	5.0	0.0006	NIST	L2832
24.00	Cr	I	1858.191	6.0	0.0007	NIST	L2832
24.00	Cr	I	1863.188	7.0	0.0008	NIST	L2832
24.00	Cr	I	1869.701	7.0	0.0008	NIST	L2832
24.00	Cr	I	1879.099	4.0	0.0005	NIST	L2832
24.00	Cr	I	1880.39	1.0	0.0001	NIST	L808
24.00	Cr	I	1881.87	5.0	0.0006	NIST	L808
24.00	Cr	I	1883.11	1.0	0.0001	NIST	L808
24.00	Cr	I	1886.34	10.0	0.0012	NIST	L808
24.00	Cr	I	1887.688	3.0	0.0004	NIST	L2832
24.00	Cr	I	1887.85	1.0	0.0001	NIST	L808
24.00	Cr	I	1888.313	3.0	0.0004	NIST	L2832
24.00	Cr	I	1889.368	3.0	0.0004	NIST	L2832
24.00	Cr	I	1890.845	4.0	0.0005	NIST	L2832
24.00	Cr	I	1891.885	5.0	0.0006	NIST	L2832
24.00	Cr	I	1892.01	1.0	0.0001	NIST	L808
24.00	Cr	I	1893.59	1.0	0.0001	NIST	L808
24.00	Cr	I	1895.78	1.0	0.0001	NIST	L808
24.00	Cr	I	1902.43	3.0	0.0004	NIST	L808
24.00	Cr	I	1902.496	3.0	0.0004	NIST	L2832
24.00	Cr	I	1903.3	1.0	0.0001	NIST	L808
24.00	Cr	I	1903.57	1.0	0.0001	NIST	L808
24.00	Cr	I	1906.743	2.0	0.0002	NIST	L2832
24.00	Cr	I	1907.406	2.0	0.0002	NIST	L2832
24.00	Cr	I	1908.46	4.0	0.0005	NIST	L808
24.00	Cr	I	1908.542	4.0	0.0005	NIST	L2832
24.00	Cr	I	1909.887	2.0	0.0002	NIST	L2832
24.00	Cr	I	1911.385	7.0	0.0008	NIST	L2832
24.00	Cr	I	1912.865	4.0	0.0005	NIST	L2832
24.00	Cr	I	1916.309	5.0	0.0006	NIST	L2832
24.00	Cr	I	1940.452	8.0	0.0009	NIST	L2832
24.00	Cr	I	1940.561	8.0	0.0009	NIST	L2832
24.00	Cr	I	1940.638	8.0	0.0009	NIST	L2832
24.00	Cr	I	1989.0	4.0	0.0005	NIST	L808
24.00	Cr	I	1989.92	15.0	0.0018	NIST	L808
24.00	Cr	I	1990.27	8.0	0.0009	NIST	L808
24.00	Cr	I	1991.22	15.0	0.0018	NIST	L808
24.00	Cr	I	1992.12	6.0	0.0007	NIST	L808
24.00	Cr	I	1992.65	5.0	0.0006	NIST	L808
24.00	Cr	I	1994.1	8.0	0.0009	NIST	L808
24.00	Cr	I	1994.55	15.0	0.0018	NIST	L808
24.00	Cr	I	1995.69	5.0	0.0006	NIST	L808
24.00	Cr	I	1997.09	5.0	0.0006	NIST	L808
24.00	Cr	I	1997.3	10.0	0.0012	NIST	L808
24.00	Cr	I	1997.9	12.0	0.0014	NIST	L808
24.00	Cr	I	1999.95	35.0	0.0041	NIST	L808
24.00	Cr	I	2000.6	20.0	0.0024	NIST	L808
24.00	Cr	I	2003.55	5.0	0.0006	NIST	L808
24.00	Cr	I	2004.94	8.0	0.0009	NIST	L808
24.00	Cr	I	2005.76	10.0	0.0012	NIST	L808
24.00	Cr	I	2006.88	6.0	0.0007	NIST	L9365
24.00	Cr	I	2025.86	15.0	0.0018	NIST	L808
24.00	Cr	I	2028.13	12.0	0.0014	NIST	L808
24.00	Cr	I	2028.33	10.0	0.0012	NIST	L808
24.00	Cr	I	2029.42	15.0	0.0018	NIST	L808
24.00	Cr	I	2031.27	15.0	0.0018	NIST	L808
24.00	Cr	I	2032.65	1.0	0.0001	NIST	L808
24.00	Cr	I	2032.95	5.0	0.0006	NIST	L808
24.00	Cr	I	2034.24	35.0	0.0041	NIST	L808
24.00	Cr	I	2036.34	8.0	0.0009	NIST	L808
24.00	Cr	I	2037.72	1.0	0.0001	NIST	L808
24.00	Cr	I	2038.21	7.0	0.0008	NIST	L808
24.00	Cr	I	2038.98	1.0	0.0001	NIST	L808
24.00	Cr	I	2039.3	35.0	0.0041	NIST	L808
24.00	Cr	I	2042.72	8.0	0.0009	NIST	L808
24.00	Cr	I	2043.06	10.0	0.0012	NIST	L808
24.00	Cr	I	2049.31	8.0	0.0009	NIST	L808
24.00	Cr	I	2087.87	3.0	0.0004	NIST	L9365
24.00	Cr	I	2095.0	12.0	0.0014	NIST	L808
24.00	Cr	I	2095.4	10.0	0.0012	NIST	L808
24.00	Cr	I	2095.83	8.0	0.0009	NIST	L808
24.00	Cr	I	2109.99	1.0	0.0001	NIST	L9365
24.00	Cr	I	2132.5	4.0	0.0005	NIST	L9365
24.00	Cr	I	2141.2	2.0	0.0002	NIST	L9365
24.00	Cr	I	2144.24	1.0	0.0001	NIST	L808
24.00	Cr	I	2148.02	10.0	0.0012	NIST	L808
24.00	Cr	I	2150.25	1.0	0.0001	NIST	L808
24.00	Cr	I	2152.27	10.0	0.0012	NIST	L808
24.00	Cr	I	2152.57	15.0	0.0018	NIST	L808
24.00	Cr	I	2154.44	25.0	0.0029	NIST	L808
24.00	Cr	I	2155.09	15.0	0.0018	NIST	L808
24.00	Cr	I	2157.74	30.0	0.0035	NIST	L808
24.00	Cr	I	2158.0	15.0	0.0018	NIST	L808
24.00	Cr	I	2160.5	4.0	0.0005	NIST	L808
24.00	Cr	I	2162.25	10.0	0.0012	NIST	L808
24.00	Cr	I	2162.47	30.0	0.0035	NIST	L808
24.00	Cr	I	2167.68	4.0	0.0005	NIST	L808
24.00	Cr	I	2171.44	4.0	0.0005	NIST	L808
24.00	Cr	I	2176.19	3.0	0.0004	NIST	L808
24.00	Cr	I	2181.53	4.0	0.0005	NIST	L808
24.00	Cr	I	2186.87	5.0	0.0006	NIST	L808
24.00	Cr	I	2188.09	6.0	0.0007	NIST	L808
24.00	Cr	I	2191.64	8.0	0.0009	NIST	L808
24.00	Cr	I	2194.9	18.0	0.0021	NIST	L808
24.00	Cr	I	2198.32	22.0	0.0026	NIST	L808
24.00	Cr	I	2199.72	3.0	0.0004	NIST	L9365
24.00	Cr	I	2205.2	15.0	0.0018	NIST	L808
24.00	Cr	I	2210.38	7.0	0.0008	NIST	L808
24.00	Cr	I	2214.31	8.0	0.0009	NIST	L808
24.00	Cr	I	2220.42	10.0	0.0012	NIST	L808
24.00	Cr	I	2228.22	18.0	0.0021	NIST	L808
24.00	Cr	I	2259.08	12.0	0.0014	NIST	L808
24.00	Cr	I	2261.68	18.0	0.0021	NIST	L808
24.00	Cr	I	2262.15	7.0	0.0008	NIST	L808
24.00	Cr	I	2262.32	15.0	0.0018	NIST	L808
24.00	Cr	I	2266.66	18.0	0.0021	NIST	L808
24.00	Cr	I	2267.64	15.0	0.0018	NIST	L808
24.00	Cr	I	2268.13	18.0	0.0021	NIST	L808
24.00	Cr	I	2273.62	18.0	0.0021	NIST	L808
24.00	Cr	I	2275.31	25.0	0.0029	NIST	L808
24.00	Cr	I	2276.31	18.0	0.0021	NIST	L808
24.00	Cr	I	2284.67	25.0	0.0029	NIST	L808
