atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
24.04	Cr	V	433.119	2.0	0.1333	NIST	L1933
24.04	Cr	V	434.18	1.0	0.0667	NIST	L1933
24.04	Cr	V	434.306	7.0	0.4667	NIST	L1933
24.04	Cr	V	435.143	5.0	0.3333	NIST	L1933
24.04	Cr	V	435.636	5.0	0.3333	NIST	L1933
24.04	Cr	V	436.351	4.0	0.2667	NIST	L1933
24.04	Cr	V	436.601	4.0	0.2667	NIST	L1933
24.04	Cr	V	437.42	4.0	0.2667	NIST	L1933
24.04	Cr	V	437.655	3.0	0.2	NIST	L1933
24.04	Cr	V	438.618	10.0	0.6667	NIST	L1932
24.04	Cr	V	441.056	5.0	0.3333	NIST	L1933
24.04	Cr	V	442.243	2.0	0.1333	NIST	L1933
24.04	Cr	V	445.751	2.0	0.1333	NIST	L1933
24.04	Cr	V	446.672	1.0	0.0667	NIST	L1933
24.04	Cr	V	451.141	1.0	0.0667	NIST	L1933
24.04	Cr	V	451.607	1.0	0.0667	NIST	L1933
24.04	Cr	V	456.272	5.0	0.3333	NIST	L1933
24.04	Cr	V	456.357	4.0	0.2667	NIST	L1933
24.04	Cr	V	456.637	4.0	0.2667	NIST	L1933
24.04	Cr	V	456.743	3.0	0.2	NIST	L1933
24.04	Cr	V	457.028	6.0	0.4	NIST	L1933
24.04	Cr	V	457.504	4.0	0.2667	NIST	L1933
24.04	Cr	V	464.015	10.0	0.6667	NIST	L1933
24.04	Cr	V	469.311	5.0	0.3333	NIST	L1933
24.04	Cr	V	469.634	7.0	0.4667	NIST	L1933
24.04	Cr	V	469.893	4.0	0.2667	NIST	L1933
24.04	Cr	V	470.567	3.0	0.2	NIST	L1933
24.04	Cr	V	470.697	2.0	0.1333	NIST	L1933
24.04	Cr	V	470.976	1.0	0.0667	NIST	L1933
24.04	Cr	V	529.742	6.0	0.4	NIST	L1933
24.04	Cr	V	754.521	5.0	0.3333	NIST	L1933
24.04	Cr	V	776.743	1.0	0.0667	NIST	L1933
24.04	Cr	V	777.873	6.0	0.4	NIST	L1933
24.04	Cr	V	778.253	3.0	0.2	NIST	L1933
24.04	Cr	V	780.428	1.0	0.0667	NIST	L1933
24.04	Cr	V	786.21	3.0	0.2	NIST	L1933
24.04	Cr	V	789.492	5.0	0.3333	NIST	L1933
24.04	Cr	V	791.872	6.0	0.4	NIST	L1933
24.04	Cr	V	814.148	3.0	0.2	NIST	L1933
24.04	Cr	V	817.246	1.0	0.0667	NIST	L1933
24.04	Cr	V	825.6	7.0	0.4667	NIST	L1933
24.04	Cr	V	842.195	2.0	0.1333	NIST	L1933
24.04	Cr	V	968.703	7.0	0.4667	NIST	L1933
24.04	Cr	V	982.736	4.0	0.2667	NIST	L1933
24.04	Cr	V	986.035	5.0	0.3333	NIST	L1933
24.04	Cr	V	1029.842	4.0	0.2667	NIST	L1933
24.04	Cr	V	1031.105	5.0	0.3333	NIST	L1933
24.04	Cr	V	1033.452	5.0	0.3333	NIST	L1933
24.04	Cr	V	1035.037	1.0	0.0667	NIST	L1933
24.04	Cr	V	1042.544	3.0	0.2	NIST	L1933
24.04	Cr	V	1045.044	7.0	0.4667	NIST	L1933
24.04	Cr	V	1045.733	1.0	0.0667	NIST	L1933
24.04	Cr	V	1046.294	2.0	0.1333	NIST	L1933
24.04	Cr	V	1046.364	3.0	0.2	NIST	L1933
24.04	Cr	V	1046.542	2.0	0.1333	NIST	L1933
24.04	Cr	V	1047.494	1.0	0.0667	NIST	L1933
24.04	Cr	V	1048.236	2.0	0.1333	NIST	L1933
24.04	Cr	V	1050.901	4.0	0.2667	NIST	L1933
24.04	Cr	V	1058.298	5.0	0.3333	NIST	L1933
24.04	Cr	V	1060.651	8.0	0.5333	NIST	L1933
24.04	Cr	V	1073.367	2.0	0.1333	NIST	L1933
24.04	Cr	V	1089.079	1.0	0.0667	NIST	L1933
24.04	Cr	V	1103.39	3.0	0.2	NIST	L1933
24.04	Cr	V	1104.296	6.0	0.4	NIST	L1933
24.04	Cr	V	1106.25	2.0	0.1333	NIST	L1933
24.04	Cr	V	1108.322	1.0	0.0667	NIST	L1933
24.04	Cr	V	1109.731	1.0	0.0667	NIST	L1933
24.04	Cr	V	1112.452	7.0	0.4667	NIST	L1933
24.04	Cr	V	1114.35	8.0	0.5333	NIST	L1933
24.04	Cr	V	1116.478	10.0	0.6667	NIST	L1933
24.04	Cr	V	1117.559	9.0	0.6	NIST	L1933
24.04	Cr	V	1118.157	7.0	0.4667	NIST	L1933
24.04	Cr	V	1118.518	1.0	0.0667	NIST	L1933
24.04	Cr	V	1121.066	12.0	0.8	NIST	L1933
24.04	Cr	V	1122.255	1.0	0.0667	NIST	L1933
24.04	Cr	V	1126.09	2.0	0.1333	NIST	L1933
24.04	Cr	V	1127.631	12.0	0.8	NIST	L1933
24.04	Cr	V	1134.768	3.0	0.2	NIST	L1933
