atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
55.00	Cs	I	849.689	10.0	0.0	NIST	L9536
55.00	Cs	I	873.015	5.0	0.0	NIST	L9536
55.00	Cs	I	881.136	8.0	0.0	NIST	L9536
55.00	Cs	I	916.85	5.0	0.0	NIST	L15673
55.00	Cs	I	1007.5	10.0	0.0	NIST	L15673
55.00	Cs	I	3611.4714	160.0	0.0003	NIST	L5791
55.00	Cs	I	3617.3084	32.0	0.0001	NIST	L5791
55.00	Cs	I	3876.1486	2100.0	0.0038	NIST	L5791
55.00	Cs	I	3888.611413	600.0	0.0011	NIST	L9729c91
55.00	Cs	I	6707.6859	25.0	0.0	NIST	L5791
55.00	Cs	I	6723.2838	33000.0	0.06	NIST	L5791
55.00	Cs	I	6743.969	31.0	0.0001	NIST	L5791
55.00	Cs	I	7026.6801	100.0	0.0002	NIST	L5791
55.00	Cs	I	7061.7815	130.0	0.0002	NIST	L5791
55.00	Cs	I	7583.7754	120.0	0.0002	NIST	L5791
55.00	Cs	I	7609.5679	530.0	0.001	NIST	L5791
55.00	Cs	I	7640.3337	720.0	0.0013	NIST	L5791
55.00	Cs	I	8853.2021	680.0	0.0012	NIST	L5791
55.00	Cs	I	8918.499	3600.0	0.0065	NIST	L5791
55.00	Cs	I	8930.377	5200.0	0.0095	NIST	L5791
55.00	Cs	I	9783.8309	130.0	0.0002	NIST	L5791
55.00	Cs	I	9809.621	34.0	0.0001	NIST	L5791
55.00	Cs	I	10024.3552	190000.0	0.3455	NIST	L793
55.00	Cs	I	10123.4135	48000.0	0.0873	NIST	L793
55.00	Cs	I	10123.6017	260000.0	0.4727	NIST	L793
55.00	Cs	I	10930.574	1200.0	0.0022	NIST	L5791
55.00	Cs	I	10984.234	290.0	0.0005	NIST	L5791
55.00	Cs	I	11801.639	30.0	0.0001	NIST	L5791
55.00	Cs	I	11857.094	53.0	0.0001	NIST	L5791
55.00	Cs	I	12087.947	11.0	0.0	NIST	L5791
55.00	Cs	I	12113.9198	61.0	0.0001	NIST	L5791
55.00	Cs	I	12295.253	110.0	0.0002	NIST	L5791
55.00	Cs	I	12358.502	29.0	0.0001	NIST	L5791
55.00	Cs	I	12570.184	180.0	0.0003	NIST	L5791
55.00	Cs	I	12575.253	26.0	0.0	NIST	L5791
55.00	Cs	I	12649.242	34.0	0.0001	NIST	L5791
55.00	Cs	I	12945.794	57.0	0.0001	NIST	L5791
55.00	Cs	I	12978.5	350.0	0.0006	NIST	L5791
55.00	Cs	I	13282.669	850.0	0.0015	NIST	L5791
55.00	Cs	I	13290.889	70.0	0.0001	NIST	L5791
55.00	Cs	I	13412.864	45.0	0.0001	NIST	L5791
55.00	Cs	I	13424.313	29000.0	0.0527	NIST	L5791
55.00	Cs	I	13490.516	79.0	0.0001	NIST	L5791
55.00	Cs	I	13571.478	114.0	0.0002	NIST	L5791
55.00	Cs	I	13588.293	380000.0	0.6909	NIST	L5791
55.00	Cs	I	13602.556	84000.0	0.1527	NIST	L5791
55.00	Cs	I	13758.808	57000.0	0.1036	NIST	L5791
55.00	Cs	I	13777.972	8500.0	0.0155	NIST	L5791
55.00	Cs	I	13913.4359	150.0	0.0003	NIST	L5791
55.00	Cs	I	13936.7664	3200.0	0.0058	NIST	L5791
55.00	Cs	I	14100.677	110.0	0.0002	NIST	L5791
55.00	Cs	I	14153.747	1300.0	0.0024	NIST	L5791
55.00	Cs	I	14186.556	180.0	0.0003	NIST	L5791
55.00	Cs	I	14511.084	2500.0	0.0045	NIST	L5791
55.00	Cs	I	14526.082	400.0	0.0007	NIST	L5791
55.00	Cs	I	14670.363	33.0	0.0001	NIST	L5791
55.00	Cs	I	14694.9087	550000.0	1.0	NIST	L5791
55.00	Cs	I	14725.389	46.0	0.0001	NIST	L5791
55.00	Cs	I	15241.693	680.0	0.0012	NIST	L5791
55.00	Cs	I	15298.325	560.0	0.001	NIST	L5791
55.00	Cs	I	15341.963	100.0	0.0002	NIST	L5791
55.00	Cs	I	15342.131	790.0	0.0014	NIST	L5791
55.00	Cs	I	15734.238	920.0	0.0017	NIST	L5791
55.00	Cs	I	16216.6	29.0	0.0001	NIST	L5791
55.00	Cs	I	16287.529	350.0	0.0006	NIST	L5791
55.00	Cs	I	16330.101	300.0	0.0005	NIST	L5791
55.00	Cs	I	16535.633	8200.0	0.0149	NIST	L5791
55.00	Cs	I	16589.107	7.0	0.0	NIST	L5289
55.00	Cs	I	16589.602	5.0	0.0	NIST	L5289
55.00	Cs	I	17012.32	15000.0	0.0273	NIST	L5791
55.00	Cs	I	17046.092	1400.0	0.0025	NIST	L5791
55.00	Cs	I	17131.495	26.0	0.0	NIST	L5289
55.00	Cs	I	17132.03	19.0	0.0	NIST	L5289
55.00	Cs	I	17414.75	2200.0	0.004	NIST	L5791
55.00	Cs	I	17545.769	260.0	0.0005	NIST	L5791
55.00	Cs	I	17546.091	2600.0	0.0047	NIST	L5791
55.00	Cs	I	17923.634	110.0	0.0002	NIST	L5289
55.00	Cs	I	17924.221	88.0	0.0002	NIST	L5289
55.00	Cs	I	19162.546	250.0	0.0005	NIST	L5289
55.00	Cs	I	19163.215	230.0	0.0004	NIST	L5289
55.00	Cs	I	19429.859	3800.0	0.0069	NIST	L5791
55.00	Cs	I	19629.986	190.0	0.0003	NIST	L5791
55.00	Cs	I	19796.613	2200.0	0.004	NIST	L5791
55.00	Cs	I	19803.733	1500.0	0.0027	NIST	L5791
55.00	Cs	I	19990.937	55.0	0.0001	NIST	L5791
55.00	Cs	I	19991.642	3.0	0.0	NIST	L5791
55.00	Cs	I	20015.76	40.0	0.0001	NIST	L5791
55.00	Cs	I	20143.965	7600.0	0.0138	NIST	L5791
55.00	Cs	I	21317.301	1800.0	0.0033	NIST	L5289
55.00	Cs	I	21318.13	1700.0	0.0031	NIST	L5289
55.00	Cs	I	22818.081	8800.0	0.016	NIST	L5791
55.00	Cs	I	22916.06	180.0	0.0003	NIST	L5791
55.00	Cs	I	22954.446	110.0	0.0002	NIST	L5791
55.00	Cs	I	23043.465	740.0	0.0013	NIST	L5791
55.00	Cs	I	23044.271	11000.0	0.02	NIST	L5791
55.00	Cs	I	23350.837	39000.0	0.0709	NIST	L5791
55.00	Cs	I	23880.48	500.0	0.0009	NIST	L5791
55.00	Cs	I	24257.831	44000.0	0.08	NIST	L5791
55.00	Cs	I	24381.609	8500.0	0.0155	NIST	L5791
55.00	Cs	I	25770.543	8900.0	0.0162	NIST	L5289
55.00	Cs	I	25771.759	5000.0	0.0091	NIST	L5289
55.00	Cs	I	25791.22	40.0	0.0001	NIST	L5791
55.00	Cs	I	26599.62	160.0	0.0003	NIST	L5791
55.00	Cs	I	27163.339	65.0	0.0001	NIST	L5791
55.00	Cs	I	29318.05	6800.0	0.0124	NIST	L5791
55.00	Cs	I	29843.278	21.0	0.0	NIST	L5791
55.00	Cs	I	29948.965	14.0	0.0	NIST	L5791
55.00	Cs	I	30111.48	28000.0	0.0509	NIST	L5791
55.00	Cs	I	30961.5	8100.0	0.0147	NIST	L5791
55.00	Cs	I	31223.752	47.0	0.0001	NIST	L5791
55.00	Cs	I	31647.326	390.0	0.0007	NIST	L5791
55.00	Cs	I	32051.125	280.0	0.0005	NIST	L5791
55.00	Cs	I	32052.872	15.0	0.0	NIST	L5791
55.00	Cs	I	32848.441	22.0	0.0	NIST	L5791
55.00	Cs	I	32925.387	2.0	0.0	NIST	L5791
55.00	Cs	I	34909.65	11000.0	0.02	NIST	L5791
55.00	Cs	I	36140.854	1900.0	0.0035	NIST	L5791
55.00	Cs	I	39187.97	18.0	0.0	NIST	L5791
55.00	Cs	I	39432.001	16.0	0.0	NIST	L5289
55.00	Cs	I	39434.864	13.0	0.0	NIST	L5289
