atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
55.03	Cs	IV	355.839	15.0	0.1	NIST	L12055
55.03	Cs	IV	360.206	5.0	0.0333	NIST	L12055
55.03	Cs	IV	363.319	5.0	0.0333	NIST	L12055
55.03	Cs	IV	364.002	5.0	0.0333	NIST	L12055
55.03	Cs	IV	366.07	7.0	0.0467	NIST	L12055
55.03	Cs	IV	367.467	25.0	0.1667	NIST	L12055
55.03	Cs	IV	367.628	5.0	0.0333	NIST	L12055
55.03	Cs	IV	369.428	15.0	0.1	NIST	L12055
55.03	Cs	IV	369.495	10.0	0.0667	NIST	L12055
55.03	Cs	IV	369.696	18.0	0.12	NIST	L12055
55.03	Cs	IV	370.35	5.0	0.0333	NIST	L12055
55.03	Cs	IV	370.692	5.0	0.0333	NIST	L12055
55.03	Cs	IV	371.088	18.0	0.12	NIST	L12055
55.03	Cs	IV	371.192	5.0	0.0333	NIST	L12055
55.03	Cs	IV	372.239	25.0	0.1667	NIST	L12055
55.03	Cs	IV	372.41	22.0	0.1467	NIST	L12055
55.03	Cs	IV	373.122	38.0	0.2533	NIST	L12055
55.03	Cs	IV	373.366	5.0	0.0333	NIST	L12055
55.03	Cs	IV	374.252	40.0	0.2667	NIST	L12055
55.03	Cs	IV	374.45	90.0	0.6	NIST	L12055
55.03	Cs	IV	375.431	18.0	0.12	NIST	L12055
55.03	Cs	IV	377.206	15.0	0.1	NIST	L12055
55.03	Cs	IV	378.535	25.0	0.1667	NIST	L12055
55.03	Cs	IV	380.006	15.0	0.1	NIST	L12055
55.03	Cs	IV	381.461	28.0	0.1867	NIST	L12055
55.03	Cs	IV	381.872	15.0	0.1	NIST	L12055
55.03	Cs	IV	382.193	32.0	0.2133	NIST	L12055
55.03	Cs	IV	382.88	30.0	0.2	NIST	L12055
55.03	Cs	IV	384.758	15.0	0.1	NIST	L12055
55.03	Cs	IV	386.42	40.0	0.2667	NIST	L12055
55.03	Cs	IV	386.442	28.0	0.1867	NIST	L12055
55.03	Cs	IV	388.431	12.0	0.08	NIST	L12055
55.03	Cs	IV	388.931	20.0	0.1333	NIST	L12055
55.03	Cs	IV	391.209	25.0	0.1667	NIST	L12055
55.03	Cs	IV	391.503	40.0	0.2667	NIST	L12055
55.03	Cs	IV	391.604	10.0	0.0667	NIST	L12055
55.03	Cs	IV	391.997	28.0	0.1867	NIST	L12055
55.03	Cs	IV	393.222	38.0	0.2533	NIST	L12055
55.03	Cs	IV	393.464	23.0	0.1533	NIST	L12055
55.03	Cs	IV	394.952	90.0	0.6	NIST	L12055
55.03	Cs	IV	396.505	32.0	0.2133	NIST	L12055
55.03	Cs	IV	396.637	18.0	0.12	NIST	L12055
55.03	Cs	IV	396.745	90.0	0.6	NIST	L12055
55.03	Cs	IV	397.533	40.0	0.2667	NIST	L12055
55.03	Cs	IV	397.804	30.0	0.2	NIST	L12055
55.03	Cs	IV	397.974	70.0	0.4667	NIST	L12055
55.03	Cs	IV	398.211	28.0	0.1867	NIST	L12055
55.03	Cs	IV	399.336	98.0	0.6533	NIST	L12055
55.03	Cs	IV	400.106	70.0	0.4667	NIST	L12055
55.03	Cs	IV	400.585	10.0	0.0667	NIST	L12055
55.03	Cs	IV	400.819	28.0	0.1867	NIST	L12055
55.03	Cs	IV	401.186	50.0	0.3333	NIST	L12055
55.03	Cs	IV	402.053	30.0	0.2	NIST	L12055
55.03	Cs	IV	402.11	35.0	0.2333	NIST	L12055
55.03	Cs	IV	402.779	18.0	0.12	NIST	L12055
55.03	Cs	IV	403.603	18.0	0.12	NIST	L12055
55.03	Cs	IV	405.75	8.0	0.0533	NIST	L12055
55.03	Cs	IV	406.119	15.0	0.1	NIST	L12055
55.03	Cs	IV	406.355	22.0	0.1467	NIST	L12055
55.03	Cs	IV	406.403	24.0	0.16	NIST	L12055
55.03	Cs	IV	409.244	14.0	0.0933	NIST	L12055
55.03	Cs	IV	410.773	45.0	0.3	NIST	L12055
55.03	Cs	IV	414.742	17.0	0.1133	NIST	L12055
55.03	Cs	IV	415.138	80.0	0.5333	NIST	L12055
55.03	Cs	IV	416.158	22.0	0.1467	NIST	L12055
55.03	Cs	IV	420.64	20.0	0.1333	NIST	L12055
55.03	Cs	IV	424.113	30.0	0.2	NIST	L12055
55.03	Cs	IV	428.892	10.0	0.0667	NIST	L12055
55.03	Cs	IV	430.219	28.0	0.1867	NIST	L12055
55.03	Cs	IV	435.424	15.0	0.1	NIST	L12055
55.03	Cs	IV	443.784	10.0	0.0667	NIST	L12055
55.03	Cs	IV	479.616	5.0	0.0333	NIST	L12055
55.03	Cs	IV	503.142	15.0	0.1	NIST	L12055
55.03	Cs	IV	506.633	5.0	0.0333	NIST	L8236
55.03	Cs	IV	511.254	23.0	0.1533	NIST	L8236
55.03	Cs	IV	512.728	45.0	0.3	NIST	L8236
55.03	Cs	IV	513.65	30.0	0.2	NIST	L12055
55.03	Cs	IV	525.46	80.0	0.5333	NIST	L12055
55.03	Cs	IV	528.492	50.0	0.3333	NIST	L8236
55.03	Cs	IV	529.76	53.0	0.3533	NIST	L8236
55.03	Cs	IV	532.636	30.0	0.2	NIST	L8236
55.03	Cs	IV	533.992	45.0	0.3	NIST	L8236
55.03	Cs	IV	534.237	56.0	0.3733	NIST	L8236
55.03	Cs	IV	537.884	50.0	0.3333	NIST	L8236
55.03	Cs	IV	538.448	70.0	0.4667	NIST	L8236
55.03	Cs	IV	538.761	45.0	0.3	NIST	L12055
55.03	Cs	IV	539.86	50.0	0.3333	NIST	L8236
55.03	Cs	IV	540.728	25.0	0.1667	NIST	L12055
55.03	Cs	IV	542.07	68.0	0.4533	NIST	L8236
55.03	Cs	IV	547.726	73.0	0.4867	NIST	L8236
55.03	Cs	IV	547.915	70.0	0.4667	NIST	L8236
55.03	Cs	IV	549.616	53.0	0.3533	NIST	L8236
55.03	Cs	IV	550.104	70.0	0.4667	NIST	L8236
55.03	Cs	IV	553.895	75.0	0.5	NIST	L8236
55.03	Cs	IV	555.402	66.0	0.44	NIST	L8236
55.03	Cs	IV	556.664	73.0	0.4867	NIST	L8236
55.03	Cs	IV	557.17	75.0	0.5	NIST	L8236
55.03	Cs	IV	558.16	76.0	0.5067	NIST	L8236
55.03	Cs	IV	559.794	75.0	0.5	NIST	L8236
55.03	Cs	IV	562.561	25.0	0.1667	NIST	L12055
