atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
55.08	Cs	IX	111.429	274.0	0.349	NIST	L12162
55.08	Cs	IX	111.443	254.0	0.3236	NIST	L12162
55.08	Cs	IX	127.052	47.0	0.0599	NIST	L12162
55.08	Cs	IX	127.507	35.0	0.0446	NIST	L12162
55.08	Cs	IX	141.339	68.0	0.0866	NIST	L12162
55.08	Cs	IX	141.634	33.0	0.042	NIST	L12162
55.08	Cs	IX	143.561	492.0	0.6268	NIST	L12162
55.08	Cs	IX	144.277	253.0	0.3223	NIST	L12162
55.08	Cs	IX	145.307	265.0	0.3376	NIST	L12162
55.08	Cs	IX	146.303	37.0	0.0471	NIST	L12162
55.08	Cs	IX	147.112	731.0	0.9312	NIST	L12162
55.08	Cs	IX	149.323	433.0	0.5516	NIST	L12162
55.08	Cs	IX	150.797	270.0	0.3439	NIST	L12162
55.08	Cs	IX	152.232	670.0	0.8535	NIST	L12162
55.08	Cs	IX	152.573	785.0	1.0	NIST	L12162
55.08	Cs	IX	153.546	24.0	0.0306	NIST	L12162
55.08	Cs	IX	153.778	26.0	0.0331	NIST	L12162
55.08	Cs	IX	154.225	576.0	0.7338	NIST	L12162
55.08	Cs	IX	154.365	177.0	0.2255	NIST	L12162
55.08	Cs	IX	155.956	196.0	0.2497	NIST	L12162
55.08	Cs	IX	156.14	48.0	0.0611	NIST	L12162
55.08	Cs	IX	158.386	325.0	0.414	NIST	L12162
55.08	Cs	IX	160.529	11.0	0.014	NIST	L12162
55.08	Cs	IX	160.787	15.0	0.0191	NIST	L12162
55.08	Cs	IX	161.839	65.0	0.0828	NIST	L12162
55.08	Cs	IX	172.236	30.0	0.0382	NIST	L12162
55.08	Cs	IX	172.529	32.0	0.0408	NIST	L12162
55.08	Cs	IX	187.837	39.0	0.0497	NIST	L12162
55.08	Cs	IX	191.606	75.0	0.0955	NIST	L12162
55.08	Cs	IX	194.539	55.0	0.0701	NIST	L12162
55.08	Cs	IX	194.915	61.0	0.0777	NIST	L12162
55.08	Cs	IX	195.039	70.0	0.0892	NIST	L12162
55.08	Cs	IX	196.143	53.0	0.0675	NIST	L12162
55.08	Cs	IX	247.286	72.0	0.0917	NIST	L12162
55.08	Cs	IX	247.896	75.0	0.0955	NIST	L12162
55.08	Cs	IX	274.318	13.0	0.0166	NIST	L12162
55.08	Cs	IX	276.867	19.0	0.0242	NIST	L12162
55.08	Cs	IX	302.314	13.0	0.0166	NIST	L12162
55.08	Cs	IX	324.437	10.0	0.0127	NIST	L12162
55.08	Cs	IX	458.864	395.0	0.5032	NIST	L12162
55.08	Cs	IX	469.5	179.0	0.228	NIST	L12162
55.08	Cs	IX	476.513	187.0	0.2382	NIST	L12162
55.08	Cs	IX	477.806	4.0	0.0051	NIST	L12162
55.08	Cs	IX	502.37	386.0	0.4917	NIST	L12162
55.08	Cs	IX	511.896	200.0	0.2548	NIST	L12162
55.08	Cs	IX	664.454	494.0	0.6293	NIST	L12162
55.08	Cs	IX	781.714	550.0	0.7006	NIST	L12162
55.08	Cs	IX	984.311	5.0	0.0064	NIST	L12162
55.08	Cs	IX	993.969	174.0	0.2217	NIST	L12162
55.08	Cs	IX	1021.539	136.0	0.1732	NIST	L12162
