atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
55.04	Cs	V	446.429	13.0	0.1327	NIST	L11170
55.04	Cs	V	449.919	30.0	0.3061	NIST	L11170
55.04	Cs	V	450.585	17.0	0.1735	NIST	L11170
55.04	Cs	V	453.2	36.0	0.3673	NIST	L11170
55.04	Cs	V	454.308	63.0	0.6429	NIST	L11170
55.04	Cs	V	459.232	78.0	0.7959	NIST	L11170
55.04	Cs	V	460.9	48.0	0.4898	NIST	L11170
55.04	Cs	V	461.608	10.0	0.102	NIST	L11170
55.04	Cs	V	465.508	70.0	0.7143	NIST	L11170
55.04	Cs	V	466.935	25.0	0.2551	NIST	L11170
55.04	Cs	V	472.87	72.0	0.7347	NIST	L11170
55.04	Cs	V	473.747	23.0	0.2347	NIST	L11170
55.04	Cs	V	475.446	30.0	0.3061	NIST	L11170
55.04	Cs	V	478.645	55.0	0.5612	NIST	L11170
55.04	Cs	V	479.011	6.0	0.0612	NIST	L11170
55.04	Cs	V	483.428	58.0	0.5918	NIST	L11170
55.04	Cs	V	483.765	38.0	0.3878	NIST	L11170
55.04	Cs	V	484.554	5.0	0.051	NIST	L11170
55.04	Cs	V	486.881	10.0	0.102	NIST	L11170
55.04	Cs	V	487.323	15.0	0.1531	NIST	L11170
55.04	Cs	V	487.96	58.0	0.5918	NIST	L11170
55.04	Cs	V	491.093	25.0	0.2551	NIST	L11170
55.04	Cs	V	491.48	2.0	0.0204	NIST	L11170
55.04	Cs	V	496.134	72.0	0.7347	NIST	L11170
55.04	Cs	V	496.135	72.0	0.7347	NIST	L11170
55.04	Cs	V	497.163	25.0	0.2551	NIST	L11170
55.04	Cs	V	499.691	70.0	0.7143	NIST	L11170
55.04	Cs	V	501.494	72.0	0.7347	NIST	L11170
55.04	Cs	V	502.298	50.0	0.5102	NIST	L11170
55.04	Cs	V	506.633	52.0	0.5306	NIST	L11170
55.04	Cs	V	509.164	15.0	0.1531	NIST	L11170
55.04	Cs	V	510.189	15.0	0.1531	NIST	L11170
55.04	Cs	V	511.96	72.0	0.7347	NIST	L11170
55.04	Cs	V	512.645	65.0	0.6633	NIST	L11170
55.04	Cs	V	516.024	55.0	0.5612	NIST	L11170
55.04	Cs	V	518.351	54.0	0.551	NIST	L11170
55.04	Cs	V	521.141	70.0	0.7143	NIST	L11170
55.04	Cs	V	521.828	72.0	0.7347	NIST	L11170
55.04	Cs	V	522.741	71.0	0.7245	NIST	L11170
55.04	Cs	V	522.912	73.0	0.7449	NIST	L11170
55.04	Cs	V	523.28	55.0	0.5612	NIST	L11170
55.04	Cs	V	524.35	70.0	0.7143	NIST	L11170
55.04	Cs	V	525.967	5.0	0.051	NIST	L11170
55.04	Cs	V	526.034	75.0	0.7653	NIST	L11170
55.04	Cs	V	526.341	76.0	0.7755	NIST	L11170
55.04	Cs	V	526.359	65.0	0.6633	NIST	L11170
55.04	Cs	V	531.222	71.0	0.7245	NIST	L11170
55.04	Cs	V	532.992	80.0	0.8163	NIST	L11170
55.04	Cs	V	536.658	74.0	0.7551	NIST	L11170
55.04	Cs	V	537.446	66.0	0.6735	NIST	L11170
55.04	Cs	V	537.63	52.0	0.5306	NIST	L11170
55.04	Cs	V	541.467	60.0	0.6122	NIST	L11170
55.04	Cs	V	542.517	75.0	0.7653	NIST	L11170
