atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
29.17	Cu	XVIII	11.774	2.0	0.004	NIST	L1476
29.17	Cu	XVIII	30.019	3.0	0.006	NIST	L819
29.17	Cu	XVIII	30.104	4.0	0.008	NIST	L819
29.17	Cu	XVIII	30.325	5.0	0.01	NIST	L819
29.17	Cu	XVIII	35.238	2.0	0.004	NIST	L819
29.17	Cu	XVIII	35.256	2.0	0.004	NIST	L819
29.17	Cu	XVIII	35.294	3.0	0.006	NIST	L819
29.17	Cu	XVIII	38.876	5.0	0.01	NIST	L819
29.17	Cu	XVIII	40.613	2.0	0.004	NIST	L819
29.17	Cu	XVIII	40.749	5.0	0.01	NIST	L819
29.17	Cu	XVIII	40.769	3.0	0.006	NIST	L819
29.17	Cu	XVIII	41.134	6.0	0.012	NIST	L819
29.17	Cu	XVIII	41.173	3.0	0.006	NIST	L819
29.17	Cu	XVIII	46.781	1.0	0.002	NIST	L819
29.17	Cu	XVIII	47.012	2.0	0.004	NIST	L819
29.17	Cu	XVIII	47.585	3.0	0.006	NIST	L819
29.17	Cu	XVIII	49.452	3.0	0.006	NIST	L819
29.17	Cu	XVIII	49.49	4.0	0.008	NIST	L4434
29.17	Cu	XVIII	49.558	4.0	0.008	NIST	L819
29.17	Cu	XVIII	165.349	10.0	0.02	NIST	L6955
29.17	Cu	XVIII	175.785	5.0	0.01	NIST	L6955
29.17	Cu	XVIII	185.594	50.0	0.1	NIST	L6856
29.17	Cu	XVIII	188.215	200.0	0.4	NIST	L6856
29.17	Cu	XVIII	188.953	20.0	0.04	NIST	L6856
29.17	Cu	XVIII	190.174	20.0	0.04	NIST	L6854
29.17	Cu	XVIII	190.689	2.0	0.004	NIST	L6854
29.17	Cu	XVIII	190.965	10.0	0.02	NIST	L6854
29.17	Cu	XVIII	191.083	3.0	0.006	NIST	L10226
29.17	Cu	XVIII	191.723	30.0	0.06	NIST	L10226
29.17	Cu	XVIII	192.954	50.0	0.1	NIST	L6854
29.17	Cu	XVIII	196.379	200.0	0.4	NIST	L6856
29.17	Cu	XVIII	197.647	10.0	0.02	NIST	L10226
29.17	Cu	XVIII	198.224	10.0	0.02	NIST	L10226
29.17	Cu	XVIII	198.718	100.0	0.2	NIST	L6854
29.17	Cu	XVIII	202.086	30.0	0.06	NIST	L6955
29.17	Cu	XVIII	202.635	50.0	0.1	NIST	L6854
29.17	Cu	XVIII	202.962	5.0	0.01	NIST	L6854
29.17	Cu	XVIII	204.072	30.0	0.06	NIST	L6856
29.17	Cu	XVIII	204.11	200.0	0.4	NIST	L6854
29.17	Cu	XVIII	212.551	2.0	0.004	NIST	L10226
29.17	Cu	XVIII	212.939	10.0	0.02	NIST	L6854
29.17	Cu	XVIII	213.087	5.0	0.01	NIST	L10226
29.17	Cu	XVIII	219.41	10.0	0.02	NIST	L10226
29.17	Cu	XVIII	223.17	20.0	0.04	NIST	L10226
29.17	Cu	XVIII	228.16	2.0	0.004	NIST	L7072
29.17	Cu	XVIII	234.199	500.0	1.0	NIST	L6856
29.17	Cu	XVIII	234.61	10.0	0.02	NIST	L6856
29.17	Cu	XVIII	240.028	10.0	0.02	NIST	L10226
29.17	Cu	XVIII	246.991	10.0	0.02	NIST	L6856
29.17	Cu	XVIII	249.467	100.0	0.2	NIST	L6856
29.17	Cu	XVIII	252.981	10.0	0.02	NIST	L6856
29.17	Cu	XVIII	256.202	3.0	0.006	NIST	L6854
29.17	Cu	XVIII	256.612	2.0	0.004	NIST	L6854
29.17	Cu	XVIII	257.464	2.0	0.004	NIST	L6854
29.17	Cu	XVIII	259.857	2.0	0.004	NIST	L6854
29.17	Cu	XVIII	261.82	3.0	0.006	NIST	L6955
29.17	Cu	XVIII	262.087	5.0	0.01	NIST	L6854
29.17	Cu	XVIII	265.145	10.0	0.02	NIST	L6955
29.17	Cu	XVIII	266.258	20.0	0.04	NIST	L6856
29.17	Cu	XVIII	270.316	10.0	0.02	NIST	L6856
29.17	Cu	XVIII	272.12	30.0	0.06	NIST	L6955
29.17	Cu	XVIII	274.01	5.0	0.01	NIST	L7072
29.17	Cu	XVIII	274.779	1.0	0.002	NIST	L6854
29.17	Cu	XVIII	275.813	3.0	0.006	NIST	L6854
29.17	Cu	XVIII	300.417	10.0	0.02	NIST	L6854
29.17	Cu	XVIII	302.406	1.0	0.002	NIST	L6854
29.17	Cu	XVIII	317.563	5.0	0.01	NIST	L6854
29.17	Cu	XVIII	334.002	1.0	0.002	NIST	L6854
29.17	Cu	XVIII	346.44	2.0	0.004	NIST	L7072
29.17	Cu	XVIII	395.67	4.0	0.008	NIST	L7072
29.17	Cu	XVIII	430.44	2.0	0.004	NIST	L7072
