atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
68.01	Er	II	2358.51	110.0	0.01	NIST	L3475
68.01	Er	II	2386.58	100.0	0.0091	NIST	L3475
68.01	Er	II	2387.17	120.0	0.0109	NIST	L3475
68.01	Er	II	2446.39	140.0	0.0127	NIST	L3475
68.01	Er	II	2537.02	100.0	0.0091	NIST	L3475
68.01	Er	II	2547.28	110.0	0.01	NIST	L3475
68.01	Er	II	2586.73	290.0	0.0264	NIST	L3475
68.01	Er	II	2587.04	110.0	0.01	NIST	L3475
68.01	Er	II	2592.57	130.0	0.0118	NIST	L3475
68.01	Er	II	2595.03	120.0	0.0109	NIST	L3475
68.01	Er	II	2624.18	140.0	0.0127	NIST	L3475
68.01	Er	II	2670.26	490.0	0.0445	NIST	L3475
68.01	Er	II	2672.25	330.0	0.03	NIST	L3475
68.01	Er	II	2675.35	100.0	0.0091	NIST	L3475
68.01	Er	II	2739.31	270.0	0.0245	NIST	L3475
68.01	Er	II	2750.19	310.0	0.0282	NIST	L3475
68.01	Er	II	2755.01	230.0	0.0209	NIST	L3475
68.01	Er	II	2755.63	610.0	0.0555	NIST	L3475
68.01	Er	II	2770.02	510.0	0.0464	NIST	L3475
68.01	Er	II	2778.97	230.0	0.0209	NIST	L3475
68.01	Er	II	2802.53	230.0	0.0209	NIST	L3475
68.01	Er	II	2804.35	310.0	0.0282	NIST	L3475
68.01	Er	II	2820.19	410.0	0.0373	NIST	L3475
68.01	Er	II	2833.91	270.0	0.0245	NIST	L3475
68.01	Er	II	2838.71	390.0	0.0355	NIST	L3475
68.01	Er	II	2848.37	270.0	0.0245	NIST	L3475
68.01	Er	II	2855.41	250.0	0.0227	NIST	L3475
68.01	Er	II	2859.84	310.0	0.0282	NIST	L3475
68.01	Er	II	2896.96	310.0	0.0282	NIST	L3475
68.01	Er	II	2897.52	390.0	0.0355	NIST	L3475
68.01	Er	II	2904.47	1000.0	0.0909	NIST	L3475
68.01	Er	II	2909.58	210.0	0.0191	NIST	L3475
68.01	Er	II	2910.36	1500.0	0.1364	NIST	L3475
68.01	Er	II	2915.62	270.0	0.0245	NIST	L3475
68.01	Er	II	2929.27	350.0	0.0318	NIST	L3475
68.01	Er	II	2945.28	270.0	0.0245	NIST	L3475
68.01	Er	II	2946.62	230.0	0.0209	NIST	L3475
68.01	Er	II	2964.52	1500.0	0.1364	NIST	L3475
68.01	Er	II	2968.76	410.0	0.0373	NIST	L3475
68.01	Er	II	2974.47	210.0	0.0191	NIST	L3475
68.01	Er	II	2975.68	230.0	0.0209	NIST	L3475
68.01	Er	II	2983.8	270.0	0.0245	NIST	L3475
68.01	Er	II	3002.41	1200.0	0.1091	NIST	L3475
68.01	Er	II	3002.65	310.0	0.0282	NIST	L3475
68.01	Er	II	3012.47	230.0	0.0209	NIST	L3475
68.01	Er	II	3016.84	230.0	0.0209	NIST	L3475
68.01	Er	II	3025.95	290.0	0.0264	NIST	L3475
68.01	Er	II	3028.27	270.0	0.0245	NIST	L3475
68.01	Er	II	3031.31	370.0	0.0336	NIST	L3475
68.01	Er	II	3036.22	310.0	0.0282	NIST	L3475
68.01	Er	II	3054.42	210.0	0.0191	NIST	L3475
68.01	Er	II	3066.22	230.0	0.0209	NIST	L3475
68.01	Er	II	3070.74	450.0	0.0409	NIST	L3475
68.01	Er	II	3072.53	560.0	0.0509	NIST	L3475
68.01	Er	II	3073.34	610.0	0.0555	NIST	L3475
68.01	Er	II	3078.87	210.0	0.0191	NIST	L3475
68.01	Er	II	3082.08	720.0	0.0655	NIST	L3475
68.01	Er	II	3084.02	610.0	0.0555	NIST	L3475
68.01	Er	II	3099.19	370.0	0.0336	NIST	L3475
68.01	Er	II	3106.78	230.0	0.0209	NIST	L3475
68.01	Er	II	3113.43	310.0	0.0282	NIST	L3475
68.01	Er	II	3122.72	770.0	0.07	NIST	L3475
68.01	Er	II	3132.52	290.0	0.0264	NIST	L3475
68.01	Er	II	3132.77	470.0	0.0427	NIST	L3475
68.01	Er	II	3141.1	410.0	0.0373	NIST	L3475
68.01	Er	II	3144.33	250.0	0.0227	NIST	L3475
68.01	Er	II	3154.29	410.0	0.0373	NIST	L3475
68.01	Er	II	3181.92	870.0	0.0791	NIST	L3475
68.01	Er	II	3183.42	410.0	0.0373	NIST	L3475
68.01	Er	II	3185.25	250.0	0.0227	NIST	L3475
68.01	Er	II	3200.58	310.0	0.0282	NIST	L3475
68.01	Er	II	3205.15	230.0	0.0209	NIST	L3475
68.01	Er	II	3214.44	270.0	0.0245	NIST	L3475
68.01	Er	II	3220.73	870.0	0.0791	NIST	L3475
68.01	Er	II	3223.31	610.0	0.0555	NIST	L3475
68.01	Er	II	3227.16	210.0	0.0191	NIST	L3475
68.01	Er	II	3230.58	2300.0	0.2091	NIST	L3475
68.01	Er	II	3232.03	250.0	0.0227	NIST	L3475
68.01	Er	II	3237.98	330.0	0.03	NIST	L3475
68.01	Er	II	3249.34	330.0	0.03	NIST	L3475
68.01	Er	II	3259.05	560.0	0.0509	NIST	L3475
68.01	Er	II	3264.78	2700.0	0.2455	NIST	L3475
68.01	Er	II	3267.1	430.0	0.0391	NIST	L3475
68.01	Er	II	3269.41	330.0	0.03	NIST	L3475
68.01	Er	II	3278.22	250.0	0.0227	NIST	L3475
68.01	Er	II	3279.33	720.0	0.0655	NIST	L3475
68.01	Er	II	3280.22	720.0	0.0655	NIST	L3475
68.01	Er	II	3286.77	470.0	0.0427	NIST	L3475
68.01	Er	II	3303.88	330.0	0.03	NIST	L3475
68.01	Er	II	3305.56	370.0	0.0336	NIST	L3475
68.01	Er	II	3312.42	2300.0	0.2091	NIST	L3475
68.01	Er	II	3316.39	560.0	0.0509	NIST	L3475
68.01	Er	II	3323.19	770.0	0.07	NIST	L3475
68.01	Er	II	3329.66	290.0	0.0264	NIST	L3475
68.01	Er	II	3332.7	770.0	0.07	NIST	L3475
68.01	Er	II	3337.25	370.0	0.0336	NIST	L3475
68.01	Er	II	3337.79	290.0	0.0264	NIST	L3475
68.01	Er	II	3340.03	250.0	0.0227	NIST	L3475
68.01	Er	II	3341.84	290.0	0.0264	NIST	L3475
68.01	Er	II	3346.04	1300.0	0.1182	NIST	L3475
68.01	Er	II	3350.06	470.0	0.0427	NIST	L3475
68.01	Er	II	3350.26	350.0	0.0318	NIST	L3475
68.01	Er	II	3364.08	1400.0	0.1273	NIST	L3475
68.01	Er	II	3368.02	1400.0	0.1273	NIST	L3475
68.01	Er	II	3370.55	450.0	0.0409	NIST	L3475
68.01	Er	II	3372.71	7700.0	0.7	NIST	L3475
68.01	Er	II	3374.17	970.0	0.0882	NIST	L3475
68.01	Er	II	3381.32	290.0	0.0264	NIST	L3475
68.01	Er	II	3385.08	1700.0	0.1545	NIST	L3475
68.01	Er	II	3389.74	450.0	0.0409	NIST	L3475
68.01	Er	II	3392.0	2300.0	0.2091	NIST	L3475
68.01	Er	II	3396.07	350.0	0.0318	NIST	L3475
68.01	Er	II	3396.84	290.0	0.0264	NIST	L3475
68.01	Er	II	3401.83	390.0	0.0355	NIST	L3475
68.01	Er	II	3417.63	350.0	0.0318	NIST	L3475
68.01	Er	II	3428.39	490.0	0.0445	NIST	L3475
68.01	Er	II	3441.13	770.0	0.07	NIST	L3475
68.01	Er	II	3471.71	970.0	0.0882	NIST	L3475
68.01	Er	II	3479.41	610.0	0.0555	NIST	L3475
68.01	Er	II	3485.85	970.0	0.0882	NIST	L3475
68.01	Er	II	3486.82	350.0	0.0318	NIST	L3475
68.01	Er	II	3496.86	350.0	0.0318	NIST	L3475
68.01	Er	II	3499.1	6700.0	0.6091	NIST	L3475
68.01	Er	II	3508.38	390.0	0.0355	NIST	L3475
68.01	Er	II	3514.89	490.0	0.0445	NIST	L3475
68.01	Er	II	3518.18	390.0	0.0355	NIST	L3475
68.01	Er	II	3524.91	610.0	0.0555	NIST	L3475
68.01	Er	II	3548.26	310.0	0.0282	NIST	L3475
68.01	Er	II	3549.84	820.0	0.0745	NIST	L3475
68.01	Er	II	3553.2	310.0	0.0282	NIST	L3475
68.01	Er	II	3559.9	1000.0	0.0909	NIST	L3475
68.01	Er	II	3570.75	920.0	0.0836	NIST	L3475
68.01	Er	II	3580.52	1000.0	0.0909	NIST	L3475
68.01	Er	II	3599.5	610.0	0.0555	NIST	L3475
68.01	Er	II	3599.83	1000.0	0.0909	NIST	L3475
68.01	Er	II	3604.9	510.0	0.0464	NIST	L3475
68.01	Er	II	3616.56	3100.0	0.2818	NIST	L3475
68.01	Er	II	3617.85	510.0	0.0464	NIST	L3475
68.01	Er	II	3618.92	510.0	0.0464	NIST	L3475
68.01	Er	II	3633.54	1000.0	0.0909	NIST	L3475
68.01	Er	II	3645.94	900.0	0.0818	NIST	L3475
68.01	Er	II	3650.41	520.0	0.0473	NIST	L3475
