atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
09.00	F	I	780.39	15.0	0.0003	NIST	L7481
09.00	F	I	780.519	10.0	0.0002	NIST	L7481
09.00	F	I	782.378	10.0	0.0002	NIST	L7481
09.00	F	I	791.875	12.0	0.0002	NIST	L7481
09.00	F	I	792.536	10.0	0.0002	NIST	L7481
09.00	F	I	794.417	10.0	0.0002	NIST	L7481
09.00	F	I	806.97	150.0	0.003	NIST	L7481
09.00	F	I	809.607	125.0	0.0025	NIST	L7481
09.00	F	I	951.871	500.0	0.01	NIST	L7481
09.00	F	I	954.825	1000.0	0.02	NIST	L7481
09.00	F	I	955.545	750.0	0.015	NIST	L7481
09.00	F	I	958.524	500.0	0.01	NIST	L7481
09.00	F	I	972.401	20.0	0.0004	NIST	L7481
09.00	F	I	973.895	350.0	0.007	NIST	L7481
09.00	F	I	976.217	100.0	0.002	NIST	L7481
09.00	F	I	976.505	40.0	0.0008	NIST	L7481
09.00	F	I	977.745	100.0	0.002	NIST	L7481
09.00	F	I	3594.103	6.0	0.0001	NIST	L7481
09.00	F	I	3668.174	12.0	0.0002	NIST	L7481
09.00	F	I	3898.478	5.0	0.0001	NIST	L7481
09.00	F	I	3930.689	8.0	0.0002	NIST	L7481
09.00	F	I	3934.262	5.0	0.0001	NIST	L7481
09.00	F	I	3948.563	5.0	0.0001	NIST	L7481
09.00	F	I	4960.65	6.0	0.0001	NIST	L7481
09.00	F	I	5230.41	15.0	0.0003	NIST	L7481
09.00	F	I	5279.01	12.0	0.0002	NIST	L7481
09.00	F	I	5540.52	18.0	0.0004	NIST	L7481
09.00	F	I	5552.43	12.0	0.0002	NIST	L7481
09.00	F	I	5577.33	10.0	0.0002	NIST	L7481
09.00	F	I	5624.06	20.0	0.0004	NIST	L7481
09.00	F	I	5626.93	12.0	0.0002	NIST	L7481
09.00	F	I	5659.15	15.0	0.0003	NIST	L7481
09.00	F	I	5667.532	40.0	0.0008	NIST	L7481
09.00	F	I	5671.668	90.0	0.0018	NIST	L7481
09.00	F	I	5689.14	18.0	0.0004	NIST	L7481
09.00	F	I	5700.82	25.0	0.0005	NIST	L7481
09.00	F	I	5707.31	25.0	0.0005	NIST	L7481
09.00	F	I	5950.147	12.0	0.0002	NIST	L7481
09.00	F	I	5959.187	25.0	0.0005	NIST	L7481
09.00	F	I	5965.28	70.0	0.0014	NIST	L7481
09.00	F	I	5994.425	50.0	0.001	NIST	L7481
09.00	F	I	6015.828	150.0	0.003	NIST	L7481
09.00	F	I	6038.04	80.0	0.0016	NIST	L7481
09.00	F	I	6047.54	900.0	0.018	NIST	L7481
09.00	F	I	6080.113	100.0	0.002	NIST	L7481
09.00	F	I	6149.76	800.0	0.016	NIST	L7481
09.00	F	I	6210.87	400.0	0.008	NIST	L7481
09.00	F	I	6239.651	13000.0	0.26	NIST	L7481
09.00	F	I	6348.508	10000.0	0.2	NIST	L7481
09.00	F	I	6413.651	8000.0	0.16	NIST	L7481
09.00	F	I	6463.5	700.0	0.014	NIST	L7481
09.00	F	I	6569.694	450.0	0.009	NIST	L7481
09.00	F	I	6580.389	300.0	0.006	NIST	L7481
09.00	F	I	6650.405	400.0	0.008	NIST	L7481
09.00	F	I	6690.481	1800.0	0.036	NIST	L7481
09.00	F	I	6708.282	400.0	0.008	NIST	L7481
09.00	F	I	6773.984	7000.0	0.14	NIST	L7481
09.00	F	I	6795.528	1500.0	0.03	NIST	L7481
09.00	F	I	6834.264	9000.0	0.18	NIST	L7481
09.00	F	I	6856.03	50000.0	1.0	NIST	L7481
09.00	F	I	6870.215	8000.0	0.16	NIST	L7481
09.00	F	I	6902.475	15000.0	0.3	NIST	L7481
09.00	F	I	6909.816	6000.0	0.12	NIST	L7481
09.00	F	I	6966.349	4000.0	0.08	NIST	L7481
09.00	F	I	7037.469	45000.0	0.9	NIST	L7481
09.00	F	I	7127.89	30000.0	0.6	NIST	L7481
09.00	F	I	7202.36	15000.0	0.3	NIST	L7481
09.00	F	I	7298.98	1500.0	0.03	NIST	L7481
09.00	F	I	7309.033	1000.0	0.02	NIST	L7481
09.00	F	I	7311.019	15000.0	0.3	NIST	L7481
09.00	F	I	7314.303	700.0	0.014	NIST	L7481
09.00	F	I	7331.957	5000.0	0.1	NIST	L7481
09.00	F	I	7398.688	10000.0	0.2	NIST	L7481
09.00	F	I	7425.645	4000.0	0.08	NIST	L7481
09.00	F	I	7476.54	700.0	0.014	NIST	L7481
09.00	F	I	7482.723	2200.0	0.044	NIST	L7481
09.00	F	I	7489.155	2500.0	0.05	NIST	L7481
09.00	F	I	7514.919	900.0	0.018	NIST	L7481
09.00	F	I	7552.235	5000.0	0.1	NIST	L7481
09.00	F	I	7573.384	5000.0	0.1	NIST	L7481
09.00	F	I	7607.17	7000.0	0.14	NIST	L7481
09.00	F	I	7754.696	18000.0	0.36	NIST	L7481
09.00	F	I	7800.22	15000.0	0.3	NIST	L9692
09.00	F	I	7822.59	800.0	0.016	NIST	L7481
09.00	F	I	7879.18	300.0	0.006	NIST	L7481
09.00	F	I	7898.588	500.0	0.01	NIST	L7481
09.00	F	I	7930.93	2200.0	0.044	NIST	L7481
09.00	F	I	7936.314	350.0	0.007	NIST	L7481
09.00	F	I	7954.09	600.0	0.012	NIST	L7481
09.00	F	I	7956.32	300.0	0.006	NIST	L7481
09.00	F	I	8040.931	1000.0	0.02	NIST	L7481
09.00	F	I	8075.519	900.0	0.018	NIST	L7481
09.00	F	I	8077.521	350.0	0.007	NIST	L7481
09.00	F	I	8126.56	350.0	0.007	NIST	L7481
09.00	F	I	8129.26	600.0	0.012	NIST	L7481
09.00	F	I	8159.51	300.0	0.006	NIST	L7481
09.00	F	I	8179.339	600.0	0.012	NIST	L7481
09.00	F	I	8191.241	300.0	0.006	NIST	L7481
09.00	F	I	8197.734	600.0	0.012	NIST	L7481
09.00	F	I	8208.634	350.0	0.007	NIST	L7481
09.00	F	I	8214.726	2500.0	0.05	NIST	L7481
09.00	F	I	8230.773	3000.0	0.06	NIST	L7481
09.00	F	I	8232.19	500.0	0.01	NIST	L7481
09.00	F	I	8274.615	1500.0	0.03	NIST	L7481
09.00	F	I	8298.581	2000.0	0.04	NIST	L7481
09.00	F	I	8302.4	600.0	0.012	NIST	L7481
09.00	F	I	8345.556	1200.0	0.024	NIST	L7481
09.00	F	I	8604.47	14.0	0.0003	NIST	L7481
09.00	F	I	8672.62	350.0	0.007	NIST	L7481
09.00	F	I	8737.27	1400.0	0.028	NIST	L7481
09.00	F	I	8766.61	100.0	0.002	NIST	L7481
09.00	F	I	8777.73	1200.0	0.024	NIST	L7481
09.00	F	I	8799.36	700.0	0.014	NIST	L7481
09.00	F	I	8807.582	900.0	0.018	NIST	L7481
09.00	F	I	8831.232	1000.0	0.02	NIST	L7481
09.00	F	I	8844.502	1200.0	0.024	NIST	L7481
09.00	F	I	8849.06	700.0	0.014	NIST	L7481
09.00	F	I	8900.92	1000.0	0.02	NIST	L7481
09.00	F	I	8910.27	1400.0	0.028	NIST	L7481
09.00	F	I	8912.78	300.0	0.006	NIST	L7481
09.00	F	I	8914.43	70.0	0.0014	NIST	L7481
09.00	F	I	8916.89	20.0	0.0004	NIST	L7481
09.00	F	I	8963.66	40.0	0.0008	NIST	L7481
09.00	F	I	8981.18	125.0	0.0025	NIST	L7481
09.00	F	I	8983.65	35.0	0.0007	NIST	L7481
09.00	F	I	9006.19	500.0	0.01	NIST	L7481
09.00	F	I	9016.85	300.0	0.006	NIST	L20603
09.00	F	I	9025.49	350.0	0.007	NIST	L7481
09.00	F	I	9042.1	400.0	0.008	NIST	L7481
09.00	F	I	9102.33	500.0	0.01	NIST	L7481
09.00	F	I	9151.78	1800.0	0.036	NIST	L7481
09.00	F	I	9178.68	350.0	0.007	NIST	L7481
09.00	F	I	9232.85	60.0	0.0012	NIST	L7481
09.00	F	I	9235.38	500.0	0.01	NIST	L7481
09.00	F	I	9244.57	150.0	0.003	NIST	L7481
09.00	F	I	9314.34	600.0	0.012	NIST	L7481
09.00	F	I	9384.96	400.0	0.008	NIST	L7481
09.00	F	I	9433.67	200.0	0.004	NIST	L7481
09.00	F	I	9505.3	25.0	0.0005	NIST	L7481
