atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
09.01	F	II	375.3	30.0	0.1111	NIST	L369
09.01	F	II	380.9	30.0	0.1111	NIST	L369
09.01	F	II	407.04	40.0	0.1481	NIST	L369
09.01	F	II	430.91	50.0	0.1852	NIST	L369
09.01	F	II	431.55	40.0	0.1481	NIST	L369
09.01	F	II	435.64	40.0	0.1481	NIST	L369
09.01	F	II	457.18	70.0	0.2593	NIST	L369
09.01	F	II	471.95	40.0	0.1481	NIST	L369
09.01	F	II	472.0	60.0	0.2222	NIST	L369
09.01	F	II	472.71	50.0	0.1852	NIST	L369
09.01	F	II	473.02	40.0	0.1481	NIST	L369
09.01	F	II	484.6	90.0	0.3333	NIST	L369
09.01	F	II	513.64	50.0	0.1852	NIST	L369
09.01	F	II	514.94	70.0	0.2593	NIST	L369
09.01	F	II	546.85	70.0	0.2593	NIST	L369
09.01	F	II	547.87	60.0	0.2222	NIST	L369
09.01	F	II	548.32	50.0	0.1852	NIST	L369
09.01	F	II	548.52	40.0	0.1481	NIST	L369
09.01	F	II	605.67	90.0	0.3333	NIST	L369
09.01	F	II	606.29	80.0	0.2963	NIST	L369
09.01	F	II	606.8	100.0	0.3704	NIST	L369
09.01	F	II	606.92	70.0	0.2593	NIST	L369
09.01	F	II	607.47	80.0	0.2963	NIST	L369
09.01	F	II	608.06	90.0	0.3333	NIST	L369
09.01	F	II	1129.76	40.0	0.1481	NIST	L369
09.01	F	II	1327.06	40.0	0.1481	NIST	L369
09.01	F	II	1328.11	50.0	0.1852	NIST	L369
09.01	F	II	1333.59	40.0	0.1481	NIST	L369
09.01	F	II	1343.6	50.0	0.1852	NIST	L369
09.01	F	II	1344.04	40.0	0.1481	NIST	L369
09.01	F	II	1400.61	50.0	0.1852	NIST	L369
09.01	F	II	1407.14	40.0	0.1481	NIST	L369
09.01	F	II	1493.09	60.0	0.2222	NIST	L369
09.01	F	II	1493.24	50.0	0.1852	NIST	L369
09.01	F	II	1493.31	40.0	0.1481	NIST	L369
09.01	F	II	1702.13	40.0	0.1481	NIST	L369
09.01	F	II	1744.75	40.0	0.1481	NIST	L369
09.01	F	II	1745.55	50.0	0.1852	NIST	L369
09.01	F	II	1747.39	60.0	0.2222	NIST	L369
09.01	F	II	2556.11	100.0	0.3704	NIST	L369
09.01	F	II	2871.4	100.0	0.3704	NIST	L369
09.01	F	II	3059.99	120.0	0.4444	NIST	L369
09.01	F	II	3153.49	140.0	0.5185	NIST	L369
09.01	F	II	3202.76	170.0	0.6296	NIST	L369
09.01	F	II	3264.08	140.0	0.5185	NIST	L369
09.01	F	II	3414.65	140.0	0.5185	NIST	L369
09.01	F	II	3416.45	150.0	0.5556	NIST	L369
09.01	F	II	3416.8	140.0	0.5185	NIST	L369
09.01	F	II	3417.0	160.0	0.5926	NIST	L369
09.01	F	II	3472.96	160.0	0.5926	NIST	L369
09.01	F	II	3473.31	150.0	0.5556	NIST	L369
09.01	F	II	3474.78	170.0	0.6296	NIST	L369
09.01	F	II	3501.39	190.0	0.7037	NIST	L369
09.01	F	II	3501.45	200.0	0.7407	NIST	L369
09.01	F	II	3501.57	200.0	0.7407	NIST	L369
09.01	F	II	3502.84	180.0	0.6667	NIST	L369
09.01	F	II	3502.96	200.0	0.7407	NIST	L369
09.01	F	II	3503.11	210.0	0.7778	NIST	L369
09.01	F	II	3505.37	170.0	0.6296	NIST	L369
09.01	F	II	3505.52	200.0	0.7407	NIST	L369
09.01	F	II	3505.63	220.0	0.8148	NIST	L369
09.01	F	II	3522.89	160.0	0.5926	NIST	L369
09.01	F	II	3536.87	150.0	0.5556	NIST	L369
09.01	F	II	3541.77	160.0	0.5926	NIST	L369
09.01	F	II	3590.52	160.0	0.5926	NIST	L369
09.01	F	II	3598.69	170.0	0.6296	NIST	L369
09.01	F	II	3601.39	180.0	0.6667	NIST	L369
09.01	F	II	3602.84	190.0	0.7037	NIST	L369
09.01	F	II	3704.53	180.0	0.6667	NIST	L369
09.01	F	II	3710.35	160.0	0.5926	NIST	L369
09.01	F	II	3739.57	160.0	0.5926	NIST	L369
09.01	F	II	3805.83	140.0	0.5185	NIST	L369
09.01	F	II	3847.09	270.0	1.0	NIST	L369
09.01	F	II	3849.99	260.0	0.963	NIST	L369
09.01	F	II	3851.67	250.0	0.9259	NIST	L369
09.01	F	II	3898.83	190.0	0.7037	NIST	L369
09.01	F	II	3901.93	180.0	0.6667	NIST	L369
09.01	F	II	3903.82	170.0	0.6296	NIST	L369
09.01	F	II	3972.04	150.0	0.5556	NIST	L369
09.01	F	II	3972.67	160.0	0.5926	NIST	L369
09.01	F	II	3974.78	170.0	0.6296	NIST	L369
09.01	F	II	4024.73	240.0	0.8889	NIST	L369
09.01	F	II	4025.01	220.0	0.8148	NIST	L369
09.01	F	II	4025.49	230.0	0.8519	NIST	L369
09.01	F	II	4083.91	160.0	0.5926	NIST	L369
09.01	F	II	4103.07	190.0	0.7037	NIST	L369
09.01	F	II	4103.22	170.0	0.6296	NIST	L369
09.01	F	II	4103.51	200.0	0.7407	NIST	L369
09.01	F	II	4103.71	180.0	0.6667	NIST	L369
09.01	F	II	4103.87	170.0	0.6296	NIST	L369
09.01	F	II	4109.16	170.0	0.6296	NIST	L369
09.01	F	II	4116.54	160.0	0.5926	NIST	L369
09.01	F	II	4119.21	150.0	0.5556	NIST	L369
09.01	F	II	4207.15	140.0	0.5185	NIST	L369
09.01	F	II	4225.16	170.0	0.6296	NIST	L369
09.01	F	II	4244.12	150.0	0.5556	NIST	L369
09.01	F	II	4246.23	200.0	0.7407	NIST	L369
09.01	F	II	4246.39	190.0	0.7037	NIST	L369
09.01	F	II	4246.59	180.0	0.6667	NIST	L369
09.01	F	II	4246.77	170.0	0.6296	NIST	L369
09.01	F	II	4246.84	160.0	0.5926	NIST	L369
09.01	F	II	4275.36	170.0	0.6296	NIST	L369
09.01	F	II	4277.53	160.0	0.5926	NIST	L369
09.01	F	II	4278.93	160.0	0.5926	NIST	L369
09.01	F	II	4299.17	200.0	0.7407	NIST	L369
09.01	F	II	4446.53	160.0	0.5926	NIST	L369
09.01	F	II	4446.72	170.0	0.6296	NIST	L369
09.01	F	II	4447.19	180.0	0.6667	NIST	L369
09.01	F	II	4734.38	140.0	0.5185	NIST	L369
09.01	F	II	4859.39	170.0	0.6296	NIST	L369
09.01	F	II	4933.26	160.0	0.5926	NIST	L369
09.01	F	II	5002.0	140.0	0.5185	NIST	L369
09.01	F	II	5173.25	150.0	0.5556	NIST	L369
09.01	F	II	5589.27	160.0	0.5926	NIST	L369
09.01	F	II	6247.9	140.0	0.5185	NIST	L369
09.01	F	II	7179.9	130.0	0.4815	NIST	L369
09.01	F	II	7211.79	130.0	0.4815	NIST	L369
09.01	F	II	8016.01	80.0	0.2963	NIST	L369
09.01	F	II	10047.98	80.0	0.2963	NIST	L369
