atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
26.01	Fe	II	899.916	1300.0	0.0007	NIST	L18349c140
26.01	Fe	II	923.878	8000.0	0.0044	NIST	L18349c140
26.01	Fe	II	926.204	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	926.898	4000.0	0.0022	NIST	L18349c140
26.01	Fe	II	927.172	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	928.11	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	928.469	4000.0	0.0022	NIST	L18349c140
26.01	Fe	II	929.523	7000.0	0.0039	NIST	L18349c140
26.01	Fe	II	929.612	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	930.023	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	930.152	5000.0	0.0028	NIST	L18349c140
26.01	Fe	II	930.214	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	930.554	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	931.142	2300.0	0.0013	NIST	L18349c140
26.01	Fe	II	932.052	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	932.244	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	932.67	6000.0	0.0033	NIST	L18349c140
26.01	Fe	II	932.707	8000.0	0.0044	NIST	L18349c140
26.01	Fe	II	934.701	1600.0	0.0009	NIST	L18349c140
26.01	Fe	II	935.517	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	937.651	9000.0	0.005	NIST	L18349c140
26.01	Fe	II	940.193	2000.0	0.0011	NIST	L18349c140
26.01	Fe	II	941.264	11000.0	0.0061	NIST	L18349c140
26.01	Fe	II	945.086	11000.0	0.0061	NIST	L18349c140
26.01	Fe	II	945.808	6000.0	0.0033	NIST	L18349c140
26.01	Fe	II	950.337	10000.0	0.0056	NIST	L18349c140
26.01	Fe	II	952.808	2100.0	0.0012	NIST	L18349c140
26.01	Fe	II	961.117	5000.0	0.0028	NIST	L18349c140
26.01	Fe	II	963.025	3500.0	0.0019	NIST	L18349c140
26.01	Fe	II	978.366	8000.0	0.0044	NIST	L18349c140
26.01	Fe	II	981.37	17000.0	0.0094	NIST	L18349c140
26.01	Fe	II	984.76	7000.0	0.0039	NIST	L18349c140
26.01	Fe	II	989.661	3000.0	0.0017	NIST	L18349c140
26.01	Fe	II	989.803	18000.0	0.01	NIST	L18349c140
26.01	Fe	II	989.894	18000.0	0.01	NIST	L18349c140
26.01	Fe	II	990.004	11000.0	0.0061	NIST	L18349c140
26.01	Fe	II	990.315	2100.0	0.0012	NIST	L18349c140
26.01	Fe	II	990.801	17000.0	0.0094	NIST	L18349c140
26.01	Fe	II	990.856	14000.0	0.0078	NIST	L18349c140
26.01	Fe	II	991.108	1700.0	0.0009	NIST	L18349c140
26.01	Fe	II	991.34	2300.0	0.0013	NIST	L18349c140
26.01	Fe	II	991.579	20000.0	0.0111	NIST	L18349c140
26.01	Fe	II	991.69	2200.0	0.0012	NIST	L18349c140
26.01	Fe	II	991.829	8000.0	0.0044	NIST	L18349c140
26.01	Fe	II	994.224	16000.0	0.0089	NIST	L18349c140
26.01	Fe	II	994.348	3000.0	0.0017	NIST	L18349c140
26.01	Fe	II	994.41	2200.0	0.0012	NIST	L18349c140
