atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
26.16	Fe	XVII	10.123	2.0	0.02	NIST	L4008
26.16	Fe	XVII	10.221	1.0	0.01	NIST	L4008
26.16	Fe	XVII	10.32	2.0	0.02	NIST	L4008
26.16	Fe	XVII	10.386	1.0	0.01	NIST	L4008
26.16	Fe	XVII	10.5	3.0	0.03	NIST	L4008
26.16	Fe	XVII	10.55	2.0	0.02	NIST	L4008
26.16	Fe	XVII	10.658	3.0	0.03	NIST	L5090
26.16	Fe	XVII	10.77	6.0	0.06	NIST	L5090
26.16	Fe	XVII	10.851	1.0	0.01	NIST	L4008
26.16	Fe	XVII	11.133	8.0	0.08	NIST	L5090
26.16	Fe	XVII	11.253	7.0	0.07	NIST	L5090
26.16	Fe	XVII	11.287	2.0	0.02	NIST	L5090
26.16	Fe	XVII	11.42	3.0	0.03	NIST	L4008
26.16	Fe	XVII	204.6	2.0	0.02	NIST	L6712
26.16	Fe	XVII	254.48	25.0	0.25	NIST	L6712
26.16	Fe	XVII	254.75	25.0	0.25	NIST	L6712
26.16	Fe	XVII	266.43	25.0	0.25	NIST	L6712
26.16	Fe	XVII	275.6	25.0	0.25	NIST	L6712
26.16	Fe	XVII	280.2	85.0	0.85	NIST	L6712
26.16	Fe	XVII	281.11	25.0	0.25	NIST	L6712
26.16	Fe	XVII	284.01	100.0	1.0	NIST	L6712
26.16	Fe	XVII	304.93	30.0	0.3	NIST	L6712
26.16	Fe	XVII	323.65	35.0	0.35	NIST	L6712
26.16	Fe	XVII	340.47	45.0	0.45	NIST	L6712
26.16	Fe	XVII	347.96	35.0	0.35	NIST	L6712
26.16	Fe	XVII	350.58	100.0	1.0	NIST	L6712
26.16	Fe	XVII	351.69	8.0	0.08	NIST	L6712
26.16	Fe	XVII	358.32	20.0	0.2	NIST	L6712
26.16	Fe	XVII	367.37	25.0	0.25	NIST	L6712
26.16	Fe	XVII	373.41	25.0	0.25	NIST	L6338
26.16	Fe	XVII	387.36	10.0	0.1	NIST	L6712
26.16	Fe	XVII	389.25	20.0	0.2	NIST	L6712
26.16	Fe	XVII	409.91	10.0	0.1	NIST	L6712
26.16	Fe	XVII	437.3	2.0	0.02	NIST	L6712
