atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
31.02	Ga	III	434.06	1.0	0.0038	NIST	L12180
31.02	Ga	III	434.313	5.0	0.0192	NIST	L12180
31.02	Ga	III	445.816	15.0	0.0577	NIST	L12180
31.02	Ga	III	452.772	1.0	0.0038	NIST	L12180
31.02	Ga	III	459.159	2.0	0.0077	NIST	L12180
31.02	Ga	III	461.937	9.0	0.0346	NIST	L12180
31.02	Ga	III	463.115	27.0	0.1038	NIST	L12180
31.02	Ga	III	465.634	60.0	0.2308	NIST	L12180
31.02	Ga	III	466.686	7.0	0.0269	NIST	L12180
31.02	Ga	III	466.83	13.0	0.05	NIST	L12180
31.02	Ga	III	467.817	50.0	0.1923	NIST	L12180
31.02	Ga	III	467.867	40.0	0.1538	NIST	L12180
31.02	Ga	III	469.51	4.0	0.0154	NIST	L12180
31.02	Ga	III	470.451	30.0	0.1154	NIST	L12180
31.02	Ga	III	471.47	6.0	0.0231	NIST	L12180
31.02	Ga	III	472.16	9.0	0.0346	NIST	L12180
31.02	Ga	III	473.328	10.0	0.0385	NIST	L12180
31.02	Ga	III	478.084	6.0	0.0231	NIST	L12180
31.02	Ga	III	486.894	3.0	0.0115	NIST	L12180
31.02	Ga	III	489.2	1.0	0.0038	NIST	L12180
31.02	Ga	III	492.367	3.0	0.0115	NIST	L12180
31.02	Ga	III	493.355	30.0	0.1154	NIST	L12180
31.02	Ga	III	495.819	22.0	0.0846	NIST	L12180
31.02	Ga	III	498.4	12.0	0.0462	NIST	L12180
31.02	Ga	III	500.079	40.0	0.1538	NIST	L12180
31.02	Ga	III	502.712	4.0	0.0154	NIST	L12180
31.02	Ga	III	505.61	1.0	0.0038	NIST	L12180
31.02	Ga	III	507.553	2.0	0.0077	NIST	L12180
31.02	Ga	III	509.364	20.0	0.0769	NIST	L12180
31.02	Ga	III	511.132	170.0	0.6538	NIST	L12180
31.02	Ga	III	512.671	1.0	0.0038	NIST	L12180
31.02	Ga	III	531.087	30.0	0.1154	NIST	L12180
31.02	Ga	III	535.89	80.0	0.3077	NIST	L12180
31.02	Ga	III	619.94	3.0	0.0115	NIST	L12180
31.02	Ga	III	622.024	3.0	0.0115	NIST	L12180
31.02	Ga	III	698.485	1.0	0.0038	NIST	L12180
31.02	Ga	III	806.328	3.0	0.0115	NIST	L12180
31.02	Ga	III	817.018	2.0	0.0077	NIST	L12180
31.02	Ga	III	817.239	3.0	0.0115	NIST	L12180
31.02	Ga	III	817.659	2.0	0.0077	NIST	L12180
31.02	Ga	III	828.651	2.0	0.0077	NIST	L12180
31.02	Ga	III	1064.811	5.0	0.0192	NIST	L12180
31.02	Ga	III	1090.514	3.0	0.0115	NIST	L12180
31.02	Ga	III	1106.106	90.0	0.3462	NIST	L12180
31.02	Ga	III	1110.59	3.0	0.0115	NIST	L12180
31.02	Ga	III	1118.079	2.0	0.0077	NIST	L12180
31.02	Ga	III	1133.878	4.0	0.0154	NIST	L12180
31.02	Ga	III	1144.219	5.0	0.0192	NIST	L12180
31.02	Ga	III	1145.687	4.0	0.0154	NIST	L12180
31.02	Ga	III	1149.987	3.0	0.0115	NIST	L12180
31.02	Ga	III	1155.6	2.0	0.0077	NIST	L12180
31.02	Ga	III	1163.701	4.0	0.0154	NIST	L12180
31.02	Ga	III	1192.068	2.0	0.0077	NIST	L12180
31.02	Ga	III	1199.552	35.0	0.1346	NIST	L12180
