atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
31.03	Ga	IV	233.102	6.0	0.006	NIST	L12180
31.03	Ga	IV	234.824	4.0	0.004	NIST	L12180
31.03	Ga	IV	248.536	40.0	0.04	NIST	L12180
31.03	Ga	IV	250.672	30.0	0.03	NIST	L12180
31.03	Ga	IV	251.229	10.0	0.01	NIST	L12180
31.03	Ga	IV	266.749	6.0	0.006	NIST	L12180
31.03	Ga	IV	267.506	60.0	0.06	NIST	L12180
31.03	Ga	IV	269.936	40.0	0.04	NIST	L12180
31.03	Ga	IV	308.123	2.0	0.002	NIST	L12180
31.03	Ga	IV	312.999	14.0	0.014	NIST	L12180
31.03	Ga	IV	315.612	8.0	0.008	NIST	L12180
31.03	Ga	IV	319.232	9.0	0.009	NIST	L12180
31.03	Ga	IV	319.749	2.0	0.002	NIST	L12180
31.03	Ga	IV	320.769	8.0	0.008	NIST	L12180
31.03	Ga	IV	321.403	2.0	0.002	NIST	L12180
31.03	Ga	IV	322.235	10.0	0.01	NIST	L12180
31.03	Ga	IV	324.465	3.0	0.003	NIST	L12180
31.03	Ga	IV	325.5	2.0	0.002	NIST	L12180
31.03	Ga	IV	326.302	7.0	0.007	NIST	L12180
31.03	Ga	IV	334.16	6.0	0.006	NIST	L12180
31.03	Ga	IV	334.233	6.0	0.006	NIST	L12180
31.03	Ga	IV	335.792	13.0	0.013	NIST	L12180
31.03	Ga	IV	335.969	7.0	0.007	NIST	L12180
31.03	Ga	IV	336.135	1.0	0.001	NIST	L12180
31.03	Ga	IV	336.245	5.0	0.005	NIST	L12180
31.03	Ga	IV	336.616	12.0	0.012	NIST	L12180
31.03	Ga	IV	336.766	19.0	0.019	NIST	L12180
31.03	Ga	IV	337.786	3.0	0.003	NIST	L12180
31.03	Ga	IV	337.897	14.0	0.014	NIST	L12180
31.03	Ga	IV	338.379	15.0	0.015	NIST	L12180
31.03	Ga	IV	338.462	19.0	0.019	NIST	L12180
31.03	Ga	IV	339.49	19.0	0.019	NIST	L12180
31.03	Ga	IV	340.334	11.0	0.011	NIST	L12180
31.03	Ga	IV	340.852	3.0	0.003	NIST	L12180
31.03	Ga	IV	340.922	4.0	0.004	NIST	L12180
31.03	Ga	IV	341.175	16.0	0.016	NIST	L12180
31.03	Ga	IV	341.593	1.0	0.001	NIST	L12180
31.03	Ga	IV	341.637	2.0	0.002	NIST	L12180
31.03	Ga	IV	342.049	1.0	0.001	NIST	L12180
31.03	Ga	IV	342.638	19.0	0.019	NIST	L12180
31.03	Ga	IV	343.347	9.0	0.009	NIST	L12180
31.03	Ga	IV	343.645	1.0	0.001	NIST	L12180
31.03	Ga	IV	343.77	4.0	0.004	NIST	L12180
31.03	Ga	IV	344.027	4.0	0.004	NIST	L12180
31.03	Ga	IV	344.119	11.0	0.011	NIST	L12180
31.03	Ga	IV	344.549	16.0	0.016	NIST	L12180
31.03	Ga	IV	345.709	12.0	0.012	NIST	L12180
31.03	Ga	IV	345.755	5.0	0.005	NIST	L12180
31.03	Ga	IV	345.849	4.0	0.004	NIST	L12180
31.03	Ga	IV	346.715	13.0	0.013	NIST	L12180
31.03	Ga	IV	346.894	20.0	0.02	NIST	L12180
31.03	Ga	IV	347.161	1.0	0.001	NIST	L12180
31.03	Ga	IV	347.663	10.0	0.01	NIST	L12180
31.03	Ga	IV	348.048	21.0	0.021	NIST	L12180
31.03	Ga	IV	348.257	4.0	0.004	NIST	L12180
31.03	Ga	IV	348.656	7.0	0.007	NIST	L12180
31.03	Ga	IV	349.282	6.0	0.006	NIST	L12180
31.03	Ga	IV	349.408	1.0	0.001	NIST	L12180
31.03	Ga	IV	349.767	14.0	0.014	NIST	L12180
31.03	Ga	IV	350.618	1.0	0.001	NIST	L12180
31.03	Ga	IV	351.248	1.0	0.001	NIST	L12180
31.03	Ga	IV	351.785	5.0	0.005	NIST	L12180
31.03	Ga	IV	351.859	1.0	0.001	NIST	L12180
31.03	Ga	IV	352.005	4.0	0.004	NIST	L12180
31.03	Ga	IV	352.266	6.0	0.006	NIST	L12180
31.03	Ga	IV	353.597	1.0	0.001	NIST	L12180
31.03	Ga	IV	354.054	23.0	0.023	NIST	L12180
31.03	Ga	IV	354.756	4.0	0.004	NIST	L12180
31.03	Ga	IV	354.812	23.0	0.023	NIST	L12180
31.03	Ga	IV	354.955	13.0	0.013	NIST	L12180
31.03	Ga	IV	355.074	2.0	0.002	NIST	L12180
31.03	Ga	IV	356.704	4.0	0.004	NIST	L12180
31.03	Ga	IV	356.795	19.0	0.019	NIST	L12180
31.03	Ga	IV	357.461	4.0	0.004	NIST	L12180
31.03	Ga	IV	357.509	17.0	0.017	NIST	L12180
31.03	Ga	IV	357.752	15.0	0.015	NIST	L12180
31.03	Ga	IV	358.656	1.0	0.001	NIST	L12180
31.03	Ga	IV	358.787	3.0	0.003	NIST	L12180
31.03	Ga	IV	359.266	4.0	0.004	NIST	L12180
31.03	Ga	IV	359.514	1.0	0.001	NIST	L12180
31.03	Ga	IV	360.039	1.0	0.001	NIST	L12180
31.03	Ga	IV	360.239	17.0	0.017	NIST	L12180
31.03	Ga	IV	361.3	13.0	0.013	NIST	L12180
31.03	Ga	IV	361.451	8.0	0.008	NIST	L12180
31.03	Ga	IV	362.201	5.0	0.005	NIST	L12180
31.03	Ga	IV	362.266	13.0	0.013	NIST	L12180
31.03	Ga	IV	362.412	2.0	0.002	NIST	L12180
31.03	Ga	IV	362.505	2.0	0.002	NIST	L12180
31.03	Ga	IV	362.658	8.0	0.008	NIST	L12180
