atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
64.00	Gd	I	2778.76	45.0	0.0094	NIST	L3475
64.00	Gd	I	2787.68	70.0	0.0146	NIST	L3475
64.00	Gd	I	2952.43	35.0	0.0073	NIST	L3475
64.00	Gd	I	3043.01	130.0	0.0271	NIST	L3475
64.00	Gd	I	3046.48	160.0	0.0333	NIST	L3475
64.00	Gd	I	3059.92	100.0	0.0208	NIST	L3475
64.00	Gd	I	3111.19	170.0	0.0354	NIST	L3475
64.00	Gd	I	3119.01	120.0	0.025	NIST	L3475
64.00	Gd	I	3136.93	190.0	0.0396	NIST	L3475
64.00	Gd	I	3137.3	190.0	0.0396	NIST	L3475
64.00	Gd	I	3138.71	120.0	0.025	NIST	L3475
64.00	Gd	I	3158.63	200.0	0.0417	NIST	L3475
64.00	Gd	I	3190.28	220.0	0.0458	NIST	L3475
64.00	Gd	I	3199.3	220.0	0.0458	NIST	L3475
64.00	Gd	I	3199.58	160.0	0.0333	NIST	L3475
64.00	Gd	I	3203.41	110.0	0.0229	NIST	L3475
64.00	Gd	I	3232.78	220.0	0.0458	NIST	L3475
64.00	Gd	I	3266.73	540.0	0.1125	NIST	L3475
64.00	Gd	I	3267.64	250.0	0.0521	NIST	L3475
64.00	Gd	I	3282.25	250.0	0.0521	NIST	L3475
64.00	Gd	I	3291.48	430.0	0.0896	NIST	L3475
64.00	Gd	I	3294.08	430.0	0.0896	NIST	L3475
64.00	Gd	I	3357.61	220.0	0.0458	NIST	L3475
64.00	Gd	I	3397.22	220.0	0.0458	NIST	L3475
64.00	Gd	I	3406.92	200.0	0.0417	NIST	L3475
64.00	Gd	I	3411.02	220.0	0.0458	NIST	L3475
64.00	Gd	I	3423.9	1100.0	0.2292	NIST	L3475
64.00	Gd	I	3455.27	200.0	0.0417	NIST	L3475
64.00	Gd	I	3486.2	220.0	0.0458	NIST	L3475
64.00	Gd	I	3513.65	830.0	0.1729	NIST	L3475
64.00	Gd	I	3604.87	1100.0	0.2292	NIST	L3475
64.00	Gd	I	3658.19	210.0	0.0437	NIST	L3475
64.00	Gd	I	3674.05	1000.0	0.2083	NIST	L3475
64.00	Gd	I	3679.21	350.0	0.0729	NIST	L3475
64.00	Gd	I	3684.13	2000.0	0.4167	NIST	L3475
64.00	Gd	I	3713.57	2000.0	0.4167	NIST	L3475
64.00	Gd	I	3717.48	2000.0	0.4167	NIST	L3475
64.00	Gd	I	3732.32	270.0	0.0563	NIST	L3475
64.00	Gd	I	3732.67	230.0	0.0479	NIST	L3475
64.00	Gd	I	3739.76	490.0	0.1021	NIST	L3475
64.00	Gd	I	3744.83	620.0	0.1292	NIST	L3475
64.00	Gd	I	3757.94	1000.0	0.2083	NIST	L3475
64.00	Gd	I	3762.2	870.0	0.1812	NIST	L3475
64.00	Gd	I	3771.26	250.0	0.0521	NIST	L3475
64.00	Gd	I	3773.45	210.0	0.0437	NIST	L3475
64.00	Gd	I	3776.83	210.0	0.0437	NIST	L3475
64.00	Gd	I	3783.05	2900.0	0.6042	NIST	L3475
64.00	Gd	I	3790.63	200.0	0.0417	NIST	L3475
64.00	Gd	I	3804.39	210.0	0.0437	NIST	L3475
64.00	Gd	I	3832.97	210.0	0.0437	NIST	L3475
64.00	Gd	I	3843.28	1400.0	0.2917	NIST	L3475
64.00	Gd	I	3866.99	1600.0	0.3333	NIST	L3475
64.00	Gd	I	3873.57	250.0	0.0521	NIST	L3475
64.00	Gd	I	3902.71	300.0	0.0625	NIST	L3475
64.00	Gd	I	3904.29	240.0	0.05	NIST	L3475
64.00	Gd	I	3905.65	450.0	0.0938	NIST	L3475
64.00	Gd	I	3934.79	1200.0	0.25	NIST	L3475
64.00	Gd	I	3935.38	220.0	0.0458	NIST	L3475
64.00	Gd	I	3941.8	450.0	0.0938	NIST	L3475
64.00	Gd	I	3942.63	590.0	0.1229	NIST	L3475
64.00	Gd	I	3943.24	270.0	0.0563	NIST	L3475
64.00	Gd	I	3943.62	220.0	0.0458	NIST	L3475
64.00	Gd	I	3945.54	1400.0	0.2917	NIST	L3475
64.00	Gd	I	3953.37	590.0	0.1229	NIST	L3475
64.00	Gd	I	3966.28	590.0	0.1229	NIST	L3475
64.00	Gd	I	3969.0	750.0	0.1562	NIST	L3475
64.00	Gd	I	3972.71	390.0	0.0813	NIST	L3475
64.00	Gd	I	3974.81	300.0	0.0625	NIST	L3475
64.00	Gd	I	3979.33	750.0	0.1562	NIST	L3475
64.00	Gd	I	3987.84	470.0	0.0979	NIST	L3475
64.00	Gd	I	3992.69	320.0	0.0667	NIST	L3475
64.00	Gd	I	4008.33	320.0	0.0667	NIST	L3475
64.00	Gd	I	4015.58	200.0	0.0417	NIST	L3475
64.00	Gd	I	4017.25	300.0	0.0625	NIST	L3475
64.00	Gd	I	4017.71	430.0	0.0896	NIST	L3475
64.00	Gd	I	4019.73	300.0	0.0625	NIST	L3475
64.00	Gd	I	4023.14	1100.0	0.2292	NIST	L3475
64.00	Gd	I	4023.35	810.0	0.1688	NIST	L3475
64.00	Gd	I	4027.61	220.0	0.0458	NIST	L3475
64.00	Gd	I	4028.15	1100.0	0.2292	NIST	L3475
64.00	Gd	I	4030.88	860.0	0.1792	NIST	L3475
64.00	Gd	I	4033.49	700.0	0.1458	NIST	L3475
64.00	Gd	I	4035.4	340.0	0.0708	NIST	L3475
64.00	Gd	I	4036.84	260.0	0.0542	NIST	L3475
64.00	Gd	I	4043.71	410.0	0.0854	NIST	L3475
64.00	Gd	I	4045.01	1600.0	0.3333	NIST	L3475
64.00	Gd	I	4047.09	270.0	0.0563	NIST	L3475
64.00	Gd	I	4049.2	270.0	0.0563	NIST	L3475
64.00	Gd	I	4050.37	270.0	0.0563	NIST	L3475
64.00	Gd	I	4053.64	2600.0	0.5417	NIST	L3475
64.00	Gd	I	4054.72	810.0	0.1688	NIST	L3475
64.00	Gd	I	4058.22	2600.0	0.5417	NIST	L3475
64.00	Gd	I	4059.88	650.0	0.1354	NIST	L3475
64.00	Gd	I	4066.04	260.0	0.0542	NIST	L3475
64.00	Gd	I	4068.35	520.0	0.1083	NIST	L3475
64.00	Gd	I	4068.74	260.0	0.0542	NIST	L3475
64.00	Gd	I	4078.7	2800.0	0.5833	NIST	L3475
64.00	Gd	I	4083.7	520.0	0.1083	NIST	L3475
64.00	Gd	I	4090.41	650.0	0.1354	NIST	L3475
64.00	Gd	I	4092.71	1100.0	0.2292	NIST	L3475
64.00	Gd	I	4093.72	260.0	0.0542	NIST	L3475
64.00	Gd	I	4100.26	650.0	0.1354	NIST	L3475
64.00	Gd	I	4134.16	750.0	0.1562	NIST	L3475
64.00	Gd	I	4148.86	280.0	0.0583	NIST	L3475
64.00	Gd	I	4175.54	2400.0	0.5	NIST	L3475
64.00	Gd	I	4190.78	2200.0	0.4583	NIST	L3475
64.00	Gd	I	4191.63	750.0	0.1562	NIST	L3475
64.00	Gd	I	4225.03	320.0	0.0667	NIST	L3475
64.00	Gd	I	4225.85	4800.0	1.0	NIST	L3475
64.00	Gd	I	4260.12	810.0	0.1688	NIST	L3475
64.00	Gd	I	4262.09	1600.0	0.3333	NIST	L3475
64.00	Gd	I	4266.6	650.0	0.1354	NIST	L3475
64.00	Gd	I	4267.0	470.0	0.0979	NIST	L3475
64.00	Gd	I	4274.17	300.0	0.0625	NIST	L3475
64.00	Gd	I	4285.82	430.0	0.0896	NIST	L3475
64.00	Gd	I	4286.12	300.0	0.0625	NIST	L3475
64.00	Gd	I	4299.29	430.0	0.0896	NIST	L3475
64.00	Gd	I	4306.34	1100.0	0.2292	NIST	L3475
64.00	Gd	I	4309.29	260.0	0.0542	NIST	L3475
64.00	Gd	I	4313.84	1800.0	0.375	NIST	L3475
64.00	Gd	I	4314.4	520.0	0.1083	NIST	L3475
64.00	Gd	I	4320.52	370.0	0.0771	NIST	L3475
64.00	Gd	I	4327.12	1900.0	0.3958	NIST	L3475
64.00	Gd	I	4329.58	370.0	0.0771	NIST	L3475
64.00	Gd	I	4331.38	240.0	0.05	NIST	L3475
64.00	Gd	I	4346.46	2200.0	0.4583	NIST	L3475
64.00	Gd	I	4346.62	910.0	0.1896	NIST	L3475
