atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
64.01	Gd	II	2468.22	100.0	0.0115	NIST	L3475
64.01	Gd	II	2471.58	55.0	0.0063	NIST	L3475
64.01	Gd	II	2485.67	35.0	0.004	NIST	L3475
64.01	Gd	II	2487.46	70.0	0.008	NIST	L3475
64.01	Gd	II	2488.72	110.0	0.0126	NIST	L3475
64.01	Gd	II	2493.29	55.0	0.0063	NIST	L3475
64.01	Gd	II	2496.35	35.0	0.004	NIST	L3475
64.01	Gd	II	2499.04	45.0	0.0052	NIST	L3475
64.01	Gd	II	2543.68	28.0	0.0032	NIST	L3475
64.01	Gd	II	2586.13	28.0	0.0032	NIST	L3475
64.01	Gd	II	2661.5	28.0	0.0032	NIST	L3475
64.01	Gd	II	2720.5	70.0	0.008	NIST	L3475
64.01	Gd	II	2750.22	430.0	0.0494	NIST	L3475
64.01	Gd	II	2764.08	460.0	0.0529	NIST	L3475
64.01	Gd	II	2768.51	40.0	0.0046	NIST	L3475
64.01	Gd	II	2769.81	320.0	0.0368	NIST	L3475
64.01	Gd	II	2770.17	230.0	0.0264	NIST	L3475
64.01	Gd	II	2770.98	21.0	0.0024	NIST	L3475
64.01	Gd	II	2779.14	45.0	0.0052	NIST	L3475
64.01	Gd	II	2781.4	440.0	0.0506	NIST	L3475
64.01	Gd	II	2791.96	390.0	0.0448	NIST	L3475
64.01	Gd	II	2794.66	100.0	0.0115	NIST	L3475
64.01	Gd	II	2796.93	930.0	0.1069	NIST	L3475
64.01	Gd	II	2808.38	60.0	0.0069	NIST	L3475
64.01	Gd	II	2809.72	750.0	0.0862	NIST	L3475
64.01	Gd	II	2810.93	160.0	0.0184	NIST	L3475
64.01	Gd	II	2814.01	45.0	0.0052	NIST	L3475
64.01	Gd	II	2833.75	300.0	0.0345	NIST	L3475
64.01	Gd	II	2836.69	35.0	0.004	NIST	L3475
64.01	Gd	II	2837.0	70.0	0.008	NIST	L3475
64.01	Gd	II	2840.23	560.0	0.0644	NIST	L3475
64.01	Gd	II	2841.33	140.0	0.0161	NIST	L3475
64.01	Gd	II	2853.91	40.0	0.0046	NIST	L3475
64.01	Gd	II	2856.52	60.0	0.0069	NIST	L3475
64.01	Gd	II	2859.78	19.0	0.0022	NIST	L3475
64.01	Gd	II	2862.48	120.0	0.0138	NIST	L3475
64.01	Gd	II	2865.06	60.0	0.0069	NIST	L3475
64.01	Gd	II	2866.33	40.0	0.0046	NIST	L3475
64.01	Gd	II	2871.75	40.0	0.0046	NIST	L3475
64.01	Gd	II	2881.33	460.0	0.0529	NIST	L3475
64.01	Gd	II	2882.13	40.0	0.0046	NIST	L3475
64.01	Gd	II	2885.6	130.0	0.0149	NIST	L3475
64.01	Gd	II	2907.44	35.0	0.004	NIST	L3475
64.01	Gd	II	2910.53	170.0	0.0195	NIST	L3475
64.01	Gd	II	2913.08	60.0	0.0069	NIST	L3475
64.01	Gd	II	2918.52	45.0	0.0052	NIST	L3475
64.01	Gd	II	2923.32	95.0	0.0109	NIST	L3475
64.01	Gd	II	2924.25	35.0	0.004	NIST	L3475
64.01	Gd	II	2928.34	35.0	0.004	NIST	L3475
64.01	Gd	II	2947.8	35.0	0.004	NIST	L3475
64.01	Gd	II	2948.01	70.0	0.008	NIST	L3475
64.01	Gd	II	2955.6	35.0	0.004	NIST	L3475
64.01	Gd	II	2960.93	70.0	0.008	NIST	L3475
64.01	Gd	II	2963.6	130.0	0.0149	NIST	L3475
64.01	Gd	II	2965.43	80.0	0.0092	NIST	L3475
64.01	Gd	II	2972.74	29.0	0.0033	NIST	L3475
64.01	Gd	II	2980.15	560.0	0.0644	NIST	L3475
64.01	Gd	II	2983.74	35.0	0.004	NIST	L3475
64.01	Gd	II	2991.52	40.0	0.0046	NIST	L3475
64.01	Gd	II	2993.04	95.0	0.0109	NIST	L3475
64.01	Gd	II	2999.04	1200.0	0.1379	NIST	L3475
64.01	Gd	II	3002.86	370.0	0.0425	NIST	L3475
64.01	Gd	II	3005.09	100.0	0.0115	NIST	L3475
64.01	Gd	II	3010.13	2100.0	0.2414	NIST	L3475
64.01	Gd	II	3012.19	130.0	0.0149	NIST	L3475
64.01	Gd	II	3027.6	1900.0	0.2184	NIST	L3475
64.01	Gd	II	3028.98	120.0	0.0138	NIST	L3475
64.01	Gd	II	3032.84	2100.0	0.2414	NIST	L3475
64.01	Gd	II	3034.05	1600.0	0.1839	NIST	L3475
64.01	Gd	II	3053.57	280.0	0.0322	NIST	L3475
64.01	Gd	II	3068.64	1000.0	0.1149	NIST	L3475
