atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
32.03	Ge	IV	440.11	1.0	0.0167	NIST	L3302
32.03	Ge	IV	441.95	1.0	0.0167	NIST	L3302
32.03	Ge	IV	847.8	3.0	0.05	NIST	L3302
32.03	Ge	IV	868.3	3.0	0.05	NIST	L3302
32.03	Ge	IV	915.0	8.0	0.1333	NIST	L3302
32.03	Ge	IV	936.7	8.0	0.1333	NIST	L3302
32.03	Ge	IV	938.9	4.0	0.0667	NIST	L3302
32.03	Ge	IV	1073.44	1.0	0.0167	NIST	L3302
32.03	Ge	IV	1188.99	20.0	0.3333	NIST	L3302
32.03	Ge	IV	1229.81	20.0	0.3333	NIST	L3302
32.03	Ge	IV	1494.89	2.0	0.0333	NIST	L3302
32.03	Ge	IV	1500.61	6.0	0.1	NIST	L3302
32.03	Ge	IV	1648.14	3.0	0.05	NIST	L3302
32.03	Ge	IV	2293.0	2.0	0.0333	NIST	L3302
32.03	Ge	IV	2343.37	2.0	0.0333	NIST	L3302
32.03	Ge	IV	2445.38	15.0	0.25	NIST	L3302
32.03	Ge	IV	2445.71	15.0	0.25	NIST	L3302
32.03	Ge	IV	2488.25	30.0	0.5	NIST	L3302
32.03	Ge	IV	2542.44	20.0	0.3333	NIST	L3302
32.03	Ge	IV	2631.78	5.0	0.0833	NIST	L3302
32.03	Ge	IV	2698.08	3.0	0.05	NIST	L3302
32.03	Ge	IV	2717.44	15.0	0.25	NIST	L3302
32.03	Ge	IV	2736.09	30.0	0.5	NIST	L3302
32.03	Ge	IV	2788.61	30.0	0.5	NIST	L3302
32.03	Ge	IV	3071.84	5.0	0.0833	NIST	L3302
32.03	Ge	IV	3554.19	60.0	1.0	NIST	L3302
32.03	Ge	IV	3676.65	50.0	0.8333	NIST	L3302
