atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
53.01	I	II	655.804	2.0	0.0001	NIST	L7360
53.01	I	II	659.004	6.0	0.0003	NIST	L7360
53.01	I	II	663.977	8.0	0.0004	NIST	L7360
53.01	I	II	664.52	8.0	0.0004	NIST	L7360
53.01	I	II	665.055	8.0	0.0004	NIST	L7360
53.01	I	II	665.699	150.0	0.0075	NIST	L7360
53.01	I	II	719.546	1000.0	0.05	NIST	L7360
53.01	I	II	722.98	1000.0	0.05	NIST	L7360
53.01	I	II	798.158	1000.0	0.05	NIST	L7360
53.01	I	II	834.095	1200.0	0.06	NIST	L7360
53.01	I	II	847.796	600.0	0.03	NIST	L7360
53.01	I	II	873.489	1500.0	0.075	NIST	L7360
53.01	I	II	875.941	1000.0	0.05	NIST	L7360
53.01	I	II	879.844	2000.0	0.1	NIST	L7360
53.01	I	II	881.881	1500.0	0.075	NIST	L7360
53.01	I	II	890.995	1000.0	0.05	NIST	L7360
53.01	I	II	893.167	1000.0	0.05	NIST	L7360
53.01	I	II	1000.572	1200.0	0.06	NIST	L7360
53.01	I	II	1003.35	1000.0	0.05	NIST	L7360
53.01	I	II	1018.583	4000.0	0.2	NIST	L7360
53.01	I	II	1034.655	10000.0	0.5	NIST	L7360
53.01	I	II	1054.742	1500.0	0.075	NIST	L7360
53.01	I	II	1067.341	2000.0	0.1	NIST	L7360
53.01	I	II	1075.21	3000.0	0.15	NIST	L7360
53.01	I	II	1105.0	5000.0	0.25	NIST	L7360
53.01	I	II	1111.165	2500.0	0.125	NIST	L7360
53.01	I	II	1117.219	1500.0	0.075	NIST	L7360
53.01	I	II	1125.251	3500.0	0.175	NIST	L7360
53.01	I	II	1131.504	2000.0	0.1	NIST	L7360
53.01	I	II	1139.752	1200.0	0.06	NIST	L7360
53.01	I	II	1139.805	10000.0	0.5	NIST	L7360
53.01	I	II	1154.668	1500.0	0.075	NIST	L7360
