atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
49.03	In	IV	472.71	622.0	0.8773	NIST	L1869
49.03	In	IV	479.39	689.0	0.9718	NIST	L1869
49.03	In	IV	498.62	709.0	1.0	NIST	L1869
49.03	In	IV	945.74	61.0	0.086	NIST	L5534
49.03	In	IV	954.67	85.0	0.1199	NIST	L5534
49.03	In	IV	973.5	87.0	0.1227	NIST	L5534
49.03	In	IV	991.6	86.0	0.1213	NIST	L5534
49.03	In	IV	1024.68	89.0	0.1255	NIST	L5534
49.03	In	IV	1024.79	85.0	0.1199	NIST	L5534
49.03	In	IV	1031.45	88.0	0.1241	NIST	L5534
49.03	In	IV	1031.98	82.0	0.1157	NIST	L5534
49.03	In	IV	1054.43	80.0	0.1128	NIST	L5534
49.03	In	IV	1063.03	84.0	0.1185	NIST	L5534
49.03	In	IV	1068.25	83.0	0.1171	NIST	L5534
49.03	In	IV	1069.82	82.0	0.1157	NIST	L5534
49.03	In	IV	1077.64	86.0	0.1213	NIST	L5534
49.03	In	IV	1082.1	90.0	0.1269	NIST	L5534
49.03	In	IV	1086.33	83.0	0.1171	NIST	L5534
49.03	In	IV	1096.81	82.0	0.1157	NIST	L5534
49.03	In	IV	1097.18	84.0	0.1185	NIST	L5534
49.03	In	IV	1116.1	85.0	0.1199	NIST	L5534
49.03	In	IV	1124.06	80.0	0.1128	NIST	L5534
49.03	In	IV	1131.46	90.0	0.1269	NIST	L5534
49.03	In	IV	1144.43	85.0	0.1199	NIST	L5534
49.03	In	IV	1145.41	80.0	0.1128	NIST	L5534
49.03	In	IV	1146.62	89.0	0.1255	NIST	L5534
49.03	In	IV	1154.11	83.0	0.1171	NIST	L5534
49.03	In	IV	1154.6	84.0	0.1185	NIST	L5534
49.03	In	IV	1157.71	90.0	0.1269	NIST	L5534
49.03	In	IV	1157.82	90.0	0.1269	NIST	L5534
49.03	In	IV	1159.78	85.0	0.1199	NIST	L5534
49.03	In	IV	1176.5	88.0	0.1241	NIST	L5534
49.03	In	IV	1191.58	85.0	0.1199	NIST	L5534
49.03	In	IV	1204.87	83.0	0.1171	NIST	L5534
49.03	In	IV	1206.55	90.0	0.1269	NIST	L5534
49.03	In	IV	1221.5	88.0	0.1241	NIST	L5534
49.03	In	IV	1221.9	85.0	0.1199	NIST	L5534
49.03	In	IV	1233.58	85.0	0.1199	NIST	L5534
49.03	In	IV	1235.84	87.0	0.1227	NIST	L5534
49.03	In	IV	1373.2	90.0	0.1269	NIST	L5534
49.03	In	IV	1398.77	88.0	0.1241	NIST	L5534
49.03	In	IV	1412.09	81.0	0.1142	NIST	L5534
