atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
49.04	In	V	368.67	6.0	0.24	NIST	L3283
49.04	In	V	370.1	6.0	0.24	NIST	L3283
49.04	In	V	372.82	10.0	0.4	NIST	L3283
49.04	In	V	372.94	10.0	0.4	NIST	L3283
49.04	In	V	374.95	2.0	0.08	NIST	L3283
49.04	In	V	375.84	6.0	0.24	NIST	L3283
49.04	In	V	376.07	6.0	0.24	NIST	L3283
49.04	In	V	376.79	10.0	0.4	NIST	L3283
49.04	In	V	378.61	17.0	0.68	NIST	L3283
49.04	In	V	379.24	3.0	0.12	NIST	L3283
49.04	In	V	380.27	9.0	0.36	NIST	L3283
49.04	In	V	381.56	11.0	0.44	NIST	L3283
49.04	In	V	382.14	9.0	0.36	NIST	L3283
49.04	In	V	382.76	11.0	0.44	NIST	L3283
49.04	In	V	383.05	10.0	0.4	NIST	L3283
49.04	In	V	386.21	17.0	0.68	NIST	L3283
49.04	In	V	386.7	10.0	0.4	NIST	L3283
49.04	In	V	388.66	3.0	0.12	NIST	L3283
49.04	In	V	388.91	14.0	0.56	NIST	L3283
49.04	In	V	390.03	11.0	0.44	NIST	L3283
49.04	In	V	390.92	11.0	0.44	NIST	L3283
49.04	In	V	392.29	9.0	0.36	NIST	L3283
49.04	In	V	392.46	9.0	0.36	NIST	L3283
49.04	In	V	393.6	1.0	0.04	NIST	L3283
49.04	In	V	393.89	25.0	1.0	NIST	L3283
49.04	In	V	395.74	11.0	0.44	NIST	L3283
49.04	In	V	397.73	3.0	0.12	NIST	L3283
49.04	In	V	399.79	10.0	0.4	NIST	L3283
49.04	In	V	400.05	9.0	0.36	NIST	L3283
49.04	In	V	400.57	25.0	1.0	NIST	L3283
49.04	In	V	402.39	25.0	1.0	NIST	L3283
49.04	In	V	405.33	3.0	0.12	NIST	L3283
49.04	In	V	407.28	9.0	0.36	NIST	L3283
49.04	In	V	407.36	3.0	0.12	NIST	L3283
49.04	In	V	407.95	9.0	0.36	NIST	L3283
49.04	In	V	417.43	9.0	0.36	NIST	L3283
49.04	In	V	418.45	2.0	0.08	NIST	L3283
49.04	In	V	423.16	2.0	0.08	NIST	L3283
