atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
77.01	Ir	II	2126.81	4500.0	0.7759	NIST	L3475
77.01	Ir	II	2152.68	3500.0	0.6034	NIST	L3475
77.01	Ir	II	2169.42	5800.0	1.0	NIST	L3475
77.01	Ir	II	2187.43	1600.0	0.2759	NIST	L3475
77.01	Ir	II	2190.38	1100.0	0.1897	NIST	L3475
77.01	Ir	II	2204.96	3000.0	0.5172	NIST	L4457
77.01	Ir	II	2208.09	910.0	0.1569	NIST	L3475
77.01	Ir	II	2221.07	790.0	0.1362	NIST	L3475
77.01	Ir	II	2242.68	2500.0	0.431	NIST	L3475
77.01	Ir	II	2245.76	620.0	0.1069	NIST	L3475
77.01	Ir	II	2281.02	950.0	0.1638	NIST	L3475
77.01	Ir	II	2357.53	230.0	0.0397	NIST	L3475
77.01	Ir	II	2368.04	370.0	0.0638	NIST	L3475
77.01	Ir	II	2375.09	290.0	0.05	NIST	L3475
77.01	Ir	II	2386.58	120.0	0.0207	NIST	L3475
77.01	Ir	II	2426.53	170.0	0.0293	NIST	L3475
77.01	Ir	II	2512.58	170.0	0.0293	NIST	L3475
77.01	Ir	II	2524.88	40.0	0.0069	NIST	L3475
77.01	Ir	II	2542.8	40.0	0.0069	NIST	L3475
77.01	Ir	II	2579.49	35.0	0.006	NIST	L3475
77.01	Ir	II	2623.64	70.0	0.0121	NIST	L3475
77.01	Ir	II	2833.24	110.0	0.019	NIST	L3475
77.01	Ir	II	3042.65	35.0	0.006	NIST	L3475
77.01	Ir	II	3731.36	200.0	0.0345	NIST	L3475
