atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.03	K	IV	271.82	150.0	0.2	NIST	L497
19.03	K	IV	273.06	100.0	0.1333	NIST	L3496
19.03	K	IV	273.55	50.0	0.0667	NIST	L497
19.03	K	IV	340.46	300.0	0.4	NIST	L3496
19.03	K	IV	340.74	150.0	0.2	NIST	L3496
19.03	K	IV	342.41	150.0	0.2	NIST	L3496
19.03	K	IV	342.8	100.0	0.1333	NIST	L3496
19.03	K	IV	354.14	300.0	0.4	NIST	L497
19.03	K	IV	354.93	300.0	0.4	NIST	L497
19.03	K	IV	356.26	150.0	0.2	NIST	L497
19.03	K	IV	359.73	300.0	0.4	NIST	L3496
19.03	K	IV	359.91	200.0	0.2667	NIST	L3496
19.03	K	IV	360.57	50.0	0.0667	NIST	L497
19.03	K	IV	362.08	250.0	0.3333	NIST	L3496
19.03	K	IV	362.15	150.0	0.2	NIST	L3496
19.03	K	IV	363.02	150.0	0.2	NIST	L3496
19.03	K	IV	368.03	200.0	0.2667	NIST	L64
19.03	K	IV	375.96	300.0	0.4	NIST	L497
19.03	K	IV	379.28	100.0	0.1333	NIST	L64
19.03	K	IV	379.88	300.0	0.4	NIST	L64
19.03	K	IV	380.48	250.0	0.3333	NIST	L64
19.03	K	IV	381.7	200.0	0.2667	NIST	L64
19.03	K	IV	382.23	300.0	0.4	NIST	L64
19.03	K	IV	382.49	150.0	0.2	NIST	L497
19.03	K	IV	382.65	200.0	0.2667	NIST	L64
19.03	K	IV	382.91	300.0	0.4	NIST	L64
19.03	K	IV	384.1	250.0	0.3333	NIST	L3496
19.03	K	IV	388.92	250.0	0.3333	NIST	L64
19.03	K	IV	389.07	250.0	0.3333	NIST	L64
19.03	K	IV	390.42	250.0	0.3333	NIST	L64
19.03	K	IV	390.57	300.0	0.4	NIST	L64
19.03	K	IV	391.46	200.0	0.2667	NIST	L64
19.03	K	IV	392.27	100.0	0.1333	NIST	L3496
19.03	K	IV	392.47	200.0	0.2667	NIST	L64
19.03	K	IV	393.14	500.0	0.6667	NIST	L64
19.03	K	IV	400.21	400.0	0.5333	NIST	L64
19.03	K	IV	402.91	300.0	0.4	NIST	L64
19.03	K	IV	403.97	250.0	0.3333	NIST	L64
19.03	K	IV	404.41	150.0	0.2	NIST	L64
19.03	K	IV	405.77	100.0	0.1333	NIST	L64
19.03	K	IV	408.08	250.0	0.3333	NIST	L3496
19.03	K	IV	408.96	400.0	0.5333	NIST	L64
19.03	K	IV	417.28	150.0	0.2	NIST	L64
19.03	K	IV	442.3	200.0	0.2667	NIST	L64
19.03	K	IV	442.52	100.0	0.1333	NIST	L3496
19.03	K	IV	443.57	300.0	0.4	NIST	L3496
19.03	K	IV	445.61	200.0	0.2667	NIST	L3496
19.03	K	IV	446.83	250.0	0.3333	NIST	L3496
19.03	K	IV	446.92	100.0	0.1333	NIST	L3496
19.03	K	IV	448.6	750.0	1.0	NIST	L3496
19.03	K	IV	449.71	200.0	0.2667	NIST	L64
19.03	K	IV	456.33	400.0	0.5333	NIST	L3496
19.03	K	IV	473.21	100.0	0.1333	NIST	L3496
19.03	K	IV	499.99	100.0	0.1333	NIST	L64
19.03	K	IV	523.0	250.0	0.3333	NIST	L3496
19.03	K	IV	526.45	200.0	0.2667	NIST	L3496
19.03	K	IV	527.06	100.0	0.1333	NIST	L3496
19.03	K	IV	527.62	150.0	0.2	NIST	L3496
19.03	K	IV	528.88	50.0	0.0667	NIST	L3496
19.03	K	IV	646.181	11.0	0.0147	NIST	L3633
19.03	K	IV	737.146	10.0	0.0133	NIST	L3633
19.03	K	IV	741.941	10.0	0.0133	NIST	L3633
19.03	K	IV	745.258	12.0	0.016	NIST	L3633
19.03	K	IV	746.342	9.0	0.012	NIST	L3633
19.03	K	IV	749.979	10.0	0.0133	NIST	L3633
19.03	K	IV	754.187	1.0	0.0013	NIST	L3633
19.03	K	IV	754.658	10.0	0.0133	NIST	L3633
