atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.08	K	IX	82.036	1.0	0.02	NIST	L3851
19.08	K	IX	87.064	1.0	0.02	NIST	L3896
19.08	K	IX	87.345	1.0	0.02	NIST	L3896
19.08	K	IX	87.508	2.0	0.04	NIST	L3851
19.08	K	IX	87.534	1.0	0.02	NIST	L3851
19.08	K	IX	89.697	1.0	0.02	NIST	L3851
19.08	K	IX	93.069	1.0	0.02	NIST	L3851
19.08	K	IX	93.395	2.0	0.04	NIST	L3851
19.08	K	IX	95.069	1.0	0.02	NIST	L3896
19.08	K	IX	98.796	5.0	0.1	NIST	L3851
19.08	K	IX	98.866	4.0	0.08	NIST	L3851
19.08	K	IX	99.394	3.0	0.06	NIST	L3851
19.08	K	IX	99.761	4.0	0.08	NIST	L3851
19.08	K	IX	103.561	1.0	0.02	NIST	L3851
19.08	K	IX	112.12	4.0	0.08	NIST	L3851
19.08	K	IX	112.586	5.0	0.1	NIST	L3851
19.08	K	IX	112.594	20.0	0.4	NIST	L3896
19.08	K	IX	116.139	1.0	0.02	NIST	L3851
19.08	K	IX	121.091	2.0	0.04	NIST	L3851
19.08	K	IX	121.645	3.0	0.06	NIST	L3851
19.08	K	IX	125.697	2.0	0.04	NIST	L3851
19.08	K	IX	125.735	3.0	0.06	NIST	L3851
19.08	K	IX	131.633	8.0	0.16	NIST	L3851
19.08	K	IX	131.88	7.0	0.14	NIST	L3851
19.08	K	IX	145.659	4.0	0.08	NIST	L3851
19.08	K	IX	145.712	5.0	0.1	NIST	L3851
19.08	K	IX	147.12	7.0	0.14	NIST	L3851
19.08	K	IX	147.912	8.0	0.16	NIST	L3851
19.08	K	IX	147.941	4.0	0.08	NIST	L3851
19.08	K	IX	156.963	1.0	0.02	NIST	L3851
19.08	K	IX	184.59	5.0	0.1	NIST	L3851
19.08	K	IX	185.881	6.0	0.12	NIST	L3851
19.08	K	IX	205.769	6.0	0.12	NIST	L3851
19.08	K	IX	205.86	7.0	0.14	NIST	L3851
19.08	K	IX	260.042	50.0	1.0	NIST	L3896
19.08	K	IX	260.822	25.0	0.5	NIST	L3896
19.08	K	IX	459.317	4.0	0.08	NIST	L3851
19.08	K	IX	466.835	5.0	0.1	NIST	L3851
19.08	K	IX	467.391	2.0	0.04	NIST	L3851
19.08	K	IX	621.452	6.0	0.12	NIST	L3851
19.08	K	IX	636.325	5.0	0.1	NIST	L3851
