atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.10	K	XI	31.457	1.0	0.0018	NIST	L2181
19.10	K	XI	31.483	10.0	0.0179	NIST	L2181
19.10	K	XI	31.688	9.0	0.0161	NIST	L2181
19.10	K	XI	32.099	10.0	0.0179	NIST	L2181
19.10	K	XI	32.178	20.0	0.0357	NIST	L2181
19.10	K	XI	32.278	8.0	0.0143	NIST	L2181
19.10	K	XI	32.318	10.0	0.0179	NIST	L2181
19.10	K	XI	32.341	18.0	0.0321	NIST	L2181
19.10	K	XI	32.421	8.0	0.0143	NIST	L2181
19.10	K	XI	32.563	6.0	0.0107	NIST	L2181
19.10	K	XI	32.808	20.0	0.0357	NIST	L2181
19.10	K	XI	32.956	10.0	0.0179	NIST	L2181
19.10	K	XI	33.012	10.0	0.0179	NIST	L2181
19.10	K	XI	33.028	2.0	0.0036	NIST	L2181
19.10	K	XI	33.087	10.0	0.0179	NIST	L2181
19.10	K	XI	33.107	8.0	0.0143	NIST	L2181
19.10	K	XI	33.134	3.0	0.0054	NIST	L2181
19.10	K	XI	33.211	6.0	0.0107	NIST	L2181
19.10	K	XI	33.285	6.0	0.0107	NIST	L2181
19.10	K	XI	33.34	4.0	0.0071	NIST	L2181
19.10	K	XI	35.563	4.0	0.0071	NIST	L2181
19.10	K	XI	35.865	4.0	0.0071	NIST	L2181
19.10	K	XI	36.66	20.0	0.0357	NIST	L2181
19.10	K	XI	36.968	10.0	0.0179	NIST	L2181
19.10	K	XI	37.236	6.0	0.0107	NIST	L2181
19.10	K	XI	37.431	20.0	0.0357	NIST	L2181
19.10	K	XI	37.564	10.0	0.0179	NIST	L2181
19.10	K	XI	37.692	10.0	0.0179	NIST	L2181
19.10	K	XI	37.766	5.0	0.0089	NIST	L2181
19.10	K	XI	37.871	5.0	0.0089	NIST	L2181
19.10	K	XI	37.891	1.0	0.0018	NIST	L2181
19.10	K	XI	38.03	3.0	0.0054	NIST	L2181
19.10	K	XI	38.112	2.0	0.0036	NIST	L2181
19.10	K	XI	38.317	6.0	0.0107	NIST	L2181
19.10	K	XI	135.08	20.0	0.0357	NIST	L11908
19.10	K	XI	135.38	10.0	0.0179	NIST	L11908
19.10	K	XI	138.27	37.0	0.0661	NIST	L11908
19.10	K	XI	139.4	10.0	0.0179	NIST	L11908
19.10	K	XI	152.462	560.0	1.0	NIST	L5515
19.10	K	XI	158.135	450.0	0.8036	NIST	L5515
19.10	K	XI	491.85	18.0	0.0321	NIST	L11908
19.10	K	XI	493.36	16.0	0.0286	NIST	L11908
19.10	K	XI	495.66	73.0	0.1304	NIST	L11908
19.10	K	XI	498.09	12.0	0.0214	NIST	L11908
19.10	K	XI	499.24	8.0	0.0143	NIST	L11908
19.10	K	XI	499.92	14.0	0.025	NIST	L11908
19.10	K	XI	507.65	20.0	0.0357	NIST	L11908
19.10	K	XI	581.83	7.0	0.0125	NIST	L11908
19.10	K	XI	592.7	6.0	0.0107	NIST	L11908
19.10	K	XI	614.17	27.0	0.0482	NIST	L11908
19.10	K	XI	644.74	5.0	0.0089	NIST	L11908
19.10	K	XI	651.74	11.0	0.0196	NIST	L11908
19.10	K	XI	671.75	4.0	0.0071	NIST	L11908
19.10	K	XI	690.95	6.0	0.0107	NIST	L11908
