atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
36.05	Kr	VI	331.65	1.0	0.0067	NIST	L7277
36.05	Kr	VI	332.83	6.0	0.04	NIST	L7277
36.05	Kr	VI	346.69	4.0	0.0267	NIST	L7277
36.05	Kr	VI	348.45	1.0	0.0067	NIST	L7277
36.05	Kr	VI	351.93	6.0	0.04	NIST	L7277
36.05	Kr	VI	357.99	2.0	0.0133	NIST	L7277
36.05	Kr	VI	363.12	8.0	0.0533	NIST	L7277
36.05	Kr	VI	366.17	4.0	0.0267	NIST	L7277
36.05	Kr	VI	374.74	4.0	0.0267	NIST	L7277
36.05	Kr	VI	376.23	6.0	0.04	NIST	L7277
36.05	Kr	VI	380.48	2.0	0.0133	NIST	L7277
36.05	Kr	VI	382.01	6.0	0.04	NIST	L7277
36.05	Kr	VI	387.17	4.0	0.0267	NIST	L7277
36.05	Kr	VI	387.72	4.0	0.0267	NIST	L7277
36.05	Kr	VI	389.29	2.0	0.0133	NIST	L7277
36.05	Kr	VI	390.7	6.0	0.04	NIST	L7277
36.05	Kr	VI	399.54	2.0	0.0133	NIST	L7277
36.05	Kr	VI	403.43	2.0	0.0133	NIST	L7277
36.05	Kr	VI	410.59	4.0	0.0267	NIST	L7277
36.05	Kr	VI	419.42	6.0	0.04	NIST	L7277
36.05	Kr	VI	424.91	4.0	0.0267	NIST	L7277
36.05	Kr	VI	428.56	6.0	0.04	NIST	L7277
36.05	Kr	VI	430.46	4.0	0.0267	NIST	L7277
36.05	Kr	VI	433.79	1.0	0.0067	NIST	L7277
36.05	Kr	VI	440.038	2.0	0.0133	NIST	L7277
36.05	Kr	VI	440.192	5.0	0.0333	NIST	L7277
36.05	Kr	VI	440.84	5.0	0.0333	NIST	L7277
36.05	Kr	VI	442.28	6.0	0.04	NIST	L7277
36.05	Kr	VI	443.858	6.0	0.04	NIST	L7277
36.05	Kr	VI	445.0	1.0	0.0067	NIST	L7277
36.05	Kr	VI	448.502	4.0	0.0267	NIST	L7277
36.05	Kr	VI	448.668	5.0	0.0333	NIST	L7277
36.05	Kr	VI	448.95	2.0	0.0133	NIST	L7277
36.05	Kr	VI	449.15	7.0	0.0467	NIST	L7277
36.05	Kr	VI	450.2	8.0	0.0533	NIST	L7277
36.05	Kr	VI	450.581	6.0	0.04	NIST	L7277
36.05	Kr	VI	452.972	7.0	0.0467	NIST	L7277
36.05	Kr	VI	459.47	2.0	0.0133	NIST	L7277
36.05	Kr	VI	461.94	4.0	0.0267	NIST	L7277
36.05	Kr	VI	462.31	8.0	0.0533	NIST	L7277
36.05	Kr	VI	465.27	20.0	0.1333	NIST	L7277
36.05	Kr	VI	467.26	9.0	0.06	NIST	L7277
36.05	Kr	VI	470.191	5.0	0.0333	NIST	L7277
36.05	Kr	VI	474.209	7.0	0.0467	NIST	L7277
36.05	Kr	VI	475.62	8.0	0.0533	NIST	L7277
36.05	Kr	VI	478.016	7.0	0.0467	NIST	L7277
36.05	Kr	VI	480.63	2.0	0.0133	NIST	L7277
36.05	Kr	VI	482.702	3.0	0.02	NIST	L7277
36.05	Kr	VI	489.738	7.0	0.0467	NIST	L7277
36.05	Kr	VI	495.46	7.0	0.0467	NIST	L7277
36.05	Kr	VI	496.237	8.0	0.0533	NIST	L7277
36.05	Kr	VI	498.061	9.0	0.06	NIST	L7277
36.05	Kr	VI	507.82	6.0	0.04	NIST	L7277
36.05	Kr	VI	511.79	1.0	0.0067	NIST	L7277
36.05	Kr	VI	516.96	1.0	0.0067	NIST	L7277
36.05	Kr	VI	522.3	2.0	0.0133	NIST	L7277
36.05	Kr	VI	525.04	6.0	0.04	NIST	L7277
36.05	Kr	VI	528.457	5.0	0.0333	NIST	L7277
36.05	Kr	VI	540.587	4.0	0.0267	NIST	L7277
36.05	Kr	VI	543.689	10.0	0.0667	NIST	L7277
36.05	Kr	VI	544.02	30.0	0.2	NIST	L7277
36.05	Kr	VI	548.107	10.0	0.0667	NIST	L7277
36.05	Kr	VI	554.514	100.0	0.6667	NIST	L7277
36.05	Kr	VI	563.44	7.0	0.0467	NIST	L7277
36.05	Kr	VI	569.13	9.0	0.06	NIST	L7277
36.05	Kr	VI	569.354	11.0	0.0733	NIST	L7277
36.05	Kr	VI	577.68	6.0	0.04	NIST	L7277
36.05	Kr	VI	580.62	30.0	0.2	NIST	L7277
36.05	Kr	VI	584.958	11.0	0.0733	NIST	L7277
36.05	Kr	VI	585.14	4.0	0.0267	NIST	L7277
36.05	Kr	VI	587.94	12.0	0.08	NIST	L7277
36.05	Kr	VI	588.31	9.0	0.06	NIST	L7277
36.05	Kr	VI	592.28	4.0	0.0267	NIST	L7277
36.05	Kr	VI	592.68	2.0	0.0133	NIST	L7277
36.05	Kr	VI	593.56	4.0	0.0267	NIST	L7277
36.05	Kr	VI	594.618	12.0	0.08	NIST	L7277
36.05	Kr	VI	595.97	9.0	0.06	NIST	L7277
36.05	Kr	VI	596.682	20.0	0.1333	NIST	L7277
36.05	Kr	VI	599.26	1.0	0.0067	NIST	L7277
36.05	Kr	VI	599.79	9.0	0.06	NIST	L7277
36.05	Kr	VI	606.726	20.0	0.1333	NIST	L7277
36.05	Kr	VI	610.828	5.0	0.0333	NIST	L7277
36.05	Kr	VI	612.34	11.0	0.0733	NIST	L7277
36.05	Kr	VI	614.05	9.0	0.06	NIST	L7277
36.05	Kr	VI	614.789	11.0	0.0733	NIST	L7277
36.05	Kr	VI	615.07	10.0	0.0667	NIST	L7277
36.05	Kr	VI	617.18	150.0	1.0	NIST	L7277
36.05	Kr	VI	617.379	9.0	0.06	NIST	L7277
36.05	Kr	VI	622.937	20.0	0.1333	NIST	L7277
36.05	Kr	VI	626.22	10.0	0.0667	NIST	L7277
36.05	Kr	VI	638.68	5.0	0.0333	NIST	L7277
36.05	Kr	VI	657.2	3.0	0.02	NIST	L7277
36.05	Kr	VI	675.033	10.0	0.0667	NIST	L7277
36.05	Kr	VI	700.06	3.0	0.02	NIST	L7277
36.05	Kr	VI	705.855	50.0	0.3333	NIST	L7277
36.05	Kr	VI	729.321	15.0	0.1	NIST	L7277
36.05	Kr	VI	733.2	20.0	0.1333	NIST	L7277
36.05	Kr	VI	734.98	10.0	0.0667	NIST	L7277
36.05	Kr	VI	735.316	10.0	0.0667	NIST	L7277
36.05	Kr	VI	738.91	50.0	0.3333	NIST	L7277
36.05	Kr	VI	739.096	20.0	0.1333	NIST	L7277
36.05	Kr	VI	742.854	100.0	0.6667	NIST	L7277
36.05	Kr	VI	744.385	20.0	0.1333	NIST	L7277
36.05	Kr	VI	748.705	30.0	0.2	NIST	L7277
36.05	Kr	VI	750.277	30.0	0.2	NIST	L7277
36.05	Kr	VI	751.1	2.0	0.0133	NIST	L7277
36.05	Kr	VI	766.72	6.0	0.04	NIST	L7277
36.05	Kr	VI	780.92	5.0	0.0333	NIST	L7277
36.05	Kr	VI	799.71	4.0	0.0267	NIST	L7277
36.05	Kr	VI	810.65	20.0	0.1333	NIST	L7277
36.05	Kr	VI	822.573	20.0	0.1333	NIST	L7277
36.05	Kr	VI	823.84	3.0	0.02	NIST	L7277
36.05	Kr	VI	825.98	5.0	0.0333	NIST	L7277
36.05	Kr	VI	830.11	7.0	0.0467	NIST	L7277
36.05	Kr	VI	834.17	12.0	0.08	NIST	L11388
36.05	Kr	VI	859.65	3.0	0.02	NIST	L7277
36.05	Kr	VI	868.96	9.0	0.06	NIST	L7277
36.05	Kr	VI	899.34	11.0	0.0733	NIST	L7277
36.05	Kr	VI	910.47	3.0	0.02	NIST	L7277
36.05	Kr	VI	918.14	8.0	0.0533	NIST	L7277
36.05	Kr	VI	919.934	9.0	0.06	NIST	L7277
36.05	Kr	VI	927.34	20.0	0.1333	NIST	L7277
36.05	Kr	VI	931.39	12.0	0.08	NIST	L7277
36.05	Kr	VI	944.05	15.0	0.1	NIST	L7277
36.05	Kr	VI	956.615	12.0	0.08	NIST	L7277
36.05	Kr	VI	965.093	20.0	0.1333	NIST	L7277
36.05	Kr	VI	970.087	20.0	0.1333	NIST	L7277
36.05	Kr	VI	980.411	30.0	0.2	NIST	L7277
36.05	Kr	VI	1002.746	20.0	0.1333	NIST	L7277
36.05	Kr	VI	1011.14	8.0	0.0533	NIST	L7277
36.05	Kr	VI	1015.77	11.0	0.0733	NIST	L7277
36.05	Kr	VI	1045.23	30.0	0.2	NIST	L7277
36.05	Kr	VI	1052.95	15.0	0.1	NIST	L7277
36.05	Kr	VI	1061.069	75.0	0.5	NIST	L7277
36.05	Kr	VI	1817.45	8.0	0.0533	NIST	L7277
36.05	Kr	VI	1950.2	50.0	0.3333	NIST	L7277
36.05	Kr	VI	2051.06	100.0	0.6667	NIST	L7277
